s_3203	s_3356	s_3347	s_3226	s_3193	s_3277	s_3249	s_3328	s_3287	s_3254	s_3200	s_3185	s_3250	s_3224	s_3326	s_3268	s_3218	s_3227	s_3274	s_3358	s_3165	s_3181	s_3188	s_3297	s_3196	s_3164	s_3283	s_3304	s_3357	s_3174	s_3264	s_3237	s_3322	s_3342	s_3353	s_3325	s_3292	s_3190	s_3257	s_3266	s_3213	s_3191	s_3306	s_3189	s_3209	s_3355	s_3334	s_3242	s_3265	s_3253	s_3217	s_3288	s_3205	s_3345	s_3341	s_3319	s_3282	s_3337	s_3259	s_3223	s_3235	s_3284	s_3330	s_3244	s_3163	s_3220	s_3261	s_3271	s_3228	s_3167	s_3169	s_3215	s_3285	s_3251	s_3202	s_3225	s_3343	s_3258	s_3312	s_3210	s_3294	s_3238	s_3263	s_3233	s_3305	s_3313	s_3310	s_3187	s_3204	s_3275	s_3317	s_3262	s_3186	s_3171	s_3162	s_3241	s_3276	s_3332	s_3173	s_3230	s_3286	s_3240	s_3324	s_3350	s_3260	s_3278	s_3302	s_3195	s_3168	s_3321	s_3194	s_3206	s_3293	s_3247	s_3307	s_3243	s_3178	s_3255	s_3269	s_3340	s_3212	s_3245	s_3252	s_3207	s_3344	s_3183	s_3201	s_3175	s_3208	s_3267	s_3161	s_3216	s_3234	s_3354	s_3291	s_3170	s_3346	s_3308	s_3229	s_3318	s_3295	s_3166	s_3239	s_3197	s_3333	s_3222	s_3311	s_3314	s_3248	s_3214	s_3289
s_3206 0.00554032 0.00159990 0.01180955 0.00198516 0.01031992 0.00163231 0.00164332 0.00156077 0.00908709 0.00181950 0.00921320 0.00896689 0.00183655 0.00236282 0.00160711 0.00169076 0.00865246 0.01050818 0.01146699 0.00176782 0.00152962 0.01017933 0.00915060 0.00167574 0.00870447 0.00150495 0.00231670 0.01064491 0.01162284 0.00150949 0.00159556 0.00165987 0.00997372 0.00160517 0.00165150 0.00172062 0.01036267 0.00960798 0.01070097 0.00161907 0.00260158 0.00952376 0.00902924 0.00914021 0.00207887 0.00181315 0.00973246 0.01024794 0.00267237 0.00905548 0.00894653 0.00904253 0.00549950 0.00898857 0.00159930 0.00341027 0.00365555 0.01098090 0.01131591 0.00981889 0.00899183 0.00168016 0.00173319 0.01305737 0.00160423 0.01032458 0.00155417 0.00159303 0.00934156 0.00160417 0.00149342 0.00892403 0.00905389 0.00231492 0.00867506 0.00161596 0.00255679 0.00194620 0.00971690 0.01109278 0.00205712 0.01073913 0.00158345 0.00221798 0.01106845 0.00950489 0.01204678 0.01018693 0.00568575 0.01114985 0.00159148 0.00160651 0.00865097 0.00153414 0.00157185 0.00935022 0.01138415 0.00173925 0.00952922 0.00939942 0.00906762 0.00930002 0.00940297 0.00156197 0.00162304 0.05484187 0.00919809 0.00982838 0.00154995 0.00158629 0.00984258 0 0.00206084 0.00162709 0.01138671 0.01176849 0.00168889 0.00176853 0.00171869 0.00162943 0.00191861 0.00165381 0.00176113 0.00186510 0.00161209 0.00912186 0.00958921 0.01011571 0.00134876 0.00171056 0.00213089 0.00895086 0.00901977 0.00161105 0.01149786 0.00153388 0.00644643 0.00614946 0.00957673 0.01127472 0.00250437 0.00159445 0.00939110 0.00878227 0.00906607 0.00925114 0.00609727 0.01043597 0.00161771 0.00169022 0.00907197
s_3293 0.00476343 0.00057073 0.01049081 0.00087128 0.00966902 0.00058669 0.00062642 0.00057108 0.00822611 0.00088183 0.00852071 0.00826357 0.00092055 0.00112665 0.00058267 0.00044206 0.00799629 0.00945629 0.01120605 0.00076480 0.00060125 0.00903574 0.00848899 0.00046517 0.00795543 0.00058840 0.00117807 0.00982975 0.01124377 0.00058113 0.00042159 0.00063198 0.00839533 0.00058038 0.00063251 0.00079971 0.00971427 0.00836859 0.01025703 0.00044399 0.00136784 0.00835600 0.00813779 0.00874835 0.00137964 0.00080119 0.00821195 0.00886925 0.00117061 0.00803224 0.00799459 0.00842734 0.00467543 0.00805161 0.00058973 0.00169624 0.00195335 0.00963923 0.01040362 0.00876823 0.00814274 0.00043674 0.00049842 0.01266840 0.00065527 0.00926628 0.00056513 0.00049220 0.00795962 0.00062602 0.00058283 0.00797162 0.00845373 0.00132020 0.00794531 0.00062723 0.00111832 0.00074085 0.00813627 0.01032640 0.00072336 0.00951868 0.00058360 0.00108696 0.01022533 0.00845689 0.01079249 0.00942335 0.00473806 0.01078453 0.00062826 0.00058044 0.00803777 0.00061244 0.00058473 0.00814476 0.01101402 0.00046288 0.00879707 0.00809458 0.00853086 0.00800077 0.00797174 0.00057956 0.00056812 0.05616475 0.00811896 0.00936242 0.00059594 0.00057749 0.00922796 0.00206084 0 0.00060056 0.01040853 0.01135922 0.00064878 0.00082244 0.00062513 0.00061313 0.00093897 0.00065160 0.00084264 0.00125970 0.00058221 0.00833394 0.00836697 0.00895973 0.00085127 0.00043473 0.00103955 0.00814067 0.00821061 0.00057941 0.01043677 0.00058996 0.00552056 0.00511935 0.00831187 0.00987270 0.00073719 0.00063129 0.00813180 0.00806313 0.00831282 0.00829335 0.00509029 0.00986385 0.00061428 0.00076831 0.00842032
s_3247 0.00444121 0.00007814 0.00998970 0.00055288 0.00939487 0.00011720 0.00010370 0.00007153 0.00768323 0.00045186 0.00834241 0.00792952 0.00046364 0.00086812 0.00009377 0.00022985 0.00773999 0.00911978 0.01067953 0.00024118 0.00012275 0.00902500 0.00826574 0.00018092 0.00782804 0.00007568 0.00073006 0.00918710 0.01082145 0.00008574 0.00022906 0.00014129 0.00811054 0.00009042 0.00014313 0.00035802 0.00892440 0.00843061 0.00976290 0.00022405 0.00099157 0.00837206 0.00779482 0.00849274 0.00099158 0.00033338 0.00776334 0.00878018 0.00109406 0.00742864 0.00771874 0.00764024 0.00432042 0.00771814 0.00007845 0.00136089 0.00154735 0.00901101 0.01003222 0.00843067 0.00795501 0.00021003 0.00032746 0.01221026 0.00017960 0.00902412 0.00008117 0.00012381 0.00784119 0.00011494 0.00008324 0.00776914 0.00765729 0.00093339 0.00779939 0.00028140 0.00064837 0.00046355 0.00794228 0.00996025 0.00060521 0.00937768 0.00008779 0.00063936 0.00976211 0.00810798 0.01021209 0.00926082 0.00443155 0.01029825 0.00014166 0.00007605 0.00773310 0.00010865 0.00010414 0.00794768 0.01057473 0.00024129 0.00886951 0.00795843 0.00765599 0.00783030 0.00748841 0.00007334 0.00010523 0.03528382 0.00766739 0.00907285 0.00009426 0.00008709 0.00907752 0.00162709 0.00060056 0 0.00991726 0.01087809 0.00018863 0.00039151 0.00029215 0.00013745 0.00054792 0.00014017 0.00038439 0.00081675 0.00009238 0.00803820 0.00841126 0.00897420 0.00029028 0.00020278 0.00056043 0.00763693 0.00790410 0.00008156 0.00959280 0.00008446 0.00512539 0.00480433 0.00808501 0.00923193 0.00054198 0.00012920 0.00795204 0.00782351 0.00765020 0.00808318 0.00479657 0.00924471 0.00009288 0.00034371 0.00761071
s_3307 0.01060806 0.01044625 0.00996814 0.01058389 0.00205099 0.01063848 0.01030516 0.01050920 0.01018540 0.01019001 0.00152407 0.00794601 0.01042804 0.01078064 0.01049581 0.00983991 0.00933980 0.01213493 0.01118171 0.01061145 0.01031603 0.00934769 0.00150832 0.01019319 0.01052142 0.01043478 0.01111715 0.00218807 0.01124581 0.01028243 0.00999843 0.01043003 0.00917078 0.01050088 0.01052308 0.01037656 0.00194415 0.00915793 0.01225415 0.00994728 0.01110107 0.00909553 0.01065007 0.00153576 0.01087999 0.01062762 0.00896382 0.01161258 0.01085135 0.00749924 0.00761906 0.01066434 0.01051078 0.01055196 0.01051343 0.01227886 0.01220040 0.00197399 0.00310877 0.00827965 0.00773216 0.01014946 0.01038287 0.01253166 0.01041963 0.01004298 0.01031380 0.01012859 0.01065069 0.01039593 0.01031397 0.00763913 0.01059851 0.01090228 0.01045557 0.01019112 0.01136819 0.00998869 0.00913249 0.01017629 0.01067100 0.01222950 0.01033111 0.01086108 0.00234677 0.01047758 0.01053000 0.00218614 0.01056100 0.01124531 0.01053613 0.01030841 0.00765910 0.01017511 0.01039193 0.01082154 0.01103365 0.01041933 0.00962882 0.01077692 0.01071124 0.01068980 0.01078546 0.01048685 0.01056521 0.05147410 0.00805077 0.00171937 0.01034928 0.01040693 0.00177901 0.01138671 0.01040853 0.00991726 0 0.01128283 0.01057749 0.01040649 0.01037307 0.01046312 0.01064195 0.01045023 0.01013765 0.01084234 0.01048769 0.00803985 0.00916678 0.00924485 0.01043822 0.01013454 0.01065953 0.00753842 0.00773841 0.01047492 0.00214939 0.01035052 0.01112893 0.01078515 0.01107142 0.00212934 0.01103380 0.01042595 0.01085320 0.01054821 0.01058574 0.00791379 0.01087789 0.00206328 0.01035628 0.01018147 0.01058605
s_3243 0.01106470 0.01088710 0.01377139 0.01119710 0.01022580 0.01085512 0.01082297 0.01082989 0.01130973 0.01110182 0.00972594 0.01116488 0.01111677 0.01151967 0.01093697 0.01100439 0.00958142 0.01233487 0.00116312 0.01110389 0.01087876 0.01122592 0.00975094 0.01088159 0.01102022 0.01084216 0.01138431 0.01039662 0.00109273 0.01092334 0.01100628 0.01098119 0.01117262 0.01092595 0.01097853 0.01115712 0.01013935 0.01104668 0.00503763 0.01106602 0.01177992 0.01101451 0.01111189 0.00971633 0.01126363 0.01096599 0.01100744 0.01178772 0.01201049 0.01084963 0.01078828 0.01128516 0.01082405 0.01099627 0.01092204 0.01226375 0.01266773 0.01012518 0.01138713 0.01162566 0.01103956 0.01099208 0.01108023 0.00208129 0.01100667 0.01277639 0.01087360 0.01099664 0.01097579 0.01095293 0.01094461 0.01085795 0.01128340 0.01164618 0.01089044 0.01089622 0.01127059 0.01085034 0.01105698 0.01334717 0.01143537 0.01245813 0.01092088 0.01141703 0.01055979 0.01071823 0.01390529 0.01043128 0.01103498 0.00112210 0.01090293 0.01081446 0.01085916 0.01094296 0.01094376 0.01119382 0.00110537 0.01096454 0.01128344 0.01097869 0.01128102 0.01112046 0.01105692 0.01080960 0.01088473 0.08137224 0.01122337 0.00996728 0.01098695 0.01085002 0.01000953 0.01176849 0.01135922 0.01087809 0.01128283 0 0.01108435 0.01104310 0.01104629 0.01090285 0.01122797 0.01095208 0.01111551 0.01137202 0.01088634 0.01129551 0.01104462 0.01112244 0.01099883 0.01109973 0.01128757 0.01077572 0.01103411 0.01086379 0.01042921 0.01089392 0.01178555 0.01146731 0.01139992 0.01030372 0.01142718 0.01093430 0.01118400 0.01103107 0.01124610 0.01122014 0.01143008 0.01016099 0.01093777 0.01095098 0.01118859
s_3178 0.00452191 0.00014364 0.01058148 0.00066490 0.00936903 0.00017875 0.00019132 0.00013732 0.00812867 0.00052508 0.00837986 0.00799018 0.00054918 0.00093862 0.00016068 0.00029348 0.00779560 0.00903856 0.01101458 0.00028947 0.00019723 0.00894724 0.00834021 0.00023463 0.00788115 0.00016377 0.00079873 0.00975882 0.01116550 0.00015050 0.00027175 0.00021786 0.00855985 0.00017193 0.00020823 0.00043487 0.00946372 0.00845144 0.01006617 0.00028968 0.00107023 0.00842871 0.00802589 0.00854642 0.00106193 0.00040171 0.00822739 0.00876192 0.00118397 0.00790528 0.00781390 0.00809816 0.00443161 0.00795263 0.00015754 0.00148502 0.00171352 0.00957679 0.01041194 0.00838074 0.00795750 0.00027791 0.00041284 0.01230576 0.00026642 0.00897843 0.00015121 0.00018798 0.00794402 0.00019271 0.00015550 0.00777968 0.00811497 0.00101579 0.00788152 0.00036506 0.00077233 0.00052201 0.00842602 0.00998701 0.00066565 0.00920235 0.00015821 0.00068516 0.01031567 0.00856444 0.01083292 0.00915924 0.00453330 0.01063154 0.00021389 0.00015218 0.00783701 0.00018402 0.00017493 0.00794983 0.01091873 0.00030467 0.00887839 0.00801186 0.00810185 0.00794478 0.00801390 0.00014112 0.00017003 0.05713541 0.00816468 0.00909558 0.00017339 0.00015892 0.00906282 0.00168889 0.00064878 0.00018863 0.01057749 0.01108435 0 0.00049417 0.00035956 0.00020125 0.00060799 0.00020693 0.00047614 0.00087639 0.00016154 0.00807668 0.00844082 0.00895049 0.00037468 0.00028451 0.00064124 0.00774677 0.00790377 0.00015270 0.01015554 0.00015851 0.00534037 0.00496563 0.00813053 0.00980679 0.00060542 0.00019856 0.00797985 0.00786352 0.00809820 0.00807387 0.00493017 0.00973701 0.00019008 0.00042190 0.00805124
s_3255 0.00464905 0.00038310 0.01017845 0.00067456 0.00916051 0.00046288 0.00040556 0.00038117 0.00782686 0.00022434 0.00833090 0.00785951 0.00027946 0.00095621 0.00037509 0.00049985 0.00775962 0.00893289 0.01101138 0.00055892 0.00042224 0.00883550 0.00826131 0.00040624 0.00785373 0.00038303 0.00109939 0.00957676 0.01117119 0.00038440 0.00048819 0.00043732 0.00826461 0.00039101 0.00045313 0.00015053 0.00925727 0.00811231 0.01007671 0.00050313 0.00071612 0.00811250 0.00805464 0.00847706 0.00099306 0.00064584 0.00787971 0.00850680 0.00124417 0.00764057 0.00784991 0.00780271 0.00453299 0.00795755 0.00039529 0.00125048 0.00203438 0.00947860 0.01034364 0.00826969 0.00808359 0.00048890 0.00055028 0.01245627 0.00047492 0.00896783 0.00038825 0.00037575 0.00766731 0.00042165 0.00038031 0.00789313 0.00781899 0.00072728 0.00781037 0.00040996 0.00105160 0.00074025 0.00814872 0.00996878 0.00086142 0.00932391 0.00041014 0.00093918 0.00991422 0.00852867 0.01055709 0.00923055 0.00462228 0.01063635 0.00044083 0.00039405 0.00762957 0.00040241 0.00040510 0.00774285 0.01092660 0.00053004 0.00880834 0.00775211 0.00781186 0.00787060 0.00765717 0.00038537 0.00043970 0.04777534 0.00790733 0.00883718 0.00039960 0.00039865 0.00885318 0.00176853 0.00082244 0.00039151 0.01040649 0.01104310 0.00049417 0 0.00053132 0.00043394 0.00033550 0.00042325 0.00019059 0.00090355 0.00039737 0.00799021 0.00816947 0.00866736 0.00041759 0.00053544 0.00085468 0.00782787 0.00803097 0.00037303 0.01005531 0.00039565 0.00545632 0.00506509 0.00808517 0.00968355 0.00073928 0.00043589 0.00796252 0.00786908 0.00778834 0.00792665 0.00506916 0.00936632 0.00040669 0.00012982 0.00775021
s_3269 0.00452316 0.00026653 0.01018311 0.00069210 0.00945148 0.00026151 0.00029448 0.00026968 0.00808802 0.00060325 0.00834176 0.00795220 0.00058915 0.00095180 0.00031920 0.00028280 0.00782872 0.00927365 0.01103614 0.00042502 0.00030209 0.00882304 0.00832952 0.00029533 0.00781232 0.00027461 0.00088241 0.00954706 0.01119400 0.00028071 0.00030105 0.00031038 0.00846322 0.00028346 0.00031128 0.00052982 0.00929585 0.00836930 0.01007722 0.00028385 0.00107279 0.00836219 0.00793169 0.00851869 0.00110676 0.00049641 0.00813822 0.00870340 0.00106044 0.00779690 0.00767906 0.00808364 0.00444337 0.00786935 0.00028610 0.00146633 0.00165671 0.00950515 0.01029829 0.00850452 0.00792180 0.00031354 0.00034887 0.01242859 0.00034932 0.00909012 0.00026916 0.00022929 0.00783459 0.00029896 0.00027536 0.00775961 0.00808756 0.00109612 0.00776252 0.00044208 0.00079392 0.00050746 0.00827279 0.01007534 0.00059542 0.00945043 0.00028081 0.00079890 0.01014497 0.00846492 0.01056929 0.00922287 0.00447328 0.01066820 0.00031772 0.00027401 0.00780656 0.00029768 0.00028498 0.00790335 0.01095946 0.00030320 0.00892008 0.00785743 0.00808359 0.00789810 0.00783077 0.00026749 0.00025364 0.05262517 0.00792224 0.00910913 0.00028481 0.00028341 0.00905916 0.00171869 0.00062513 0.00029215 0.01037307 0.01104629 0.00035956 0.00053132 0 0.00031757 0.00064658 0.00032935 0.00055686 0.00100133 0.00027256 0.00808511 0.00836225 0.00893030 0.00047123 0.00029754 0.00071328 0.00768698 0.00789313 0.00028746 0.01003663 0.00028135 0.00534156 0.00497792 0.00815392 0.00963470 0.00061473 0.00030241 0.00797202 0.00784588 0.00806408 0.00800518 0.00493938 0.00957138 0.00030289 0.00047067 0.00802399
s_3340 0.00446862 0.00010377 0.01024601 0.00059371 0.00938766 0.00013422 0.00014085 0.00010182 0.00791007 0.00046215 0.00835295 0.00799830 0.00049760 0.00085685 0.00011060 0.00024312 0.00777557 0.00911682 0.01096713 0.00025167 0.00014294 0.00890812 0.00829953 0.00018639 0.00782888 0.00010256 0.00074590 0.00968037 0.01110436 0.00012251 0.00023215 0.00015606 0.00853915 0.00012713 0.00015828 0.00038252 0.00948454 0.00846033 0.01003398 0.00022626 0.00099400 0.00843905 0.00804408 0.00852255 0.00098320 0.00034689 0.00831797 0.00874633 0.00109557 0.00789431 0.00775944 0.00807050 0.00437345 0.00785460 0.00011465 0.00144955 0.00160279 0.00913782 0.01020542 0.00845280 0.00794690 0.00022697 0.00034722 0.01230855 0.00018620 0.00902741 0.00011053 0.00014756 0.00788310 0.00014131 0.00011660 0.00778754 0.00812504 0.00095634 0.00778853 0.00030259 0.00068339 0.00047220 0.00834194 0.00999782 0.00062959 0.00938472 0.00011882 0.00061328 0.01025378 0.00853327 0.01084911 0.00922377 0.00440992 0.01056859 0.00016096 0.00010553 0.00780890 0.00014186 0.00012546 0.00801272 0.01081048 0.00025801 0.00872694 0.00798016 0.00817020 0.00791112 0.00802281 0.00011341 0.00013876 0.05676263 0.00815336 0.00908966 0.00012619 0.00011018 0.00907054 0.00162943 0.00061313 0.00013745 0.01046312 0.01090285 0.00020125 0.00043394 0.00031757 0 0.00056617 0.00015964 0.00041048 0.00080817 0.00011568 0.00807660 0.00842386 0.00885777 0.00031650 0.00023036 0.00055383 0.00771465 0.00789317 0.00010735 0.01011887 0.00011292 0.00526361 0.00488307 0.00816994 0.00971948 0.00056487 0.00015654 0.00801289 0.00787502 0.00812111 0.00807412 0.00482395 0.00965136 0.00013229 0.00037792 0.00802235
s_3212 0.00473534 0.00050571 0.01044133 0.00082383 0.00927730 0.00061171 0.00053616 0.00049892 0.00792343 0.00031195 0.00844750 0.00806929 0.00040206 0.00112756 0.00051057 0.00061973 0.00787152 0.00885550 0.01112850 0.00065809 0.00056429 0.00885286 0.00840742 0.00054510 0.00792899 0.00051981 0.00126415 0.00982622 0.01125742 0.00051308 0.00060905 0.00056488 0.00833386 0.00051632 0.00055223 0.00026939 0.00947371 0.00821230 0.01021382 0.00060920 0.00089354 0.00812901 0.00808616 0.00861414 0.00112604 0.00077109 0.00797830 0.00850577 0.00127058 0.00771049 0.00790081 0.00790655 0.00465548 0.00800247 0.00051124 0.00138871 0.00222042 0.00961883 0.01052857 0.00824791 0.00801790 0.00061273 0.00066666 0.01255884 0.00062618 0.00900642 0.00050594 0.00046021 0.00782222 0.00055781 0.00051442 0.00793338 0.00791026 0.00087874 0.00788948 0.00055936 0.00121422 0.00092249 0.00829140 0.01026413 0.00094694 0.00919838 0.00051785 0.00106355 0.01005757 0.00865344 0.01077424 0.00943111 0.00473001 0.01072385 0.00056666 0.00051485 0.00781129 0.00054711 0.00054588 0.00781336 0.01103288 0.00064019 0.00902724 0.00789603 0.00790636 0.00773790 0.00781665 0.00050737 0.00059075 0.05589619 0.00811217 0.00890880 0.00053627 0.00051333 0.00885045 0.00191861 0.00093897 0.00054792 0.01064195 0.01122797 0.00060799 0.00033550 0.00064658 0.00056617 0 0.00056761 0.00032836 0.00103931 0.00052222 0.00818585 0.00814761 0.00867531 0.00054431 0.00064031 0.00103686 0.00789153 0.00804252 0.00049247 0.01023012 0.00052801 0.00559318 0.00520499 0.00791502 0.00973809 0.00090050 0.00058091 0.00785661 0.00795985 0.00789234 0.00785484 0.00517509 0.00948634 0.00052715 0.00025484 0.00784009
s_3245 0.00447444 0.00009985 0.01045355 0.00060680 0.00939708 0.00014323 0.00012593 0.00009922 0.00805212 0.00047464 0.00833661 0.00798514 0.00051020 0.00089463 0.00009922 0.00025262 0.00773086 0.00916122 0.01099679 0.00031247 0.00014108 0.00896073 0.00825406 0.00019459 0.00785038 0.00010381 0.00077011 0.00965213 0.01115178 0.00010817 0.00025657 0.00014693 0.00852311 0.00011117 0.00015856 0.00040199 0.00934138 0.00844258 0.01006387 0.00025089 0.00102343 0.00838809 0.00796990 0.00850168 0.00100502 0.00037461 0.00816505 0.00879077 0.00114871 0.00777881 0.00769538 0.00800834 0.00436411 0.00792788 0.00011179 0.00145095 0.00162181 0.00953256 0.01042381 0.00843207 0.00788230 0.00023146 0.00036330 0.01231636 0.00019187 0.00906577 0.00010247 0.00015248 0.00785785 0.00013534 0.00010069 0.00772773 0.00802115 0.00097663 0.00781055 0.00030074 0.00069648 0.00049224 0.00836238 0.01015019 0.00066923 0.00937672 0.00011245 0.00062659 0.01014399 0.00849414 0.01069808 0.00925109 0.00444303 0.01062673 0.00017107 0.00010583 0.00772656 0.00013999 0.00013079 0.00792365 0.01092097 0.00026638 0.00887959 0.00792710 0.00801598 0.00781663 0.00787151 0.00010049 0.00013095 0.04989006 0.00804089 0.00905152 0.00011742 0.00011367 0.00905570 0.00165381 0.00065160 0.00014017 0.01045023 0.01095208 0.00020693 0.00042325 0.00032935 0.00015964 0.00056761 0 0.00043341 0.00082324 0.00011093 0.00813490 0.00844055 0.00885554 0.00029867 0.00024606 0.00058331 0.00763320 0.00782266 0.00010472 0.01007497 0.00011417 0.00527175 0.00489696 0.00813594 0.00964227 0.00055154 0.00013516 0.00796798 0.00782291 0.00802286 0.00810678 0.00489450 0.00969339 0.00010898 0.00036307 0.00795162
s_3252 0.00464471 0.00036886 0.00989607 0.00067540 0.00910810 0.00044009 0.00039307 0.00036165 0.00767132 0.00023325 0.00828172 0.00788872 0.00024343 0.00098669 0.00036855 0.00047178 0.00775398 0.00905052 0.01102626 0.00053818 0.00041644 0.00882416 0.00825201 0.00043838 0.00782207 0.00037504 0.00108470 0.00935697 0.01115906 0.00038630 0.00045752 0.00043076 0.00814722 0.00037782 0.00041508 0.00012808 0.00905557 0.00817595 0.01002370 0.00047108 0.00074583 0.00811842 0.00795402 0.00845490 0.00095463 0.00061747 0.00776163 0.00864652 0.00116941 0.00737546 0.00789201 0.00763645 0.00451928 0.00787182 0.00037422 0.00121072 0.00191255 0.00930374 0.01012833 0.00823825 0.00806366 0.00045931 0.00042057 0.01247659 0.00046889 0.00899136 0.00035968 0.00042424 0.00758265 0.00041513 0.00038822 0.00789558 0.00765663 0.00071599 0.00778803 0.00050452 0.00101949 0.00073601 0.00800851 0.01001776 0.00081453 0.00936474 0.00037180 0.00091432 0.00968357 0.00834528 0.01029051 0.00918659 0.00455853 0.01061761 0.00044108 0.00035982 0.00764092 0.00040330 0.00040440 0.00784678 0.01090418 0.00049898 0.00886154 0.00786135 0.00766245 0.00764463 0.00748765 0.00036481 0.00042231 0.04273773 0.00770046 0.00880635 0.00040179 0.00037020 0.00878444 0.00176113 0.00084264 0.00038439 0.01013765 0.01111551 0.00047614 0.00019059 0.00055686 0.00041048 0.00032836 0.00043341 0 0.00090144 0.00036799 0.00796943 0.00808118 0.00866732 0.00040764 0.00048885 0.00086883 0.00780998 0.00796675 0.00034328 0.00974845 0.00038029 0.00545724 0.00507495 0.00789141 0.00928171 0.00080519 0.00042293 0.00774217 0.00785007 0.00764082 0.00788729 0.00504107 0.00909541 0.00039834 0.00011617 0.00758725
s_3207 0.00461653 0.00074821 0.01081373 0.00108758 0.00968610 0.00079918 0.00081307 0.00074239 0.00811056 0.00094599 0.00857675 0.00817568 0.00101074 0.00132930 0.00076432 0.00093444 0.00792668 0.00939063 0.01117470 0.00095840 0.00080757 0.00930723 0.00852737 0.00086506 0.00774767 0.00077512 0.00148751 0.00996025 0.01131862 0.00077012 0.00089168 0.00083292 0.00893900 0.00076951 0.00083158 0.00080171 0.00968884 0.00867110 0.01025762 0.00094779 0.00160323 0.00864952 0.00798673 0.00884107 0.00118684 0.00100694 0.00870381 0.00894226 0.00180006 0.00802794 0.00797554 0.00811847 0.00449976 0.00791541 0.00074993 0.00242834 0.00286604 0.01003194 0.01073458 0.00860315 0.00804903 0.00102564 0.00102924 0.01260450 0.00089262 0.00943196 0.00075980 0.00067075 0.00815308 0.00081244 0.00076878 0.00801129 0.00815722 0.00147752 0.00771080 0.00073132 0.00197412 0.00115114 0.00876383 0.01033607 0.00130887 0.00947187 0.00076218 0.00132827 0.01052419 0.00857569 0.01102980 0.00953192 0.00462239 0.01079539 0.00080466 0.00076341 0.00800104 0.00080851 0.00079827 0.00815954 0.01108601 0.00096715 0.00892743 0.00814222 0.00814655 0.00814939 0.00818124 0.00076300 0.00077830 0.06726283 0.00842172 0.00927206 0.00078986 0.00076388 0.00920424 0.00186510 0.00125970 0.00081675 0.01084234 0.01137202 0.00087639 0.00090355 0.00100133 0.00080817 0.00103931 0.00082324 0.00090144 0 0.00075424 0.00836090 0.00863220 0.00911359 0.00052070 0.00092689 0.00134916 0.00796278 0.00810309 0.00075868 0.01049450 0.00079191 0.00543826 0.00511021 0.00832781 0.01025015 0.00147481 0.00081416 0.00817012 0.00772152 0.00816073 0.00833835 0.00500773 0.00994635 0.00080149 0.00083806 0.00810536
s_3344 0.00443025 0.00005960 0.01016045 0.00051808 0.00935259 0.00009266 0.00008487 0.00006102 0.00782996 0.00043010 0.00834180 0.00790840 0.00044949 0.00082785 0.00007029 0.00020875 0.00770393 0.00910050 0.01089910 0.00021736 0.00009941 0.00897610 0.00828565 0.00014568 0.00779766 0.00007181 0.00070912 0.00965104 0.01084699 0.00007315 0.00019987 0.00010318 0.00852851 0.00007253 0.00011093 0.00035227 0.00944143 0.00841471 0.00998128 0.00020896 0.00091188 0.00839334 0.00799343 0.00849336 0.00094196 0.00031402 0.00821220 0.00868639 0.00106453 0.00784183 0.00771442 0.00801367 0.00432309 0.00772858 0.00006911 0.00140128 0.00158391 0.00901816 0.01015773 0.00842068 0.00790867 0.00019031 0.00031820 0.01219787 0.00015387 0.00898748 0.00006803 0.00011676 0.00780978 0.00009290 0.00006503 0.00776069 0.00806279 0.00092357 0.00773505 0.00024886 0.00065733 0.00042309 0.00834566 0.01000441 0.00058021 0.00934382 0.00007881 0.00058606 0.01024213 0.00851685 0.01076444 0.00921049 0.00436968 0.01049703 0.00011555 0.00006587 0.00777798 0.00009403 0.00008587 0.00793972 0.01074440 0.00021739 0.00874661 0.00791684 0.00809712 0.00785204 0.00797626 0.00006612 0.00009127 0.05756802 0.00812786 0.00905122 0.00008196 0.00007498 0.00902105 0.00161209 0.00058221 0.00009238 0.01048769 0.01088634 0.00016154 0.00039737 0.00027256 0.00011568 0.00052222 0.00011093 0.00036799 0.00075424 0 0.00802391 0.00838002 0.00895403 0.00027128 0.00019475 0.00050131 0.00767694 0.00786711 0.00006652 0.01015936 0.00007497 0.00512144 0.00485922 0.00808815 0.00957977 0.00052772 0.00011190 0.00794377 0.00782109 0.00806177 0.00806412 0.00478942 0.00963020 0.00009105 0.00033894 0.00794828
