s_1645	s_1669	F_28	s_1661	s_1633	F_47	F_17	F_12	F_53	F_35	F_51	s_1688	s_1655	s_1617	s_1630	F_58	F_13	s_1626	F_37	s_1622	s_1691	s_1658	s_1666	F_39	F_44	F_64	F_31	s_1649	F_61	G_2	F_26	s_1613	F_19	F_21	s_1653	s_1667	s_1674	G_5	s_1684	F_32	s_1641	s_1686	s_1643	F_56	s_1689	s_1672	F_59	s_1632	F_41	F_27	F_54	F_15	s_1627	F_45	s_1664	s_1624	s_1615	s_1639	F_24	s_1679	s_1612	G_9	s_1677	s_1647	G_4	s_1692	F_52	F_34	F_25	s_1650	s_1620	F_11	F_18	F_62	F_43	s_1614	s_1648	F_29	s_1657	s_1671	s_1625	s_1646	s_1656	F_42	s_1660	F_40	s_1636	s_1690	s_1687	F_14	F_60	F_48	s_1682	F_20	F_23	F_57	s_1659	s_1676	s_1680	s_1638	s_1631	s_1662	F_36	F_66	F_38	G_7	s_1644	F_55	s_1637	F_67	F_46	F_65	G_8	s_1673	F_63	F_16	G_1	s_1654	s_1681	s_1683	s_1665	F_22	s_1621	G_6	F_30	s_1628	s_1685	s_1651	s_1642	G_3	F_33	F_50	s_1675	s_1668	s_1670	s_1678	F_49	s_1640	s_1623
F_38 0.00539103 0.00537124 0.00538198 0.00539642 0.00548871 0.00537783 0.00535884 0.00493988 0.00493986 0.00530946 0.00539519 0.00539117 0.08225195 0.00544589 0.00549451 0.00470671 0.00438676 0.00539248 0.00494331 0.00505906 0.00547586 0.00539172 0.00536888 0.00538096 0.07577437 0.15165546 0.00485922 0.00537208 0.00539847 0.00493311 0.00440882 0.00537095 0.00541282 0.00537972 0.00498365 0.00537591 0.00498107 0.00539684 0.00502446 0.00492238 0.00545231 0.00502513 0.00537094 0.00491006 0.00537005 0.00500854 0.00538543 0.00550983 0.00540827 0.00538258 0.00486828 0.00555459 0.00533893 0.00487884 0.00539713 0.00499618 0.00499011 0.00550826 0.00554303 0.00498417 0.08490198 0.00538079 0.00498450 0.00537608 0.00539038 0.00538693 0.00549232 0.00445513 0.00541568 0.00545418 0.00501069 0.00554228 0.00538350 0.00000000 0.00540307 0.00537740 0.00539648 0.00484942 0.08026775 0.00477608 0.00539073 0.00538007 0.00505099 0.00493761 0.00540301 0.00442062 0.00537220 0.00498342 0.00498413 0.00540555 0.07580767 0.00487393 0.00499149 0.00553146 0.00538748 0.00500138 0.00540031 0.00500722 0.00498470 0.00551732 0.00548833 0.00539324 0.00537959 0.00539766 0 0.00535661 0.00536870 0.00540371 0.00537380 0.00539141 0.00539956 0.00455529 0.00493262 0.00499580 0.00539109 0.00539646 0.00555230 0.00537458 0.00498230 0.00498202 0.00538598 0.00540889 0.00498596 0.00538107 0.00556065 0.05732122 0.00498091 0.00547349 0.00553079 0.00553827 0.00493954 0.15123653 0.00500905 0.00538397 0.00539269 0.00498375 0.00537874 0.00548225 0.00463891
G_7 0.00003423 0.00003777 0.00002133 0.00004499 0.00490163 0.00001945 0.00001993 0.00527057 0.00526945 0.00003285 0.00001284 0.00003759 0.07934865 0.00470543 0.00482339 0.00551404 0.00534852 0.00004440 0.00535502 0.00514891 0.00489424 0.00004462 0.00003832 0.00002119 0.07449238 0.15019857 0.00495477 0.00461603 0.00002110 0.00533098 0.00544622 0.00003696 0.00002417 0.00001862 0.00505721 0.00003809 0.00498317 0.00001133 0.00505603 0.00525657 0.00487085 0.00504345 0.00003599 0.00544399 0.00003775 0.00506631 0.00003218 0.00491951 0.00002246 0.00001998 0.00498940 0.00481124 0.00004131 0.00495767 0.00004548 0.00505768 0.00501566 0.00492048 0.00481819 0.00500868 0.08336393 0.00000801 0.00501581 0.00003623 0.00002486 0.00002951 0.00520146 0.00518866 0.00002558 0.00489537 0.00508495 0.00481361 0.00002113 0.00000000 0.00002109 0.00003544 0.00004346 0.00500007 0.07840620 0.00486406 0.00003202 0.00005159 0.00514233 0.00524701 0.00004519 0.00516029 0.00003599 0.00501484 0.00500344 0.00002474 0.07447933 0.00496863 0.00503789 0.00474912 0.00002507 0.00489405 0.00004518 0.00502921 0.00499430 0.00482863 0.00489861 0.00004544 0.00002268 0.00002186 0.00535661 0 0.00003591 0.00001849 0.00003591 0.00000458 0.00002133 0.00542150 0.00541783 0.00502995 0.00001905 0.00002181 0.00506609 0.00003666 0.00505924 0.00500593 0.00003793 0.00000689 0.00500533 0.00000878 0.00518573 0.05730643 0.00507272 0.00488841 0.00490943 0.00486894 0.00527130 0.14913483 0.00509675 0.00003776 0.00003775 0.00500649 0.00003339 0.00500152 0.00472064
s_1644 0.00000363 0.00000437 0.00003537 0.00001744 0.00481090 0.00001564 0.00001564 0.00532038 0.00532376 0.00005711 0.00005066 0.00000485 0.07967763 0.00470444 0.00482732 0.00552504 0.00540499 0.00000411 0.00542548 0.00544361 0.00480013 0.00001738 0.00000558 0.00002931 0.07519469 0.15237208 0.00509337 0.00483314 0.00003513 0.00552250 0.00550790 0.00000629 0.00003131 0.00004369 0.00537322 0.00000461 0.00537772 0.00004618 0.00544197 0.00530211 0.00480756 0.00544645 0.00000024 0.00545596 0.00000656 0.00539960 0.00000627 0.00482875 0.00001857 0.00002858 0.00510559 0.00520720 0.00000702 0.00508935 0.00001866 0.00536441 0.00530242 0.00483044 0.00524012 0.00537978 0.08352461 0.00003934 0.00538017 0.00000000 0.00003225 0.00003478 0.00522429 0.00525141 0.00003417 0.00480834 0.00539363 0.00512811 0.00001536 0.00000000 0.00003087 0.00000411 0.00001523 0.00511083 0.08210053 0.00537277 0.00000314 0.00002516 0.00546143 0.00531910 0.00001741 0.00522842 0.00000024 0.00537813 0.00537592 0.00004005 0.07517428 0.00509985 0.00537813 0.00505532 0.00003415 0.00538964 0.00001813 0.00539429 0.00538040 0.00483209 0.00480046 0.00001718 0.00002542 0.00003591 0.00536870 0.00003591 0 0.00004438 0.00000073 0.00003663 0.00003562 0.00565585 0.00552136 0.00538716 0.00002964 0.00003636 0.00529106 0.00000097 0.00537358 0.00537868 0.00000460 0.00003963 0.00531245 0.00004031 0.00523730 0.05757749 0.00537205 0.00482154 0.00483348 0.00503739 0.00532302 0.15207573 0.00539478 0.00000436 0.00000534 0.00538040 0.00000917 0.00485356 0.00497059
F_55 0.00004120 0.00004481 0.00002006 0.00005104 0.00473988 0.00002607 0.00002608 0.00531720 0.00531901 0.00002049 0.00002512 0.00004559 0.07555233 0.00474228 0.00482732 0.00558294 0.00539589 0.00005138 0.00541508 0.00514454 0.00471329 0.00005187 0.00004389 0.00002798 0.07532623 0.15220932 0.00510429 0.00465922 0.00001847 0.00532634 0.00549874 0.00004349 0.00003344 0.00000593 0.00507982 0.00004588 0.00498715 0.00002442 0.00507955 0.00529792 0.00473413 0.00507019 0.00004424 0.00550754 0.00004452 0.00507611 0.00003820 0.00475196 0.00003354 0.00002700 0.00506930 0.00474029 0.00004884 0.00509393 0.00005203 0.00507993 0.00504170 0.00474952 0.00476754 0.00501357 0.08006674 0.00002104 0.00501424 0.00004326 0.00003337 0.00002172 0.00524335 0.00524415 0.00003338 0.00468948 0.00510722 0.00474287 0.00002925 0.00000000 0.00001206 0.00004390 0.00005049 0.00514525 0.07468976 0.00487518 0.00004122 0.00005794 0.00516347 0.00530349 0.00005272 0.00521425 0.00004351 0.00502369 0.00501842 0.00002390 0.07511512 0.00511358 0.00504984 0.00492293 0.00003282 0.00499035 0.00005339 0.00504939 0.00499115 0.00485890 0.00472219 0.00005125 0.00002961 0.00002110 0.00540371 0.00001849 0.00004438 0 0.00004169 0.00002075 0.00001886 0.00574357 0.00532616 0.00503736 0.00000638 0.00002100 0.00488201 0.00004298 0.00507980 0.00502268 0.00004421 0.00002011 0.00502180 0.00002056 0.00521699 0.05342655 0.00508149 0.00468531 0.00478337 0.00468515 0.00531582 0.15110356 0.00510979 0.00004628 0.00004529 0.00501290 0.00003999 0.00479570 0.00472829
s_1637 0.00000363 0.00000436 0.00003440 0.00001741 0.00480973 0.00001221 0.00001221 0.00532890 0.00533219 0.00005420 0.00005041 0.00000413 0.07966232 0.00470257 0.00479672 0.00552795 0.00540806 0.00000338 0.00542373 0.00543937 0.00479696 0.00001764 0.00000510 0.00002884 0.07532912 0.15280738 0.00509883 0.00485407 0.00003440 0.00552054 0.00551234 0.00000556 0.00003061 0.00004098 0.00536789 0.00000437 0.00537241 0.00004569 0.00543640 0.00531000 0.00477764 0.00544087 0.00000024 0.00546079 0.00000436 0.00539415 0.00000555 0.00482761 0.00001638 0.00002836 0.00510809 0.00520234 0.00000702 0.00509601 0.00001767 0.00536058 0.00529798 0.00482996 0.00520471 0.00537444 0.08351426 0.00003885 0.00537482 0.00000000 0.00003083 0.00003406 0.00522913 0.00525479 0.00003299 0.00479888 0.00538977 0.00515314 0.00001366 1.00000000 0.00002840 0.00000387 0.00001522 0.00511609 0.08206602 0.00536764 0.00000290 0.00002440 0.00545587 0.00532726 0.00001739 0.00522875 0.00000000 0.00537300 0.00537092 0.00003929 0.07532905 0.00510669 0.00537279 0.00504880 0.00003274 0.00539207 0.00001739 0.00538895 0.00537540 0.00482667 0.00479964 0.00001768 0.00002423 0.00003515 0.00537380 0.00003591 0.00000073 0.00004169 0 0.00003639 0.00003489 0.00565960 0.00551940 0.00538180 0.00002717 0.00003587 0.00528316 0.00000024 0.00536828 0.00537337 0.00000436 0.00003888 0.00530865 0.00004007 0.00524212 0.05755990 0.00536672 0.00484825 0.00489030 0.00504036 0.00533166 0.15242635 0.00538941 0.00000485 0.00000436 0.00537506 0.00000894 0.00491194 0.00496725
F_67 0.00003496 0.00003849 0.00002250 0.00004546 0.00491087 0.00002035 0.00002159 0.00531143 0.00531281 0.00003063 0.00001294 0.00003856 0.07931078 0.00473685 0.00479963 0.00555788 0.00540317 0.00004536 0.00540621 0.00515236 0.00490503 0.00004509 0.00003929 0.00002283 0.07539698 0.15210933 0.00510177 0.00462158 0.00002176 0.00532281 0.00548975 0.00003719 0.00002858 0.00002149 0.00507022 0.00003881 0.00498397 0.00000993 0.00506971 0.00530097 0.00487966 0.00506560 0.00003671 0.00547882 0.00003823 0.00507111 0.00003428 0.00492590 0.00002864 0.00002207 0.00506883 0.00492244 0.00004203 0.00509074 0.00004596 0.00507066 0.00503214 0.00492579 0.00494762 0.00500922 0.08349833 0.00000693 0.00501018 0.00003647 0.00002950 0.00003004 0.00520258 0.00524708 0.00003078 0.00490112 0.00509805 0.00491920 0.00002279 0.00000000 0.00002221 0.00003616 0.00004345 0.00513738 0.07847861 0.00486669 0.00003323 0.00005231 0.00515244 0.00529644 0.00004566 0.00521988 0.00003671 0.00501889 0.00501459 0.00002620 0.07539180 0.00510480 0.00504454 0.00487997 0.00003070 0.00501580 0.00004566 0.00504043 0.00498714 0.00483214 0.00490199 0.00004543 0.00002385 0.00002351 0.00539141 0.00000458 0.00003663 0.00002075 0.00003639 0 0.00002224 0.00542854 0.00532171 0.00503269 0.00002122 0.00002322 0.00507051 0.00003689 0.00507080 0.00501813 0.00003841 0.00000902 0.00501745 0.00000970 0.00522039 0.05736882 0.00507219 0.00489303 0.00491251 0.00487071 0.00531022 0.15117324 0.00509983 0.00003824 0.00003848 0.00500947 0.00003525 0.00501379 0.00472418
F_46 0.00003346 0.00003368 0.00000258 0.00004467 0.00470319 0.00001976 0.00001910 0.00528233 0.00532031 0.00003242 0.00003663 0.00003349 0.07626598 0.00477606 0.00486821 0.00553128 0.00541078 0.00003290 0.00540738 0.00543669 0.00468503 0.00004479 0.00003445 0.00002109 0.07523463 0.15238212 0.00509463 0.00474378 0.00000211 0.00532920 0.00548948 0.00003494 0.00001814 0.00001534 0.00535649 0.00003398 0.00527130 0.00003088 0.00536403 0.00529003 0.00470277 0.00536296 0.00003520 0.00554110 0.00003366 0.00535672 0.00003196 0.00472358 0.00001784 0.00001987 0.00510042 0.00505574 0.00002755 0.00508131 0.00004517 0.00535728 0.00533447 0.00472157 0.00508826 0.00529868 0.08064149 0.00002544 0.00529872 0.00003447 0.00001811 0.00002474 0.00524247 0.00525017 0.00002027 0.00466277 0.00538673 0.00508608 0.00002105 0.00000000 0.00002106 0.00003302 0.00004268 0.00511097 0.07545202 0.00513370 0.00003272 0.00005040 0.00545428 0.00529565 0.00004487 0.00520830 0.00003497 0.00530237 0.00529904 0.00000728 0.07519423 0.00509266 0.00533422 0.00527483 0.00001976 0.00536186 0.00004511 0.00532675 0.00527402 0.00487187 0.00469189 0.00004490 0.00001713 0.00000399 0.00539956 0.00002133 0.00003562 0.00001886 0.00003489 0.00002224 0 0.00575636 0.00532638 0.00531871 0.00001686 0.00000399 0.00521071 0.00003464 0.00535772 0.00530140 0.00003458 0.00002302 0.00530146 0.00002495 0.00521644 0.05451214 0.00535840 0.00469470 0.00473388 0.00500461 0.00530937 0.15203286 0.00538890 0.00003465 0.00003415 0.00529793 0.00003246 0.00468693 0.00497794
F_65 0.00563010 0.00565820 0.00573363 0.00563940 0.00550820 0.00563984 0.00564477 0.00516532 0.00515279 0.00573354 0.00546976 0.00563276 0.08331738 0.00540852 0.00550257 0.00474507 0.00091200 0.00562175 0.00508746 0.00526406 0.00555613 0.00565539 0.00563032 0.00565441 0.07607013 0.15129400 0.00534314 0.00532014 0.00572545 0.00520782 0.00083292 0.00563453 0.00568508 0.00575288 0.00519792 0.00566275 0.00517655 0.00547002 0.00524117 0.00511274 0.00549748 0.00524693 0.00563544 0.00517792 0.00565721 0.00522685 0.00564642 0.00555136 0.00568313 0.00561536 0.00530718 0.00591325 0.00560997 0.00534233 0.00564167 0.00519535 0.00519616 0.00555880 0.00591090 0.00517819 0.08419861 0.00549756 0.00518415 0.00566315 0.00568659 0.00574085 0.00559038 0.00364813 0.00571600 0.00555432 0.00522744 0.00590751 0.00564389 0.00000000 0.00575737 0.00563298 0.00563795 0.00532435 0.08034105 0.00495287 0.00565920 0.00564518 0.00527454 0.00513991 0.00566624 0.00351814 0.00563649 0.00518930 0.00519292 0.00574652 0.07593082 0.00534367 0.00519120 0.00588723 0.00570516 0.00520117 0.00566361 0.00522239 0.00518242 0.00547992 0.00553085 0.00563777 0.00570528 0.00572232 0.00455529 0.00542150 0.00565585 0.00574357 0.00565960 0.00542854 0.00575636 0 0.00520731 0.00520608 0.00575503 0.00575080 0.00591721 0.00566743 0.00519492 0.00519327 0.00564598 0.00547094 0.00520000 0.00550209 0.00550565 0.05956731 0.00518973 0.00549473 0.00576808 0.00586873 0.00512773 0.15173719 0.00521921 0.00562239 0.00565721 0.00518136 0.00560700 0.00573445 0.00479746
G_8 0.00550808 0.00539856 0.00532432 0.00552002 0.00556552 0.00539431 0.00533307 0.00342774 0.00342559 0.00533289 0.00539430 0.00552344 0.08096169 0.00542709 0.00550549 0.00480407 0.00501202 0.00549545 0.00504472 0.00489503 0.00548836 0.00552486 0.00552055 0.00533222 0.07527933 0.15000499 0.00548494 0.00535672 0.00532413 0.00000370 0.00507806 0.00551830 0.00539151 0.00532640 0.00491097 0.00552544 0.00490967 0.00544320 0.00495299 0.00342057 0.00544833 0.00494826 0.00552703 0.00494816 0.00552410 0.00494266 0.00532541 0.00550851 0.00534285 0.00531839 0.00550263 0.00557267 0.00547311 0.00548345 0.00552648 0.00491087 0.00485277 0.00545449 0.00547797 0.00491449 0.08426916 0.00531711 0.00484755 0.00550923 0.00545579 0.00550199 0.00557985 0.00495636 0.00539809 0.00557616 0.00491893 0.00547677 0.00532945 0.00000000 0.00540576 0.00551906 0.00552321 0.00551876 0.07924219 0.00464088 0.00551506 0.00551640 0.00497737 0.00341286 0.00553243 0.00498373 0.00545434 0.00491049 0.00491831 0.00532204 0.07532965 0.00547894 0.00486064 0.00552961 0.00539337 0.00474320 0.00552424 0.00493856 0.00484734 0.00544710 0.00558352 0.00551091 0.00539997 0.00532310 0.00493262 0.00541783 0.00552136 0.00532616 0.00551940 0.00532171 0.00532638 0.00520731 0 0.00484627 0.00538765 0.00532912 0.00565193 0.00552632 0.00491045 0.00491686 0.00551629 0.00532205 0.00492075 0.00552952 0.00558682 0.05665381 0.00484744 0.00548272 0.00552028 0.00560554 0.00342774 0.15031619 0.00486867 0.00551578 0.00551610 0.00491356 0.00539096 0.00555859 0.00455363
s_1673 0.00538086 0.00537578 0.00531665 0.00539646 0.00561264 0.00533694 0.00533048 0.00477227 0.00477075 0.00504841 0.00503907 0.00532872 0.07907817 0.00549882 0.00557628 0.00503479 0.00499108 0.00530675 0.00502091 0.00001123 0.00559474 0.00532274 0.00538166 0.00532207 0.07624390 0.15209304 0.00572395 0.00496974 0.00532154 0.00488283 0.00509353 0.00530265 0.00532610 0.00533300 0.00000478 0.00541843 0.00000311 0.00503491 0.00000515 0.00477129 0.00556447 0.00000686 0.00538787 0.00449242 0.00532669 0.00000554 0.00532275 0.00561589 0.00533408 0.00533181 0.00570040 0.00532754 0.00524111 0.00578999 0.00540097 0.00000430 0.00005796 0.00561913 0.00534316 0.00000836 0.08283537 0.00502878 0.00000741 0.00530373 0.00532401 0.00534270 0.00567817 0.00494177 0.00533652 0.00560093 0.00000502 0.00533983 0.00531996 1.00000000 0.00504218 0.00530167 0.00538722 0.00570206 0.07734898 0.00000533 0.00532105 0.00537117 0.00000466 0.00477933 0.00539984 0.00491267 0.00538241 0.00000454 0.00000717 0.00532960 0.07625189 0.00577549 0.00001171 0.00533316 0.00533605 0.00002987 0.00539660 0.00000311 0.00000908 0.00559756 0.00560999 0.00532436 0.00534204 0.00532993 0.00499580 0.00502995 0.00538716 0.00503736 0.00538180 0.00503269 0.00531871 0.00520608 0.00484627 0 0.00534156 0.00532104 0.00547312 0.00530772 0.00000358 0.00000813 0.00532753 0.00503645 0.00000741 0.00503569 0.00572443 0.05306401 0.00000478 0.00553679 0.00556055 0.00532483 0.00476994 0.15161572 0.00000287 0.00538347 0.00540435 0.00000838 0.00530817 0.00548483 0.00000652
F_63 0.00002643 0.00003050 0.00001711 0.00003584 0.00470316 0.00002658 0.00002684 0.00531470 0.00531083 0.00002190 0.00003835 0.00003102 0.07603624 0.00483682 0.00490080 0.00558891 0.00539117 0.00002589 0.00541736 0.00544888 0.00467474 0.00003623 0.00002980 0.00002922 0.07598517 0.15231125 0.00514472 0.00466507 0.00001542 0.00539896 0.00546764 0.00002896 0.00003083 0.00000239 0.00538409 0.00003156 0.00529229 0.00002944 0.00539287 0.00528595 0.00462128 0.00538718 0.00002970 0.00550810 0.00003023 0.00537924 0.00002452 0.00471381 0.00003008 0.00002801 0.00509760 0.00509179 0.00003054 0.00513211 0.00003683 0.00538454 0.00533883 0.00471050 0.00509458 0.00532043 0.08047416 0.00002420 0.00532078 0.00002872 0.00003048 0.00002342 0.00524507 0.00525059 0.00003279 0.00465235 0.00541490 0.00509735 0.00002974 0.00000000 0.00001276 0.00002824 0.00003580 0.00515808 0.07512304 0.00515927 0.00002669 0.00004321 0.00548374 0.00527996 0.00003754 0.00526368 0.00002897 0.00532473 0.00532065 0.00002026 0.07615022 0.00513539 0.00535692 0.00519033 0.00003074 0.00530809 0.00003798 0.00535368 0.00529596 0.00482160 0.00468215 0.00003556 0.00002870 0.00001746 0.00539109 0.00001905 0.00002964 0.00000638 0.00002717 0.00002122 0.00001686 0.00575503 0.00538765 0.00534156 0 0.00001661 0.00522312 0.00002836 0.00538469 0.00532282 0.00002894 0.00002572 0.00532414 0.00002543 0.00522014 0.05440896 0.00538576 0.00457948 0.00466866 0.00497622 0.00530821 0.15163400 0.00541681 0.00003099 0.00003025 0.00531900 0.00002579 0.00461832 0.00499766
F_16 0.00003443 0.00003490 0.00000352 0.00004541 0.00470764 0.00001951 0.00001902 0.00528372 0.00531817 0.00003466 0.00003810 0.00003447 0.07619788 0.00475247 0.00484204 0.00553254 0.00540922 0.00003363 0.00540540 0.00543879 0.00468701 0.00004552 0.00003568 0.00002077 0.07514975 0.15227350 0.00510903 0.00474751 0.00000282 0.00533023 0.00549197 0.00003568 0.00001896 0.00001526 0.00535945 0.00003496 0.00526840 0.00003235 0.00536638 0.00529964 0.00470194 0.00536250 0.00003618 0.00553962 0.00003464 0.00535934 0.00003170 0.00472296 0.00001795 0.00002029 0.00512232 0.00505815 0.00002804 0.00510842 0.00004566 0.00535994 0.00533629 0.00472107 0.00504009 0.00529550 0.08063432 0.00002642 0.00529623 0.00003520 0.00001859 0.00002498 0.00524182 0.00523600 0.00001942 0.00463562 0.00538940 0.00505764 0.00002073 0.00000000 0.00002145 0.00003376 0.00004390 0.00512663 0.07544154 0.00513592 0.00003369 0.00005089 0.00545702 0.00531366 0.00004561 0.00520851 0.00003595 0.00530502 0.00529967 0.00000681 0.07513222 0.00511730 0.00533377 0.00516969 0.00002130 0.00530047 0.00004560 0.00532877 0.00527197 0.00487455 0.00469368 0.00004563 0.00001869 0.00000493 0.00539646 0.00002181 0.00003636 0.00002100 0.00003587 0.00002322 0.00000399 0.00575080 0.00532912 0.00532104 0.00001661 0 0.00521668 0.00003538 0.00536009 0.00530366 0.00003555 0.00002473 0.00530381 0.00002691 0.00522271 0.05451134 0.00536111 0.00466665 0.00473231 0.00501291 0.00531771 0.15198205 0.00539184 0.00003538 0.00003488 0.00529509 0.00003317 0.00471813 0.00498034
G_1 0.00533786 0.00528514 0.00520652 0.00537418 0.00081415 0.00537137 0.00537194 0.00568069 0.00567711 0.00484864 0.00507099 0.00534416 0.07762174 0.00086668 0.00088061 0.00582457 0.00558092 0.00534937 0.00564887 0.00551262 0.00083413 0.00524908 0.00537863 0.00536115 0.07522020 0.15132957 0.00548498 0.00090679 0.00521628 0.00565965 0.00560185 0.00537976 0.00541206 0.00521779 0.00547459 0.00526490 0.00546122 0.00507538 0.00550156 0.00568305 0.00086742 0.00550051 0.00538395 0.00575160 0.00528345 0.00547144 0.00535951 0.00078158 0.00541199 0.00536146 0.00545066 0.00000514 0.00529770 0.00542929 0.00534591 0.00547000 0.00547504 0.00078248 0.00001346 0.00546510 0.08057184 0.00506977 0.00546506 0.00529599 0.00541037 0.00521121 0.00489699 0.00549410 0.00541579 0.00079996 0.00547390 0.00001297 0.00536832 0.00000000 0.00488554 0.00535976 0.00537671 0.00536860 0.07573636 0.00522989 0.00528100 0.00534734 0.00550301 0.00567973 0.00528982 0.00551867 0.00538388 0.00547048 0.00547288 0.00520936 0.07522139 0.00533813 0.00547626 0.00009625 0.00542624 0.00546869 0.00528823 0.00547564 0.00546521 0.00085694 0.00081356 0.00536533 0.00541591 0.00521155 0.00555230 0.00506609 0.00529106 0.00488201 0.00528316 0.00507051 0.00521071 0.00591721 0.00565193 0.00547312 0.00522312 0.00521668 0 0.00536818 0.00547276 0.00547335 0.00524463 0.00507088 0.00547223 0.00507121 0.00524087 0.05546588 0.00547415 0.00085352 0.00090283 0.00003568 0.00567343 0.15056593 0.00547380 0.00537578 0.00528512 0.00546573 0.00535533 0.00092270 0.00504106
s_1654 0.00000389 0.00000414 0.00003439 0.00001777 0.00480595 0.00001427 0.00001427 0.00532697 0.00533054 0.00005623 0.00005175 0.00000440 0.07931088 0.00469866 0.00482250 0.00553803 0.00540414 0.00000364 0.00542490 0.00545127 0.00476047 0.00001800 0.00000513 0.00002903 0.07508685 0.15267115 0.00507701 0.00468111 0.00003415 0.00552719 0.00552102 0.00000584 0.00003130 0.00004227 0.00537037 0.00000439 0.00529876 0.00004626 0.00536045 0.00530747 0.00480273 0.00538924 0.00000049 0.00545832 0.00000610 0.00531957 0.00000583 0.00482403 0.00001698 0.00002879 0.00508756 0.00523083 0.00000557 0.00507711 0.00001803 0.00537113 0.00531039 0.00482452 0.00523501 0.00530083 0.08337631 0.00003937 0.00530121 0.00000024 0.00003127 0.00003403 0.00521745 0.00526100 0.00003320 0.00476208 0.00540082 0.00523270 0.00001375 1.00000000 0.00003010 0.00000438 0.00001507 0.00509566 0.08187840 0.00529376 0.00000268 0.00002501 0.00537967 0.00532545 0.00001774 0.00523695 0.00000024 0.00529906 0.00529705 0.00003932 0.07508738 0.00508522 0.00529923 0.00507591 0.00003270 0.00531852 0.00001774 0.00531482 0.00530145 0.00482621 0.00479542 0.00001804 0.00002463 0.00003539 0.00537458 0.00003666 0.00000097 0.00004298 0.00000024 0.00003689 0.00003464 0.00566743 0.00552632 0.00530772 0.00002836 0.00003538 0.00536818 0 0.00529435 0.00529941 0.00000415 0.00003940 0.00531915 0.00004061 0.00525583 0.05680905 0.00529285 0.00480822 0.00483014 0.00503744 0.00533029 0.15235346 0.00531604 0.00000537 0.00000414 0.00530183 0.00000924 0.00485133 0.00497487
s_1681 0.00536720 0.00536170 0.00535666 0.00538283 0.00561620 0.00537617 0.00537068 0.00477595 0.00477162 0.00508976 0.00507756 0.00536222 0.07922659 0.00549401 0.00557743 0.00503111 0.00494992 0.00530060 0.00501781 0.00001120 0.00559388 0.00530981 0.00536743 0.00535749 0.07603369 0.15209238 0.00574524 0.00497234 0.00536045 0.00494682 0.00509804 0.00528922 0.00536008 0.00537658 0.00000524 0.00540382 0.00000357 0.00507351 0.00000562 0.00475170 0.00556719 0.00000562 0.00537417 0.00447105 0.00536017 0.00000505 0.00535768 0.00561913 0.00538943 0.00536854 0.00578502 0.00532885 0.00523070 0.00574395 0.00538731 0.00000500 0.00005707 0.00562171 0.00534447 0.00000762 0.08291063 0.00506751 0.00000762 0.00529043 0.00535944 0.00538309 0.00569844 0.00492373 0.00537210 0.00560364 0.00000406 0.00533899 0.00536320 1.00000000 0.00508097 0.00528865 0.00537361 0.00573966 0.07748693 0.00000623 0.00530770 0.00536171 0.00000392 0.00477987 0.00538630 0.00498933 0.00536874 0.00000286 0.00000691 0.00536927 0.07604288 0.00578246 0.00001215 0.00533887 0.00537082 0.00003026 0.00538310 0.00000335 0.00000977 0.00560097 0.00561231 0.00531094 0.00537696 0.00536956 0.00498230 0.00505924 0.00537358 0.00507980 0.00536828 0.00507080 0.00535772 0.00519492 0.00491045 0.00000358 0.00538469 0.00536009 0.00547276 0.00529435 0 0.00000548 0.00531325 0.00507541 0.00000548 0.00507446 0.00570056 0.05881470 0.00000405 0.00554127 0.00556296 0.00532395 0.00477901 0.15162769 0.00000382 0.00536924 0.00538981 0.00000834 0.00534369 0.00548936 0.00000494
s_1683 0.00537229 0.00536511 0.00530059 0.00538827 0.00560723 0.00531916 0.00531305 0.00477652 0.00477772 0.00503223 0.00502335 0.00530771 0.07925543 0.00548709 0.00557036 0.00503292 0.00497141 0.00530562 0.00502449 0.00001170 0.00559200 0.00531507 0.00537141 0.00530429 0.07623148 0.15214165 0.00570566 0.00496591 0.00530470 0.00494739 0.00509319 0.00529429 0.00530681 0.00531593 0.00000882 0.00540760 0.00000810 0.00501913 0.00000586 0.00476785 0.00556223 0.00000440 0.00537927 0.00447468 0.00530510 0.00000697 0.00530571 0.00561360 0.00533684 0.00531382 0.00570676 0.00532636 0.00523580 0.00577021 0.00539333 0.00000786 0.00005837 0.00561383 0.00534450 0.00001072 0.08295567 0.00501413 0.00001048 0.00529547 0.00530774 0.00532612 0.00570067 0.00491965 0.00531898 0.00559529 0.00000740 0.00533990 0.00530249 1.00000000 0.00502606 0.00529368 0.00538013 0.00565902 0.07753405 0.00000808 0.00531275 0.00536270 0.00000710 0.00478545 0.00539175 0.00489305 0.00537384 0.00000524 0.00000715 0.00531260 0.07623758 0.00580356 0.00001239 0.00533901 0.00531862 0.00003385 0.00538910 0.00000598 0.00001143 0.00559319 0.00560371 0.00531656 0.00532483 0.00531289 0.00498202 0.00500593 0.00537868 0.00502268 0.00537337 0.00501813 0.00530140 0.00519327 0.00491686 0.00000813 0.00532282 0.00530366 0.00547335 0.00529941 0.00000548 0 0.00531754 0.00502061 0.00000858 0.00502099 0.00570431 0.06422947 0.00000524 0.00553484 0.00555629 0.00532432 0.00478194 0.15164719 0.00000837 0.00537322 0.00539415 0.00001024 0.00529164 0.00548306 0.00000606
