s_4408	s_4392	s_4428	s_4448	s_4481	s_4445	s_4439	s_4419	s_4449	s_4443	s_4490	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4497	s_4464	s_4496	s_4461	s_4407	s_4488	s_4399	s_4390	s_4405	s_4442	s_4489	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4478	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4492	s_4482	s_4495	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4479	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4494	s_4493	s_4491	s_4453	s_4438	s_4475	s_4429
s_4423 0.00022982 0.00015644 0.00359120 0.01439379 0.00361369 0.00020896 0.00348861 0.00269770 0.01447502 0.00377452 0.00357308 0.00191212 0.00324511 0.00360707 0.00327044 0.00341767 0.00013654 0.00354108 0.00021556 0.00355063 0.00205434 0.00022597 0.00019874 0.00203121 0.00025014 0.00357727 0.00363115 0.00356918 0.00354437 0.00023736 0.00356926 0.00013869 0.00015612 0.00185156 0.00053821 0.00354750 0.00183597 0.00352776 0.00015889 0.00020547 0.00096117 0.01413799 0.01450405 0.00333787 0.00358638 0.00358401 0.00180109 0.00018611 0.00360428 0.00017930 0.00334589 0.00022577 0.00020820 0 0.00352932 0.00352224 0.00186318 0.00358798 0.00186204 0.00340185 0.00032787 0.00188625 0.00336436 0.00361674 0.00289345 0.00357232 0.00357220 0.00337720 0.01433234 0.00330147 0.00350139 0.00327609 0.00286176 0.00281760 0.00361059 0.00186774 0.00186828 0.00354111 0.00021158 0.00019057 0.00358487 0.00354753
s_4432 0.00359721 0.00350452 0.00061038 0.01597610 0.00059445 0.00360980 0.00062226 0.00303234 0.01594476 0.00099983 0.00062628 0.00360704 0.00059013 0.00059468 0.00078675 0.00068525 0.00360421 0.00081035 0.00352977 0.00062164 0.00363006 0.00352597 0.00354495 0.00375795 0.00363052 0.00060187 0.00060037 0.00062687 0.00076461 0.00362210 0.00058924 0.00343857 0.00346567 0.00346810 0.00366593 0.00058855 0.00357435 0.00064721 0.00346637 0.00350085 0.00217435 0.01550793 0.01601862 0.00058790 0.00059982 0.00061938 0.00128324 0.00357576 0.00055677 0.00359234 0.00058731 0.00360704 0.00353370 0.00352932 0 0.00061646 0.00356462 0.00059469 0.00356671 0.00058532 0.00349789 0.00350459 0.00059483 0.00061242 0.00037747 0.00063987 0.00060362 0.00058862 0.01554867 0.00074814 0.00061380 0.00062208 0.00037472 0.00033692 0.00058697 0.00356930 0.00356783 0.00061093 0.00365874 0.00350627 0.00056708 0.00065381
s_4433 0.00360371 0.00350916 0.00060511 0.01560294 0.00059043 0.00360746 0.00062581 0.00305922 0.01565592 0.00098557 0.00060349 0.00358822 0.00056864 0.00059591 0.00081327 0.00069883 0.00358555 0.00079935 0.00352712 0.00063037 0.00362638 0.00352184 0.00353837 0.00376100 0.00363019 0.00061475 0.00060528 0.00060320 0.00073110 0.00361234 0.00059421 0.00342692 0.00346177 0.00346612 0.00361917 0.00057698 0.00358433 0.00066830 0.00346826 0.00350862 0.00217017 0.01516581 0.01570607 0.00057713 0.00059645 0.00060474 0.00130521 0.00356700 0.00055224 0.00356328 0.00058534 0.00359920 0.00353360 0.00352224 0.00061646 0 0.00355824 0.00061219 0.00355892 0.00059767 0.00348537 0.00350452 0.00059526 0.00060360 0.00037928 0.00064685 0.00060134 0.00059056 0.01551610 0.00076289 0.00060847 0.00061280 0.00039020 0.00032526 0.00059204 0.00355610 0.00356117 0.00060778 0.00362744 0.00348055 0.00058130 0.00065006
s_4492 0.00190392 0.00180154 0.00361492 0.01499503 0.00384317 0.00186379 0.00352826 0.00270397 0.01516831 0.00395136 0.00374719 0.00004124 0.00321938 0.00365161 0.00330338 0.00345742 0.00189328 0.00356055 0.00184321 0.00368282 0.00134868 0.00185913 0.00187205 0.00159287 0.00192361 0.00377293 0.00368143 0.00375314 0.00376175 0.00190346 0.00373360 0.00181278 0.00176436 0.00008252 0.00206472 0.00369387 0.00009072 0.00359337 0.00178588 0.00183415 0.00200719 0.01476064 0.01517569 0.00336318 0.00378347 0.00364118 0.00221486 0.00185743 0.00362226 0.00187540 0.00333979 0.00189195 0.00185478 0.00186318 0.00356462 0.00355824 0 0.00384811 0.00002198 0.00327367 0.00192206 0.00008733 0.00336764 0.00360266 0.00285953 0.00361373 0.00381366 0.00338686 0.01484993 0.00342784 0.00356694 0.00323623 0.00285612 0.00277271 0.00360579 0.00002364 0.00003122 0.00373656 0.00193301 0.00193807 0.00364164 0.00359480
s_4482 0.00367661 0.00359954 0.00057279 0.01542984 0.00049708 0.00375999 0.00059795 0.00315432 0.01560548 0.00106065 0.00052499 0.00373033 0.00051205 0.00055978 0.00074188 0.00068009 0.00368794 0.00078845 0.00360104 0.00061119 0.00372091 0.00358724 0.00362508 0.00389806 0.00369520 0.00052995 0.00058206 0.00054468 0.00078011 0.00369228 0.00051713 0.00351380 0.00353613 0.00354690 0.00374833 0.00049011 0.00370313 0.00062183 0.00355636 0.00358109 0.00222024 0.01519686 0.01569177 0.00051261 0.00048160 0.00059391 0.00133380 0.00364685 0.00052313 0.00372745 0.00054135 0.00367626 0.00361063 0.00358798 0.00059469 0.00061219 0.00384811 0 0.00384666 0.00051507 0.00375686 0.00360512 0.00053891 0.00058136 0.00030624 0.00061807 0.00050677 0.00052217 0.01507722 0.00075630 0.00059116 0.00054561 0.00031974 0.00026471 0.00056733 0.00384680 0.00384500 0.00051982 0.00376330 0.00365041 0.00055330 0.00062024
s_4495 0.00189512 0.00179247 0.00361197 0.01498073 0.00384956 0.00186737 0.00352328 0.00271262 0.01516898 0.00395559 0.00375733 0.00004068 0.00322218 0.00365859 0.00329492 0.00346243 0.00188802 0.00355909 0.00183822 0.00369262 0.00133126 0.00185720 0.00186627 0.00161268 0.00191318 0.00378306 0.00368071 0.00375012 0.00377576 0.00189367 0.00374005 0.00179869 0.00176947 0.00008328 0.00205855 0.00369540 0.00009126 0.00358766 0.00177956 0.00182694 0.00200709 0.01476215 0.01516025 0.00335671 0.00379005 0.00364464 0.00222171 0.00184830 0.00362134 0.00186895 0.00334490 0.00188620 0.00184747 0.00186204 0.00356671 0.00355892 0.00002198 0.00384666 0 0.00325603 0.00192332 0.00008300 0.00336032 0.00360258 0.00286545 0.00360992 0.00381702 0.00338975 0.01484245 0.00341486 0.00356422 0.00323545 0.00285455 0.00277831 0.00360435 0.00002162 0.00002774 0.00374539 0.00192954 0.00192939 0.00364362 0.00359567
s_4476 0.00355886 0.00340046 0.00055822 0.01640420 0.00054884 0.00360159 0.00060553 0.00290577 0.01625148 0.00097352 0.00051968 0.00340748 0.00054319 0.00054170 0.00079014 0.00068736 0.00356812 0.00079118 0.00348005 0.00057442 0.00296136 0.00344746 0.00344728 0.00317329 0.00356852 0.00053193 0.00056715 0.00056170 0.00076636 0.00351913 0.00054575 0.00335746 0.00337786 0.00317531 0.00356346 0.00054481 0.00317967 0.00059750 0.00335353 0.00339416 0.00209218 0.01586544 0.01607815 0.00053915 0.00054876 0.00053685 0.00121524 0.00347335 0.00050192 0.00355350 0.00053184 0.00351622 0.00342977 0.00340185 0.00058532 0.00059767 0.00327367 0.00051507 0.00325603 0 0.00360114 0.00327890 0.00053785 0.00055797 0.00036406 0.00061179 0.00054322 0.00054563 0.01601108 0.00081105 0.00060953 0.00060266 0.00035353 0.00031362 0.00056085 0.00326160 0.00326840 0.00054314 0.00360359 0.00354571 0.00054700 0.00060411
s_4474 0.00028858 0.00016591 0.00356580 0.01419368 0.00370632 0.00021586 0.00349867 0.00264746 0.01412916 0.00374635 0.00364066 0.00193788 0.00322953 0.00358907 0.00333629 0.00337691 0.00027200 0.00351017 0.00022560 0.00355358 0.00203174 0.00026396 0.00023208 0.00196239 0.00029623 0.00364266 0.00363334 0.00364320 0.00382258 0.00029258 0.00363845 0.00028945 0.00016581 0.00187937 0.00056168 0.00356407 0.00182099 0.00351464 0.00016795 0.00024094 0.00098716 0.01374629 0.01393655 0.00329807 0.00366635 0.00356933 0.00188571 0.00020569 0.00358331 0.00018940 0.00325262 0.00027672 0.00025121 0.00032787 0.00349789 0.00348537 0.00192206 0.00375686 0.00192332 0.00360114 0 0.00189007 0.00334535 0.00355779 0.00287021 0.00358031 0.00369421 0.00330800 0.01368910 0.00340604 0.00350319 0.00322866 0.00285285 0.00281772 0.00357802 0.00192301 0.00192410 0.00363150 0.00025127 0.00032282 0.00369148 0.00351430
s_4406 0.00192461 0.00182223 0.00358275 0.01472457 0.00361077 0.00183179 0.00345136 0.00276763 0.01470739 0.00375752 0.00354394 0.00007326 0.00326948 0.00356741 0.00327477 0.00340935 0.00189033 0.00349842 0.00186625 0.00355635 0.00137925 0.00186412 0.00188373 0.00154539 0.00195007 0.00356090 0.00359579 0.00353494 0.00352830 0.00194178 0.00353842 0.00180190 0.00180110 0.00011355 0.00202910 0.00352026 0.00012231 0.00351369 0.00181338 0.00186629 0.00220285 0.01433218 0.01472394 0.00335051 0.00358517 0.00357116 0.00248162 0.00186291 0.00358523 0.00185512 0.00335191 0.00191902 0.00186528 0.00188625 0.00350459 0.00350452 0.00008733 0.00360512 0.00008300 0.00327890 0.00189007 0 0.00336268 0.00357408 0.00284307 0.00353998 0.00356697 0.00336518 0.01457040 0.00327458 0.00349161 0.00324955 0.00281318 0.00279461 0.00360656 0.00008507 0.00008736 0.00352529 0.00191637 0.00193359 0.00357995 0.00353424
s_4418 0.00344737 0.00336218 0.00059804 0.01489800 0.00053279 0.00335941 0.00062748 0.00291685 0.01493670 0.00096347 0.00054242 0.00339509 0.00052095 0.00054560 0.00074892 0.00065963 0.00333293 0.00076635 0.00337756 0.00059138 0.00342244 0.00334078 0.00337043 0.00340517 0.00345020 0.00053907 0.00059071 0.00055143 0.00072824 0.00346588 0.00054279 0.00327957 0.00333759 0.00331387 0.00345215 0.00052834 0.00338651 0.00061533 0.00332349 0.00334300 0.00215108 0.01455402 0.01493058 0.00051511 0.00054116 0.00058749 0.00131843 0.00340385 0.00051997 0.00339188 0.00053572 0.00342891 0.00335737 0.00336436 0.00059483 0.00059526 0.00336764 0.00053891 0.00336032 0.00053785 0.00334535 0.00336268 0 0.00058983 0.00037547 0.00061413 0.00055434 0.00050115 0.01466726 0.00072323 0.00059666 0.00056887 0.00038686 0.00033271 0.00055467 0.00336120 0.00337460 0.00051291 0.00345060 0.00331727 0.00054926 0.00061255
s_4437 0.00368441 0.00359660 0.00056671 0.01593712 0.00057256 0.00366013 0.00055372 0.00309569 0.01596802 0.00105290 0.00059274 0.00367112 0.00057035 0.00058776 0.00072981 0.00067638 0.00369453 0.00076909 0.00362335 0.00060021 0.00367061 0.00359100 0.00361979 0.00378414 0.00372513 0.00058918 0.00052881 0.00059441 0.00066049 0.00370303 0.00059480 0.00351702 0.00355229 0.00354015 0.00373273 0.00057600 0.00366490 0.00064250 0.00355269 0.00357788 0.00212962 0.01552505 0.01598797 0.00056649 0.00058210 0.00058807 0.00123200 0.00366325 0.00051793 0.00367393 0.00059314 0.00369103 0.00361511 0.00361674 0.00061242 0.00060360 0.00360266 0.00058136 0.00360258 0.00055797 0.00355779 0.00357408 0.00058983 0 0.00027583 0.00054908 0.00058546 0.00059148 0.01552499 0.00068576 0.00063702 0.00059440 0.00028888 0.00025009 0.00050016 0.00359817 0.00360797 0.00058493 0.00374277 0.00361100 0.00054536 0.00063038
s_4401 0.00297312 0.00287299 0.00036448 0.01369250 0.00030082 0.00289368 0.00030602 0.00243843 0.01365906 0.00079359 0.00032866 0.00287934 0.00040246 0.00033762 0.00052592 0.00043833 0.00292226 0.00046522 0.00287972 0.00035078 0.00292121 0.00286172 0.00289862 0.00299753 0.00297831 0.00032830 0.00027106 0.00033728 0.00045413 0.00295990 0.00033676 0.00279165 0.00284154 0.00282046 0.00302285 0.00031864 0.00290581 0.00037540 0.00284419 0.00288078 0.00179442 0.01330652 0.01366394 0.00035077 0.00030404 0.00031638 0.00099000 0.00291386 0.00028373 0.00290961 0.00035486 0.00292889 0.00284024 0.00289345 0.00037747 0.00037928 0.00285953 0.00030624 0.00286545 0.00036406 0.00287021 0.00284307 0.00037547 0.00027583 0 0.00029072 0.00031144 0.00037284 0.01338841 0.00045245 0.00038792 0.00037472 0.00017324 0.00018296 0.00028433 0.00285862 0.00286193 0.00033809 0.00296749 0.00285204 0.00031941 0.00037348
s_4436 0.00364902 0.00356994 0.00058846 0.01586683 0.00061665 0.00364951 0.00058986 0.00307523 0.01596321 0.00108536 0.00063318 0.00365133 0.00057249 0.00061442 0.00075514 0.00071751 0.00368500 0.00077017 0.00358009 0.00060944 0.00363546 0.00356914 0.00359633 0.00379414 0.00369547 0.00062524 0.00057002 0.00063211 0.00067848 0.00368021 0.00062183 0.00348107 0.00351302 0.00349555 0.00372354 0.00060012 0.00362654 0.00065875 0.00352430 0.00354204 0.00210963 0.01553229 0.01599158 0.00060918 0.00061539 0.00061046 0.00121141 0.00361802 0.00056234 0.00365387 0.00059115 0.00365089 0.00358534 0.00357232 0.00063987 0.00064685 0.00361373 0.00061807 0.00360992 0.00061179 0.00358031 0.00353998 0.00061413 0.00054908 0.00029072 0 0.00064116 0.00061391 0.01550995 0.00070340 0.00063848 0.00060350 0.00030635 0.00026926 0.00053966 0.00361174 0.00361214 0.00063296 0.00373177 0.00358375 0.00057257 0.00065249
s_4479 0.00364217 0.00356688 0.00059546 0.01534585 0.00050827 0.00370638 0.00060719 0.00311849 0.01554046 0.00106292 0.00052815 0.00368257 0.00053020 0.00057083 0.00073908 0.00068723 0.00367600 0.00079957 0.00356186 0.00062575 0.00368150 0.00356850 0.00360490 0.00385898 0.00367690 0.00053316 0.00058950 0.00056021 0.00077450 0.00364657 0.00052665 0.00349379 0.00346886 0.00351422 0.00370434 0.00051124 0.00368078 0.00062829 0.00352723 0.00354642 0.00223619 0.01514460 0.01562106 0.00051877 0.00049645 0.00060888 0.00134039 0.00362125 0.00051154 0.00369037 0.00053230 0.00364045 0.00357210 0.00357220 0.00060362 0.00060134 0.00381366 0.00050677 0.00381702 0.00054322 0.00369421 0.00356697 0.00055434 0.00058546 0.00031144 0.00064116 0 0.00053330 0.01502202 0.00077460 0.00061460 0.00054019 0.00031770 0.00027979 0.00056473 0.00380357 0.00380712 0.00053358 0.00371162 0.00357319 0.00054514 0.00061582
s_4420 0.00345753 0.00336018 0.00057937 0.01498325 0.00052840 0.00339024 0.00062222 0.00285612 0.01503786 0.00098959 0.00055401 0.00340460 0.00053486 0.00055332 0.00073910 0.00067105 0.00341395 0.00076380 0.00338578 0.00058084 0.00344614 0.00337914 0.00339835 0.00347000 0.00348486 0.00055765 0.00058030 0.00055488 0.00070513 0.00347438 0.00052428 0.00330010 0.00332677 0.00332268 0.00348834 0.00051193 0.00341632 0.00062513 0.00332464 0.00336155 0.00215881 0.01465910 0.01507617 0.00052804 0.00054046 0.00058208 0.00135071 0.00342633 0.00052324 0.00341414 0.00053228 0.00344700 0.00337087 0.00337720 0.00058862 0.00059056 0.00338686 0.00052217 0.00338975 0.00054563 0.00330800 0.00336518 0.00050115 0.00059148 0.00037284 0.00061391 0.00053330 0 0.01469282 0.00073725 0.00062207 0.00054789 0.00038156 0.00033681 0.00056120 0.00337785 0.00338637 0.00054197 0.00347547 0.00334711 0.00057837 0.00059479
s_4403 0.01457849 0.01443428 0.01549458 0.00005794 0.01555998 0.01378938 0.01534599 0.01465909 0.00004737 0.01450331 0.01551462 0.01496538 0.01431312 0.01548805 0.01398547 0.01571995 0.01469125 0.01549205 0.01439118 0.01572761 0.01480590 0.01416971 0.01442525 0.01394402 0.01463878 0.01536619 0.01561696 0.01540997 0.01347067 0.01453792 0.01540003 0.01402977 0.01425100 0.01462559 0.01409744 0.01528033 0.01386833 0.01546530 0.01422564 0.01422992 0.01192920 0.00008083 0.00004400 0.01453003 0.01559636 0.01553363 0.01394316 0.01457611 0.01518571 0.01473709 0.01452188 0.01457475 0.01438666 0.01433234 0.01554867 0.01551610 0.01484993 0.01507722 0.01484245 0.01601108 0.01368910 0.01457040 0.01466726 0.01552499 0.01338841 0.01550995 0.01502202 0.01469282 0 0.01420922 0.01542673 0.01423786 0.01306730 0.01289890 0.01560048 0.01485787 0.01484845 0.01548824 0.01483264 0.01453635 0.01572053 0.01537065
s_4469 0.00340076 0.00332086 0.00074806 0.01418529 0.00075785 0.00337781 0.00070960 0.00283357 0.01446341 0.00114934 0.00078331 0.00334386 0.00072585 0.00072261 0.00077103 0.00084328 0.00334822 0.00083005 0.00334865 0.00079943 0.00339388 0.00335756 0.00336226 0.00363883 0.00345978 0.00076937 0.00069931 0.00076505 0.00074243 0.00341394 0.00076981 0.00316074 0.00323832 0.00325027 0.00355112 0.00078000 0.00333064 0.00077487 0.00329182 0.00333643 0.00205429 0.01409947 0.01445799 0.00073672 0.00077733 0.00074767 0.00108744 0.00337218 0.00071160 0.00343993 0.00069434 0.00339691 0.00336519 0.00330147 0.00074814 0.00076289 0.00342784 0.00075630 0.00341486 0.00081105 0.00340604 0.00327458 0.00072323 0.00068576 0.00045245 0.00070340 0.00077460 0.00073725 0.01420922 0 0.00077351 0.00067547 0.00047662 0.00043153 0.00068315 0.00342466 0.00341949 0.00077720 0.00348157 0.00319786 0.00079233 0.00076250
s_4431 0.00357639 0.00351228 0.00062798 0.01553402 0.00060487 0.00358116 0.00063659 0.00302201 0.01561524 0.00092375 0.00061859 0.00358689 0.00059252 0.00062107 0.00079307 0.00071724 0.00358466 0.00080377 0.00352915 0.00061758 0.00360986 0.00348684 0.00352135 0.00373903 0.00362158 0.00061722 0.00063070 0.00062067 0.00073208 0.00362328 0.00061717 0.00339618 0.00346007 0.00345893 0.00363489 0.00059883 0.00357701 0.00066238 0.00344742 0.00350153 0.00218205 0.01520124 0.01566418 0.00058555 0.00062081 0.00061505 0.00127622 0.00353140 0.00057447 0.00356235 0.00060834 0.00359872 0.00349749 0.00350139 0.00061380 0.00060847 0.00356694 0.00059116 0.00356422 0.00060953 0.00350319 0.00349161 0.00059666 0.00063702 0.00038792 0.00063848 0.00061460 0.00062207 0.01542673 0.00077351 0 0.00061497 0.00039016 0.00034180 0.00062114 0.00355324 0.00355935 0.00060309 0.00363856 0.00352230 0.00058641 0.00066503
s_4422 0.00334997 0.00326092 0.00060024 0.01436883 0.00056245 0.00327300 0.00062003 0.00278164 0.01447769 0.00098116 0.00055509 0.00324239 0.00057307 0.00057303 0.00070415 0.00067409 0.00329999 0.00073690 0.00328184 0.00059369 0.00330100 0.00326270 0.00327353 0.00334121 0.00336932 0.00054684 0.00058937 0.00057733 0.00063620 0.00336814 0.00055571 0.00318450 0.00321838 0.00320215 0.00337436 0.00054906 0.00330844 0.00061652 0.00322089 0.00324764 0.00193650 0.01412480 0.01450890 0.00055631 0.00056072 0.00059951 0.00121350 0.00329919 0.00054064 0.00329193 0.00054626 0.00334351 0.00326280 0.00327609 0.00062208 0.00061280 0.00323623 0.00054561 0.00323545 0.00060266 0.00322866 0.00324955 0.00056887 0.00059440 0.00037472 0.00060350 0.00054019 0.00054789 0.01423786 0.00067547 0.00061497 0 0.00038789 0.00033867 0.00056935 0.00321249 0.00323309 0.00054979 0.00335693 0.00321200 0.00057842 0.00063750
s_4400 0.00292707 0.00287235 0.00037698 0.01326734 0.00031829 0.00286410 0.00031007 0.00242310 0.01333524 0.00078475 0.00033724 0.00285976 0.00042067 0.00034665 0.00052555 0.00045726 0.00289413 0.00047023 0.00284527 0.00036718 0.00289044 0.00288441 0.00290571 0.00293230 0.00294746 0.00033996 0.00029812 0.00034200 0.00046483 0.00293671 0.00034004 0.00282283 0.00283048 0.00281634 0.00299505 0.00032926 0.00286025 0.00038544 0.00284418 0.00286410 0.00174435 0.01301793 0.01334073 0.00034611 0.00031506 0.00032285 0.00095065 0.00287648 0.00030139 0.00288771 0.00035957 0.00291793 0.00288837 0.00286176 0.00037472 0.00039020 0.00285612 0.00031974 0.00285455 0.00035353 0.00285285 0.00281318 0.00038686 0.00028888 0.00017324 0.00030635 0.00031770 0.00038156 0.01306730 0.00047662 0.00039016 0.00038789 0 0.00018128 0.00029621 0.00285076 0.00285908 0.00034115 0.00293857 0.00281088 0.00032673 0.00038101
s_4402 0.00288657 0.00282126 0.00031588 0.01306408 0.00026605 0.00282557 0.00027459 0.00237736 0.01315307 0.00072634 0.00029187 0.00280891 0.00034656 0.00030149 0.00047663 0.00038917 0.00285129 0.00043050 0.00281639 0.00032317 0.00284691 0.00282738 0.00283035 0.00292344 0.00291319 0.00030157 0.00024737 0.00029362 0.00042949 0.00289081 0.00029356 0.00276232 0.00278953 0.00276270 0.00296601 0.00028266 0.00284489 0.00033993 0.00280296 0.00281444 0.00172871 0.01283000 0.01315299 0.00030868 0.00027011 0.00027858 0.00093243 0.00283161 0.00026528 0.00283870 0.00032437 0.00287649 0.00282363 0.00281760 0.00033692 0.00032526 0.00277271 0.00026471 0.00277831 0.00031362 0.00281772 0.00279461 0.00033271 0.00025009 0.00018296 0.00026926 0.00027979 0.00033681 0.01289890 0.00043153 0.00034180 0.00033867 0.00018128 0 0.00026011 0.00277707 0.00277440 0.00029218 0.00290308 0.00277941 0.00027795 0.00033129
s_4462 0.00371064 0.00360023 0.00052121 0.01583899 0.00055158 0.00372544 0.00054052 0.00310343 0.01614959 0.00104782 0.00057028 0.00372429 0.00052198 0.00055575 0.00072905 0.00067490 0.00371650 0.00076757 0.00364671 0.00058907 0.00370732 0.00361832 0.00365459 0.00381386 0.00374846 0.00054411 0.00050210 0.00055693 0.00071892 0.00373873 0.00055747 0.00351393 0.00357221 0.00355910 0.00378429 0.00055465 0.00368491 0.00058969 0.00358574 0.00361391 0.00216786 0.01475241 0.01616320 0.00053366 0.00055090 0.00052341 0.00123794 0.00368173 0.00046929 0.00376048 0.00052769 0.00370559 0.00364705 0.00361059 0.00058697 0.00059204 0.00360579 0.00056733 0.00360435 0.00056085 0.00357802 0.00360656 0.00055467 0.00050016 0.00028433 0.00053966 0.00056473 0.00056120 0.01560048 0.00068315 0.00062114 0.00056935 0.00029621 0.00026011 0 0.00359375 0.00360147 0.00056092 0.00380773 0.00362643 0.00051693 0.00059505
s_4494 0.00190082 0.00180152 0.00360984 0.01499394 0.00383620 0.00186763 0.00351455 0.00269827 0.01517581 0.00394976 0.00374839 0.00003918 0.00321074 0.00364893 0.00330178 0.00345225 0.00188969 0.00355623 0.00184855 0.00368930 0.00134870 0.00185711 0.00187571 0.00161738 0.00192521 0.00377074 0.00367430 0.00374459 0.00375086 0.00190122 0.00373330 0.00180539 0.00175999 0.00007932 0.00205879 0.00368599 0.00008641 0.00357754 0.00178352 0.00183473 0.00200473 0.01476613 0.01517731 0.00335194 0.00377696 0.00364024 0.00220618 0.00185464 0.00361115 0.00187326 0.00332252 0.00189369 0.00185638 0.00186774 0.00356930 0.00355610 0.00002364 0.00384680 0.00002162 0.00326160 0.00192301 0.00008507 0.00336120 0.00359817 0.00285862 0.00361174 0.00380357 0.00337785 0.01485787 0.00342466 0.00355324 0.00321249 0.00285076 0.00277707 0.00359375 0 0.00002349 0.00373405 0.00193327 0.00193361 0.00363919 0.00358244
s_4493 0.00190419 0.00180700 0.00361318 0.01497867 0.00384307 0.00186721 0.00351838 0.00270005 0.01517934 0.00394687 0.00375244 0.00004312 0.00321413 0.00364887 0.00330377 0.00345476 0.00189521 0.00356526 0.00185331 0.00368233 0.00134767 0.00186289 0.00187503 0.00161289 0.00192654 0.00378231 0.00368124 0.00376120 0.00376454 0.00190153 0.00373646 0.00180529 0.00177903 0.00008102 0.00206436 0.00369314 0.00008830 0.00358255 0.00178476 0.00183536 0.00201471 0.01475371 0.01516497 0.00335162 0.00378343 0.00364298 0.00221280 0.00185846 0.00362140 0.00187699 0.00333513 0.00189884 0.00186193 0.00186828 0.00356783 0.00356117 0.00003122 0.00384500 0.00002774 0.00326840 0.00192410 0.00008736 0.00337460 0.00360797 0.00286193 0.00361214 0.00380712 0.00338637 0.01484845 0.00341949 0.00355935 0.00323309 0.00285908 0.00277440 0.00360147 0.00002349 0 0.00374075 0.00193549 0.00194363 0.00364577 0.00360016
s_4491 0.00361673 0.00354893 0.00057626 0.01588842 0.00051429 0.00363630 0.00061717 0.00305859 0.01599603 0.00105473 0.00051813 0.00364172 0.00051759 0.00055362 0.00075776 0.00070072 0.00365021 0.00077432 0.00355425 0.00061448 0.00362711 0.00354116 0.00358235 0.00379273 0.00365642 0.00051927 0.00058766 0.00053162 0.00076020 0.00364222 0.00053072 0.00348898 0.00350006 0.00348172 0.00369895 0.00047653 0.00360683 0.00061835 0.00351877 0.00353855 0.00220951 0.01561479 0.01596413 0.00051758 0.00051257 0.00059538 0.00124180 0.00360603 0.00051124 0.00367762 0.00054120 0.00363067 0.00354819 0.00354111 0.00061093 0.00060778 0.00373656 0.00051982 0.00374539 0.00054314 0.00363150 0.00352529 0.00051291 0.00058493 0.00033809 0.00063296 0.00053358 0.00054197 0.01548824 0.00077720 0.00060309 0.00054979 0.00034115 0.00029218 0.00056092 0.00373405 0.00374075 0 0.00371166 0.00357105 0.00055156 0.00064035
s_4453 0.00019204 0.00011382 0.00372512 0.01498851 0.00375592 0.00016140 0.00362704 0.00278797 0.01521852 0.00401601 0.00373402 0.00197666 0.00331941 0.00374600 0.00337938 0.00355044 0.00016258 0.00364843 0.00017965 0.00374525 0.00211167 0.00016643 0.00014565 0.00215668 0.00020480 0.00374701 0.00378314 0.00373988 0.00368035 0.00019820 0.00372978 0.00016918 0.00010574 0.00188491 0.00049729 0.00371234 0.00188350 0.00367740 0.00011462 0.00014490 0.00102652 0.01460945 0.01519065 0.00346840 0.00375302 0.00374558 0.00177042 0.00014449 0.00377337 0.00013492 0.00345184 0.00018690 0.00015074 0.00021158 0.00365874 0.00362744 0.00193301 0.00376330 0.00192954 0.00360359 0.00025127 0.00191637 0.00345060 0.00374277 0.00296749 0.00373177 0.00371162 0.00347547 0.01483264 0.00348157 0.00363856 0.00335693 0.00293857 0.00290308 0.00380773 0.00193327 0.00193549 0.00371166 0 0.00021934 0.00374717 0.00370154
s_4438 0.00024688 0.00016942 0.00359966 0.01479324 0.00361785 0.00021643 0.00351272 0.00264875 0.01491056 0.00370810 0.00359061 0.00198806 0.00322131 0.00362831 0.00323501 0.00342955 0.00014620 0.00355394 0.00023314 0.00349317 0.00212326 0.00022529 0.00020428 0.00217967 0.00026306 0.00359831 0.00364789 0.00359271 0.00342193 0.00025599 0.00358190 0.00013833 0.00016150 0.00189714 0.00055076 0.00356174 0.00190082 0.00354225 0.00016378 0.00020833 0.00100298 0.01450669 0.01491124 0.00332463 0.00361814 0.00361683 0.00166796 0.00020429 0.00365112 0.00019080 0.00330640 0.00024412 0.00021975 0.00019057 0.00350627 0.00348055 0.00193807 0.00365041 0.00192939 0.00354571 0.00032282 0.00193359 0.00331727 0.00361100 0.00285204 0.00358375 0.00357319 0.00334711 0.01453635 0.00319786 0.00352230 0.00321200 0.00281088 0.00277941 0.00362643 0.00193361 0.00194363 0.00357105 0.00021934 0 0.00362422 0.00353969
