s_2937	F_52	F_34	F_25	s_2971	s_2940	F_28	F_18	F_11	s_2968	F_62	F_47	F_17	F_12	s_2961	s_2912	F_43	s_2970	F_29	s_2917	F_53	F_35	s_2904	F_51	F_42	s_2909	F_40	F_58	F_13	F_37	s_2939	F_14	F_60	F_48	s_2923	F_20	F_23	s_2941	s_2907	F_57	F_39	s_2931	F_44	s_2955	s_2918	s_2953	F_64	F_31	F_61	G_2	s_2930	F_36	F_26	F_66	F_38	F_19	s_2972	G_7	s_2964	F_21	s_2956	s_2920	F_55	s_2966	F_67	s_2903	G_5	F_46	F_65	G_8	F_32	F_63	F_16	s_2945	G_1	s_2914	F_56	s_2933	s_2965	F_59	s_2915	F_41	F_27	F_22	s_2954	F_54	s_2950	F_30	s_2959	G_6	F_15	s_2948	s_2942	s_2926	G_3	F_45	s_2908	s_2962	F_50	F_33	s_2949	s_2927	s_2969	F_24	s_2916	F_49	s_2952	s_2921	G_9	s_2944	G_4
s_2930 0.01281160 0.01399212 0.01327341 0.00021697 0.01316884 0.01291380 0.00019259 0.00004253 0.01439808 0.01637577 0.05745769 0.00004019 0.00004186 0.01338565 0.01380051 0.01250208 0.00024199 0.01486639 0.01364088 0.00015728 0.01338334 0.00045985 0.00011301 0.00039213 0.01325420 0.01471030 0.01335174 0.01407932 0.01353339 0.01358551 0.01290839 0.00020309 0.07194533 0.01360324 0.01493412 0.01399228 0.00021526 0.01296079 0.00009917 0.01418286 0.00018094 0.00134064 0.07199092 0.00008599 0.00020833 0.01312903 0.14511712 0.01359319 0.00019886 0.01384680 0 0.00017866 0.01411707 0.00019259 0.01381470 0.00021685 0.00008420 0.00031740 0.01283857 0.00039133 0.00009870 0.01493080 0.00038346 0.01293575 0.00031669 0.08042663 0.00036154 0.00019907 0.01521427 0.01384597 0.01330217 0.00024935 0.00019924 0.00011958 0.01466165 0.00022641 0.01410916 0.08152602 0.01292344 0.00003494 0.00016869 0.00007377 0.00018027 0.00032076 0.00009694 0.01367710 0.01330957 0.01349503 0.00008798 0.00032579 0.01440796 0.01286139 0.01300149 0.01475725 0.01408144 0.01356928 0.01432408 0.00008644 0.14460904 0.01338648 0.01283821 0.01456201 0.07773361 0.01440378 0.00017716 0.00005787 0.01300455 0.01473226 0.00032696 0.00012666 0.00021913
F_36 0.01351013 0.01451201 0.01382907 0.00004541 0.01378734 0.01351246 0.00002747 0.00001212 0.01543760 0.01686045 0.16114790 0.00001139 0.00001191 0.01382250 0.01465471 0.01312369 0.00100584 0.01496605 0.01419173 0.00020809 0.01383545 0.00111594 0.00017945 0.00064029 0.01380109 0.01497447 0.01397107 0.01504046 0.01397060 0.01416321 0.01347662 0.00002868 0.07532298 0.01409413 0.01499675 0.01520629 0.00004532 0.01355128 0.00018728 0.01479783 0.00001557 0.00141473 0.07534586 0.00017446 0.00025111 0.01341575 0.15221520 0.01413403 0.00002690 0.01429244 0.00017866 0 0.01453582 0.00002764 0.01449356 0.00004266 0.00017037 0.00055177 0.01350516 0.00100751 0.00019009 0.01518330 0.00099538 0.01323606 0.00056542 0.08173713 0.00060615 0.00002546 0.01623477 0.01427809 0.01371827 0.00102107 0.00002721 0.00018465 0.01582082 0.00024580 0.01526779 0.08279754 0.01349002 0.00016149 0.00021953 0.00004324 0.00001415 0.00056204 0.00017397 0.01413320 0.01337825 0.01388343 0.00017302 0.00056487 0.01551463 0.01360121 0.01364341 0.01498918 0.01538674 0.01408648 0.01457555 0.00018340 0.15188999 0.01383767 0.01312673 0.01487238 0.07987715 0.01553593 0.00021117 0.00016997 0.01348244 0.01495610 0.00056825 0.00018460 0.00004567
F_26 0.01425152 0.01448081 0.00958868 0.01449898 0.01315297 0.01432165 0.01445824 0.01419529 0.01506077 0.01615592 0.16114790 0.01418941 0.01420563 0.01306247 0.01541814 0.01381257 0.01420631 0.01438090 0.01442303 0.01416296 0.01306215 0.01440679 0.01418077 0.01445368 0.01306947 0.01422538 0.00994395 0.01175786 0.00220879 0.01270110 0.01432240 0.01448986 0.07550903 0.01442352 0.01437356 0.01513038 0.01448670 0.01437582 0.01423921 0.01413439 0.01452008 0.01440513 0.07548178 0.01420365 0.01422967 0.01389725 0.15115292 0.01445768 0.01445475 0.01321310 0.01411707 0.01453582 0 0.01445243 0.01132262 0.01448653 0.01411759 0.01438611 0.01425520 0.01455926 0.01428135 0.01431703 0.01453594 0.01415392 0.01446401 0.08377271 0.01447280 0.01447546 0.00389805 0.01321169 0.01304880 0.01423796 0.01446833 0.01425285 0.01498731 0.01414180 0.01295823 0.08477566 0.01429998 0.01458098 0.01424783 0.01414548 0.01451461 0.01447627 0.01378336 0.01446994 0.01392217 0.01414115 0.01423803 0.01446991 0.01499726 0.01429816 0.01442306 0.01423167 0.01536811 0.01446411 0.01352688 0.01414949 0.15167473 0.01306924 0.01386207 0.01395678 0.08334149 0.01505637 0.01426132 0.01455879 0.01436490 0.01407920 0.01448537 0.01405535 0.01449003
F_66 0.01346209 0.01433670 0.01379809 0.00003532 0.01374808 0.01290459 0.00000470 0.00003185 0.01437015 0.01681354 0.16158285 0.00003013 0.00002965 0.01379396 0.01476570 0.01311685 0.00012201 0.01490061 0.01416217 0.00022492 0.01379480 0.00020569 0.00020348 0.00148152 0.01373912 0.01511550 0.01392321 0.01509374 0.01400221 0.01412414 0.01277795 0.00001034 0.07539710 0.01408172 0.01492107 0.01509023 0.00003289 0.01299057 0.00020690 0.01462793 0.00002813 0.00147890 0.07524046 0.00020035 0.00026719 0.01239849 0.15191917 0.01410830 0.00000611 0.01394921 0.00019259 0.00002764 0.01445243 0 0.01448145 0.00002722 0.00019216 0.00139613 0.01350586 0.00002304 0.00020940 0.01510692 0.00011758 0.01261964 0.00142638 0.07982167 0.00145804 0.00000681 0.01688310 0.01394782 0.01368061 0.00002691 0.00001338 0.00020999 0.01464682 0.00025828 0.01547227 0.08079568 0.01278768 0.00018197 0.00023860 0.00002581 0.00003031 0.00141038 0.00019141 0.01401512 0.01271933 0.01384152 0.00019530 0.00141516 0.01436165 0.01362558 0.01301720 0.01493249 0.01415568 0.01407531 0.01439980 0.00020083 0.15169487 0.01379326 0.01257061 0.01479830 0.07608976 0.01437310 0.00023265 0.00018392 0.01295181 0.01474117 0.00142000 0.00020981 0.00003101
F_38 0.01488164 0.01477646 0.01158545 0.01459242 0.01269637 0.01487070 0.01447364 0.01434010 0.01531521 0.01563855 0.06528452 0.01427004 0.01423249 0.01309280 0.01441226 0.01442802 0.01447645 0.01393025 0.01325616 0.01391683 0.01308756 0.01410561 0.01397538 0.01445443 0.01304638 0.01417156 0.01160452 0.01252119 0.01127266 0.01291012 0.01487755 0.01451702 0.07580767 0.01334813 0.01389282 0.01518095 0.01452928 0.01494749 0.01402824 0.01360343 0.01431746 0.01392454 0.07577437 0.01398607 0.01396203 0.01442056 0.15165546 0.01334396 0.01451415 0.01286007 0.01381470 0.01449356 0.01132262 0.01448145 0 0.01456757 0.01386936 0.01438043 0.01484664 0.01439216 0.01402051 0.01385658 0.01448469 0.01453528 0.01443214 0.08352840 0.01445068 0.01450825 0.01288745 0.01285863 0.01295560 0.01439165 0.01448119 0.01403133 0.01530547 0.01381526 0.01308501 0.08464930 0.01478346 0.01434453 0.01396094 0.01455575 0.01432842 0.01448548 0.01354161 0.01332751 0.01433372 0.01494650 0.01398794 0.01442513 0.01532095 0.01491460 0.01493148 0.01374814 0.01525460 0.01337054 0.01325502 0.01391572 0.15123653 0.01309030 0.01449266 0.01352226 0.08336875 0.01531665 0.01403134 0.01433819 0.01479712 0.01358753 0.01442274 0.01379108 0.01452368
F_19 0.01347128 0.01443400 0.01379994 0.00000900 0.01380228 0.01329022 0.00002793 0.00006277 0.01546532 0.01680797 0.16114790 0.00013796 0.00013952 0.01383723 0.01477156 0.01309438 0.00100943 0.01490231 0.01416026 0.00024193 0.01380908 0.00114834 0.00021500 0.00064116 0.01368559 0.01502356 0.01394540 0.01504462 0.01396473 0.01418586 0.01322584 0.00002727 0.07501422 0.01409453 0.01496014 0.01508586 0.00001090 0.01332967 0.00022232 0.01469429 0.00004574 0.00146354 0.07534940 0.00020984 0.00028489 0.01321242 0.15227041 0.01411910 0.00002604 0.01424419 0.00021685 0.00004266 0.01448653 0.00002722 0.01456757 0 0.00020366 0.00055386 0.01343041 0.00100989 0.00022557 0.01514316 0.00099939 0.01309857 0.00059898 0.08180754 0.00064001 0.00002554 0.01616102 0.01424252 0.01374681 0.00102073 0.00002678 0.00021864 0.01577918 0.00028627 0.01531996 0.08283085 0.01332970 0.00019355 0.00025554 0.00002899 0.00004479 0.00056928 0.00020718 0.01412235 0.01349466 0.01389493 0.00020735 0.00056689 0.01546529 0.01353042 0.01340341 0.01494585 0.01532204 0.01410126 0.01442489 0.00021712 0.15219274 0.01380860 0.01292206 0.01480764 0.07991651 0.01539263 0.00024342 0.00020230 0.01328109 0.01477286 0.00056928 0.00021955 0.00000616
s_2972 0.01293246 0.01397935 0.01326339 0.00020855 0.01322133 0.01307493 0.00018718 0.00002678 0.01450754 0.01667199 0.03624628 0.00002539 0.00002705 0.01330552 0.01418136 0.01258215 0.00034997 0.01489196 0.01356138 0.00012219 0.01330325 0.00058277 0.00008146 0.00037889 0.01317421 0.01478246 0.01337664 0.01402414 0.01353446 0.01367890 0.01300210 0.00019496 0.07161108 0.01351971 0.01489911 0.01395029 0.00020688 0.01311769 0.00007298 0.01414099 0.00017376 0.00129403 0.07165339 0.00005929 0.00015817 0.01287104 0.14427025 0.01354016 0.00019151 0.01377297 0.00008420 0.00017037 0.01411759 0.00019216 0.01386936 0.00020366 0 0.00033530 0.01291971 0.00050453 0.00007967 0.01496292 0.00049854 0.01287582 0.00030398 0.08046447 0.00034978 0.00019147 0.01522145 0.01375917 0.01324887 0.00035707 0.00019094 0.00009093 0.01474231 0.00018377 0.01406081 0.08156341 0.01303031 0.00002036 0.00013678 0.00005796 0.00017218 0.00030739 0.00006521 0.01364257 0.01304933 0.01341177 0.00006006 0.00031195 0.01449932 0.01301321 0.01321702 0.01473196 0.01414370 0.01348615 0.01445021 0.00006906 0.14370583 0.01330607 0.01270543 0.01457104 0.07842884 0.01451344 0.00012849 0.00003865 0.01312649 0.01475001 0.00031808 0.00008671 0.00021025
G_7 0.01349985 0.01437727 0.01369216 0.00055535 0.01380472 0.01434327 0.00139163 0.00014420 0.01427986 0.01601562 0.03222958 0.00014275 0.00014371 0.01373493 0.01478180 0.01311303 0.00125214 0.01397688 0.01406593 0.00032845 0.01373434 0.00133345 0.00032048 0.00001972 0.01360432 0.01415256 0.01380837 0.01497027 0.01391927 0.01404483 0.01419109 0.00132535 0.07447933 0.01386868 0.01407638 0.01376713 0.00055387 0.01435319 0.00032839 0.01338835 0.00014391 0.00156240 0.07449238 0.00031671 0.00038889 0.01389235 0.15019857 0.01384812 0.00139190 0.01399511 0.00031740 0.00055177 0.01438611 0.00139613 0.01438043 0.00055386 0.00033530 0 0.01344812 0.00124584 0.00032934 0.01415421 0.00122308 0.01396559 0.00000825 0.08164234 0.00002312 0.00139144 0.01520839 0.01418402 0.01364923 0.00125903 0.00139116 0.00032533 0.01486249 0.00037642 0.01479368 0.08258870 0.01425700 0.00029283 0.00032806 0.00057097 0.00014166 0.00001171 0.00030483 0.01396764 0.01427866 0.01378787 0.00031372 0.00001501 0.01426793 0.01354184 0.01428292 0.01399023 0.01442613 0.01385607 0.01355483 0.00031779 0.14913483 0.01373552 0.01385321 0.01384425 0.07921305 0.01428584 0.00035304 0.00031098 0.01433240 0.01386846 0.00001648 0.00032214 0.00056865
s_2964 0.00016254 0.01375640 0.01413265 0.01347620 0.01463414 0.00017806 0.01351423 0.01302818 0.00428605 0.01744891 0.03599801 0.01300744 0.01303117 0.01451107 0.01552896 0.00018498 0.01357604 0.01595433 0.01490155 0.01283701 0.01452451 0.01328626 0.01287423 0.01354479 0.01450245 0.01561892 0.01432282 0.01439232 0.01444762 0.01279665 0.00017972 0.01351012 0.07379478 0.01455060 0.01597538 0.00387988 0.01349927 0.00019870 0.01287690 0.01523912 0.01298334 0.01362130 0.07378567 0.01292392 0.01295548 0.00102891 0.14536367 0.01458154 0.01352466 0.01452103 0.01283857 0.01350516 0.01425520 0.01350586 0.01484664 0.01343041 0.01291971 0.01344812 0 0.01353940 0.01291576 0.01585836 0.01359554 0.00015605 0.01348932 0.08042855 0.01348602 0.01352920 0.01518121 0.01452017 0.01450006 0.01351972 0.01353133 0.01291145 0.00438113 0.01287572 0.01529169 0.08159783 0.00019183 0.01302836 0.01288304 0.01352410 0.01303732 0.01347611 0.01240520 0.01459729 0.00106506 0.01445237 0.01286105 0.01345746 0.00430620 0.00016331 0.00024898 0.01577279 0.00398831 0.01460847 0.01516414 0.01276665 0.14179037 0.01450778 0.00016916 0.01546954 0.07735864 0.00429638 0.01289671 0.01294676 0.00028716 0.01566486 0.01347461 0.01273992 0.01346051
F_21 0.01367905 0.01452240 0.01378409 0.00106377 0.01393052 0.01267025 0.00002300 0.00035947 0.01430274 0.01693825 0.16114790 0.00039619 0.00039754 0.01383685 0.01468013 0.01332123 0.00002346 0.01493410 0.01411883 0.00041895 0.01385023 0.00007480 0.00043107 0.00144339 0.01381611 0.01501818 0.01394711 0.01532657 0.01398674 0.01419342 0.01248619 0.00002507 0.07515103 0.01404440 0.01501295 0.01504964 0.00105858 0.01271648 0.00044133 0.01480388 0.00035479 0.00166001 0.07516593 0.00048098 0.00047103 0.01231525 0.15221376 0.01406209 0.00002302 0.01402913 0.00039133 0.00100751 0.01455926 0.00002304 0.01439216 0.00100989 0.00050453 0.00124584 0.01353940 0 0.00049576 0.01520811 0.00001209 0.01236773 0.00136838 0.08000036 0.00138909 0.00002324 0.01683970 0.01402746 0.01373909 0.00000263 0.00002407 0.00049136 0.01462002 0.00046821 0.01511838 0.08095472 0.01260098 0.00050771 0.00051368 0.00101973 0.00035202 0.00137122 0.00046678 0.01409284 0.01249450 0.01383059 0.00042749 0.00135628 0.01431007 0.01365275 0.01276661 0.01505112 0.01410102 0.01405910 0.01463198 0.00048390 0.15192313 0.01384921 0.01230300 0.01483930 0.07610503 0.01422421 0.00044028 0.00052790 0.01265355 0.01496662 0.00135148 0.00048642 0.00100567
s_2956 0.01287980 0.01419721 0.01344053 0.00023005 0.01323138 0.01305426 0.00020863 0.00004618 0.01465501 0.01669488 0.03625528 0.00004406 0.00004527 0.01355247 0.01419462 0.01258654 0.00033842 0.01498894 0.01384164 0.00013555 0.01355013 0.00057384 0.00009935 0.00040296 0.01341784 0.01473539 0.01356022 0.01423634 0.01371362 0.01375414 0.01299284 0.00021710 0.07277131 0.01373702 0.01498195 0.01412806 0.00022855 0.01311725 0.00009423 0.01434209 0.00019529 0.00132323 0.07281579 0.00008241 0.00018325 0.01277703 0.14698779 0.01375973 0.00021329 0.01398665 0.00009870 0.00019009 0.01428135 0.00020940 0.01402051 0.00022557 0.00007967 0.00032934 0.01291576 0.00049576 0 0.01497209 0.00048677 0.01314159 0.00032682 0.08046028 0.00037376 0.00021252 0.01542075 0.01398581 0.01346719 0.00034519 0.00021270 0.00011500 0.01491149 0.00019150 0.01431675 0.08148264 0.01312970 0.00003988 0.00015529 0.00007805 0.00019412 0.00033130 0.00007884 0.01385441 0.01299158 0.01368050 0.00008302 0.00033542 0.01464895 0.01297020 0.01315305 0.01480213 0.01430745 0.01369682 0.01442064 0.00009129 0.14643461 0.01355302 0.01269481 0.01465671 0.07742948 0.01466026 0.00015301 0.00005807 0.01308152 0.01478819 0.00034167 0.00010486 0.00023176
s_2920 0.01594012 0.01594659 0.01359735 0.01517796 0.01172718 0.01606457 0.01510779 0.01510212 0.01544136 0.00215731 0.04265264 0.01512841 0.01514173 0.01304605 0.01347071 0.01548919 0.01422079 0.00077148 0.01651167 0.01475907 0.01302951 0.01429522 0.01472269 0.01416608 0.01305563 0.00267362 0.01389052 0.01383476 0.01382280 0.01404439 0.01610626 0.01510548 0.07468409 0.01656929 0.00096656 0.01548691 0.01517657 0.01611851 0.01488675 0.00087522 0.01510797 0.01479240 0.07465047 0.01490038 0.01493281 0.01582120 0.14501914 0.01645261 0.01512339 0.01379822 0.01493080 0.01518330 0.01431703 0.01510692 0.01385658 0.01514316 0.01496292 0.01415421 0.01585836 0.01520811 0.01497209 0 0.01421355 0.01585597 0.01415981 0.08074071 0.01417951 0.01511851 0.01537568 0.01356251 0.01306183 0.01520937 0.01511128 0.01504957 0.01566601 0.01487360 0.01285649 0.08229994 0.01610290 0.01511165 0.01467412 0.01525091 0.01509693 0.01416802 0.01497987 0.01650327 0.01600738 0.01606152 0.01499119 0.01413324 0.01536896 0.01598687 0.01615051 0.00082485 0.01535516 0.01645687 0.00162097 0.01505227 0.14475154 0.01304490 0.01600446 0.00083988 0.07890250 0.01546075 0.01498643 0.01510566 0.01603747 0.00078772 0.01414419 0.01502530 0.01515629
F_55 0.01359638 0.01450817 0.01380265 0.00101021 0.01377393 0.01288250 0.00011918 0.00035384 0.01322998 0.01609057 0.16114790 0.00035083 0.00035097 0.01386139 0.01467324 0.01321797 0.00002412 0.01397551 0.01433310 0.00041198 0.01386400 0.00006486 0.00042385 0.00124968 0.01380851 0.01420480 0.01396079 0.01532993 0.01401816 0.01416982 0.01277008 0.00012381 0.07511512 0.01417355 0.01404634 0.01393273 0.00100719 0.01292469 0.00043767 0.01365787 0.00035057 0.00165975 0.07532623 0.00047393 0.00046354 0.01252218 0.15220932 0.01417002 0.00012143 0.01403424 0.00038346 0.00099538 0.01453594 0.00011758 0.01448469 0.00099939 0.00049854 0.00122308 0.01359554 0.00001209 0.00048677 0.01421355 0 0.01247717 0.00123755 0.07973034 0.00125392 0.00012245 0.01681707 0.01403755 0.01375733 0.00001016 0.00012096 0.00048341 0.01354292 0.00046459 0.01511741 0.08069531 0.01281208 0.00049563 0.00048267 0.00102412 0.00034752 0.00123950 0.00045938 0.01408440 0.01294906 0.01379035 0.00042031 0.00123994 0.01321155 0.01370817 0.01296011 0.01405701 0.01303655 0.01413932 0.01363170 0.00047700 0.15110356 0.01386037 0.01246103 0.01388324 0.07556314 0.01328824 0.00043374 0.00051852 0.01285411 0.01399185 0.00124278 0.00047879 0.00099670
s_2966 0.00016862 0.01357504 0.01404530 0.01316321 0.01446493 0.00020475 0.01264116 0.01297173 0.00348417 0.01732745 0.03599801 0.01295266 0.01297589 0.01436036 0.01576610 0.00018646 0.01243471 0.01578950 0.01463213 0.01294977 0.01437372 0.01216850 0.01291755 0.01400140 0.01435549 0.01571668 0.01423947 0.01415498 0.01436114 0.01270456 0.00019191 0.01261085 0.07296497 0.01424442 0.01608870 0.00398886 0.01317461 0.00021441 0.01292272 0.01510805 0.01293010 0.01356441 0.07295361 0.01309106 0.01296625 0.00061761 0.14403392 0.01431098 0.01262532 0.01438873 0.01293575 0.01323606 0.01415392 0.01261964 0.01453528 0.01309857 0.01287582 0.01396559 0.00015605 0.01236773 0.01314159 0.01585597 0.01247717 0 0.01401589 0.07879130 0.01400657 0.01261703 0.01560677 0.01438789 0.01434722 0.01222975 0.01261412 0.01301712 0.00358467 0.01301066 0.01536674 0.07977228 0.00021366 0.01297457 0.01289947 0.01314638 0.01298312 0.01400740 0.01262663 0.01428588 0.00082706 0.01439364 0.01303339 0.01387845 0.00354588 0.00017064 0.00027253 0.01576830 0.00329488 0.01435451 0.01519594 0.01302252 0.14004506 0.01435848 0.00019099 0.01560516 0.07093189 0.00349221 0.01286119 0.01289184 0.00026717 0.01566297 0.01400017 0.01277829 0.01310131
F_67 0.01349275 0.01435188 0.01381334 0.00066300 0.01368425 0.01437299 0.00142311 0.00015397 0.01450537 0.01598316 0.16158285 0.00021301 0.00021504 0.01381188 0.01463140 0.01312592 0.00135374 0.01391873 0.01431363 0.00032872 0.01381362 0.00144073 0.00031993 0.00002148 0.01375607 0.01420797 0.01393585 0.01508760 0.01403774 0.01415223 0.01424818 0.00135380 0.07539180 0.01414678 0.01399409 0.01405779 0.00063904 0.01438529 0.00032812 0.01372778 0.00023315 0.00156677 0.07539698 0.00031466 0.00038702 0.01391219 0.15210933 0.01417105 0.00142383 0.01398000 0.00031669 0.00056542 0.01446401 0.00142638 0.01443214 0.00059898 0.00030398 0.00000825 0.01348932 0.00136838 0.00032682 0.01415981 0.00123755 0.01401589 0 0.08149437 0.00002333 0.00142078 0.01520127 0.01397861 0.01380858 0.00139148 0.00142143 0.00032498 0.01486693 0.00037053 0.01486089 0.08242037 0.01428713 0.00037761 0.00033271 0.00062315 0.00014949 0.00001572 0.00030311 0.01410294 0.01437699 0.01386409 0.00031195 0.00001801 0.01450916 0.01358164 0.01431508 0.01399815 0.01441676 0.01414027 0.01353160 0.00031864 0.15117324 0.01381204 0.01391072 0.01382532 0.07932556 0.01458260 0.00035012 0.00032294 0.01434233 0.01381562 0.00001685 0.00032580 0.00066710
s_2903 0.08032095 0.08359246 0.08321764 0.08184115 0.08159506 0.07895291 0.07984534 0.08152687 0.08014214 0.08377407 0.08523059 0.08147137 0.08163277 0.08368305 0.07942358 0.07968925 0.07998742 0.08153127 0.08164880 0.07996272 0.08363297 0.07913256 0.08025196 0.08167798 0.08358455 0.06621049 0.08307277 0.08362580 0.08379462 0.08352869 0.07896834 0.07989039 0.07847187 0.08145006 0.08042847 0.08097552 0.08172638 0.07900828 0.08044218 0.08179066 0.08157313 0.07977497 0.07854807 0.08053809 0.07994855 0.07877178 0.14572797 0.08142525 0.07989593 0.08291579 0.08042663 0.08173713 0.08377271 0.07982167 0.08352840 0.08180754 0.08046447 0.08164234 0.08042855 0.08000036 0.08046028 0.08074071 0.07973034 0.07879130 0.08149437 0 0.08157673 0.07992169 0.08335829 0.08291690 0.08329674 0.07997343 0.07988370 0.08055736 0.08072099 0.07965036 0.08375484 0.00042385 0.07868060 0.08153140 0.08033918 0.08181063 0.08155426 0.08163091 0.08054315 0.08162490 0.07878130 0.08222144 0.08063600 0.08162382 0.07983625 0.08056866 0.07867950 0.08071978 0.07983408 0.08145808 0.07987246 0.08060780 0.14538060 0.08347281 0.07841844 0.08033023 0.00036648 0.08014825 0.07972493 0.08174207 0.07897744 0.08089405 0.08162337 0.08060246 0.08174960
G_5 0.01353860 0.01446811 0.01379769 0.00070263 0.01370739 0.01440063 0.00145660 0.00019541 0.01442804 0.01602117 0.16114790 0.00025813 0.00025886 0.01384037 0.01465371 0.01309514 0.00136843 0.01390674 0.01421526 0.00037348 0.01384081 0.00146701 0.00036530 0.00003284 0.01372026 0.01408838 0.01391455 0.01505320 0.01402018 0.01416804 0.01424666 0.00138595 0.07503255 0.01406670 0.01398525 0.01386988 0.00068221 0.01441046 0.00037673 0.01374578 0.00027026 0.00161757 0.07536474 0.00032594 0.00043426 0.01392873 0.15221272 0.01407564 0.00145587 0.01399116 0.00036154 0.00060615 0.01447280 0.00145804 0.01445068 0.00064001 0.00034978 0.00002312 0.01348602 0.00138909 0.00037376 0.01417951 0.00125392 0.01400657 0.00002333 0.08157673 0 0.00145498 0.01531016 0.01423173 0.01386014 0.00142543 0.00145653 0.00037050 0.01489508 0.00041745 0.01489602 0.08249953 0.01425511 0.00041524 0.00037378 0.00065975 0.00019422 0.00002592 0.00034667 0.01410564 0.01436391 0.01388878 0.00035830 0.00002241 0.01441385 0.01357983 0.01433492 0.01401839 0.01441697 0.01407133 0.01355785 0.00036065 0.15130716 0.01384060 0.01390865 0.01384400 0.07947384 0.01441824 0.00039667 0.00035804 0.01437313 0.01397305 0.00002425 0.00036990 0.00072328
F_46 0.01348608 0.01445470 0.01382219 0.00002862 0.01367315 0.01297585 0.00000493 0.00002815 0.01438670 0.01682021 0.16114790 0.00002732 0.00002644 0.01377267 0.01463718 0.01313160 0.00011702 0.01485633 0.01416455 0.00022812 0.01382712 0.00020149 0.00020162 0.00149465 0.01375080 0.01507005 0.01391882 0.01502258 0.01400520 0.01415146 0.01287595 0.00000822 0.07519423 0.01408428 0.01493457 0.01515566 0.00002761 0.01299897 0.00020813 0.01473250 0.00002811 0.00147489 0.07523463 0.00019744 0.00027057 0.01238208 0.15238212 0.01411828 0.00000305 0.01397884 0.00019907 0.00002546 0.01447546 0.00000681 0.01450825 0.00002554 0.00019147 0.00139144 0.01352920 0.00002324 0.00021252 0.01511851 0.00012245 0.01261703 0.00142078 0.07992169 0.00145498 0 0.01696036 0.01396447 0.01370122 0.00002745 0.00000539 0.00020753 0.01466048 0.00026800 0.01548061 0.08084953 0.01294111 0.00018393 0.00021686 0.00002628 0.00002761 0.00140958 0.00019429 0.01412221 0.01249710 0.01383851 0.00019359 0.00141198 0.01430358 0.01364914 0.01309104 0.01494836 0.01414951 0.01408258 0.01443777 0.00020347 0.15203286 0.01380603 0.01258312 0.01476876 0.07620194 0.01439422 0.00023157 0.00018593 0.01299103 0.01489698 0.00141562 0.00020581 0.00002931
F_65 0.01516499 0.01578979 0.01075428 0.01624693 0.01507898 0.01578351 0.01691833 0.01574333 0.01782677 0.01705142 0.16158285 0.01573777 0.01576183 0.01476814 0.01608621 0.01467355 0.01687128 0.01547946 0.01538153 0.01518408 0.01468710 0.01682592 0.01526637 0.01528333 0.01461513 0.01525666 0.00951039 0.01317421 0.00394658 0.01423958 0.01564099 0.01699928 0.07593082 0.01536632 0.01550641 0.01763502 0.01623314 0.01583525 0.01536660 0.01535088 0.01576908 0.01567614 0.07607013 0.01515743 0.01526845 0.01566504 0.15129400 0.01542546 0.01687221 0.01452475 0.01521427 0.01623477 0.00389805 0.01688310 0.01288745 0.01616102 0.01522145 0.01520839 0.01518121 0.01683970 0.01542075 0.01537568 0.01681707 0.01560677 0.01520127 0.08335829 0.01531016 0.01696036 0 0.01452331 0.01453945 0.01683029 0.01694659 0.01538050 0.01780924 0.01523315 0.01514946 0.08426926 0.01573344 0.01576690 0.01533738 0.01615334 0.01566560 0.01528397 0.01483325 0.01528933 0.01612591 0.01548733 0.01535344 0.01539926 0.01780627 0.01513217 0.01574283 0.01525986 0.01762880 0.01542580 0.01445269 0.01524251 0.15173719 0.01463484 0.01523311 0.01507735 0.08378228 0.01783483 0.01537702 0.01564666 0.01587471 0.01511087 0.01537003 0.01514635 0.01617653
G_8 0.01478511 0.01496231 0.01272352 0.01425455 0.01187704 0.01482267 0.01395816 0.01402270 0.01500769 0.01537224 0.03222958 0.01424950 0.01402760 0.00914495 0.01423674 0.01431618 0.01431971 0.01330918 0.01464392 0.01389153 0.00914302 0.01417071 0.01385906 0.01421873 0.00902287 0.01367885 0.01290851 0.01234700 0.01303388 0.01275125 0.01462271 0.01393059 0.07532965 0.01450321 0.01333264 0.01509782 0.01426998 0.01478296 0.01411063 0.01267878 0.01399114 0.01425647 0.07527933 0.01422817 0.01392268 0.01409516 0.15000499 0.01451962 0.01396210 0.00001799 0.01384597 0.01427809 0.01321169 0.01394782 0.01285863 0.01424252 0.01375917 0.01418402 0.01452017 0.01402746 0.01398581 0.01356251 0.01403755 0.01438789 0.01397861 0.08291690 0.01423173 0.01396447 0.01452331 0 0.00908685 0.01426720 0.01396898 0.01418140 0.01530504 0.01392503 0.01274146 0.08365537 0.01481868 0.01399990 0.01392166 0.01414525 0.01397568 0.01396288 0.01343515 0.01458232 0.01408558 0.01505198 0.01388908 0.01453672 0.01534879 0.01458018 0.01467861 0.01347785 0.01514882 0.01452981 0.01263109 0.01388431 0.15031619 0.00914336 0.01436265 0.01303412 0.08159150 0.01501007 0.01417919 0.01424798 0.01476267 0.01310251 0.01395923 0.01398344 0.01427202
