s_129	G_20	s_163	s_133	s_194	s_252	s_201	s_245	s_228	s_142	s_158	G_18	s_205	s_172	s_222	s_145	s_248	s_226	s_231	G_31	s_168	G_22	s_215	s_135	s_138	s_199	s_240	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_237	s_196	s_183	s_164	s_178	G_2	s_213	G_27	s_136	s_246	G_14	s_241	G_10	s_182	s_156	G_5	s_144	s_192	G_16	s_239	s_243	s_220	s_203	s_250	s_187	G_25	s_184	s_154	G_21	s_131	s_124	s_159	s_254	s_233	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	G_12	s_218	G_4	s_202	s_253	s_225	s_167	s_132	s_127	s_212	s_227	s_214	s_134	s_148	s_198	s_249	s_221	s_191	s_162	s_185	G_32	s_171	s_149	s_143	s_126	s_150	s_197	s_236	s_179	G_36	G_34	s_152	s_137	s_244	G_23	s_169	s_247	s_177	s_176	s_223	s_146	s_140	G_7	s_147	s_230	s_207	s_180	G_8	s_234	G_35	s_170	s_242	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_251	s_130	s_175	s_255	G_6	s_141	G_30	G_29	s_173	s_235	G_3	s_211	s_206	s_210	s_232	s_157	s_186	s_190	G_24	s_161	s_238	G_13
G_8 0.01835286 0.00266093 0.01799496 0.01892332 0.01662448 0.01822741 0.00028198 0.01838029 0.00028464 0.01810013 0.01834261 0.00048875 0.01810572 0.01836637 0.01841962 0.01840211 0.01901928 0.01932953 0.01839917 0.00011046 0.00028379 0.00015656 0.01894020 0.01819622 0.01912217 0.01842408 0.01809577 0.01803641 0.00009974 0.00045183 0.01809002 0.01839923 0.01991484 0.01842326 0.01892104 0.01792209 0.00029144 0.00031973 0.00028790 0.00366461 0.00028011 0.00011430 0.01872713 0.01842906 0.00014214 0.01899729 0.01862966 0.01936016 0.01834854 0.00013422 0.01836557 0.01675080 0.00013905 0.01898898 0.01823841 0.01843764 0.01901155 0.00032400 0.01861155 0.00047998 0.01836631 0.01831748 0.00016997 0.01844287 0.01838432 0.01812922 0.01885060 0.01876531 0.01900671 0.00012863 0.00032692 0.01781780 0.00012224 0.01833914 0.00012389 0.01794561 0.01790022 0.01839494 0.01840522 0.01800832 0.01836383 0.00011290 0.00010037 0.01914017 0.00009981 0.00028775 0.01890524 0.00031821 0.00029270 0.01839851 0.01842461 0.00028496 0.00033027 0.00028982 0.01987723 0.01838278 0.01850847 0.01905169 0.01869675 0.00028994 0.01802724 0.01844436 0.00014148 0.01786327 0.01903176 0.01839419 0.01786756 0.01818826 0.01792097 0.01790654 0.01867382 0.00023774 0.00012442 0.01838113 0.01879691 0.01842275 0.00012075 0.00031024 0.01838539 0.00027848 0.01931560 0.01834135 0.01840207 0.01842591 0.00010457 0.01836740 0.00092289 0.01804414 0.01930462 0 0.01917842 0.00058222 0.00031311 0.01837400 0.00032937 0.00397558 0.01835586 0.00010838 0.00375551 0.01897008 0.01916781 0.00012974 0.01834455 0.01855064 0.01874956 0.01878108 0.01838591 0.01837117 0.01917986 0.00012299 0.01840969 0.00013580 0.00013994 0.01840436 0.01916872 0.01862260 0.02046028 0.01802695 0.01897735 0.00030421 0.01837516 0.00029028 0.00028534 0.00011253 0.01799273 0.00027913 0.00011943
s_234 0.01884307 0.01958733 0.01867755 0.01198793 0.01846797 0.01292458 0.01907319 0.01885222 0.01910283 0.01851220 0.01874842 0.01898496 0.01778998 0.01875332 0.01874343 0.01883278 0.01989883 0.01729970 0.01904988 0.01909419 0.01911142 0.01909050 0.01939124 0.01867251 0.01961915 0.01791180 0.01780379 0.01870423 0.01911076 0.01910701 0.01776474 0.01882317 0.00003531 0.01877082 0.01941499 0.01844308 0.01902006 0.01924837 0.01908056 0.01938912 0.01900881 0.01898184 0.01740785 0.01887111 0.01925616 0.01879975 0.01925722 0.01453264 0.01874351 0.01907354 0.01886907 0.01845369 0.01941096 0.01948279 0.01761097 0.01884998 0.01948070 0.01923239 0.01195935 0.01900187 0.01875114 0.01874526 0.01911119 0.01887830 0.01882406 0.01918317 0.01461234 0.01199771 0.01880031 0.01910873 0.01923229 0.01167591 0.01925907 0.01884009 0.01904839 0.01870175 0.01844910 0.01226344 0.01880469 0.01867950 0.01874859 0.01905109 0.01925363 0.01958962 0.01907985 0.01908168 0.01460957 0.01921198 0.01901140 0.01228554 0.01883613 0.01900115 0.01921454 0.01907961 0.01999452 0.01885194 0.01464487 0.01984988 0.01325286 0.01900888 0.01866498 0.01874895 0.01928267 0.01872160 0.01134269 0.01887364 0.01823044 0.01025460 0.01845310 0.01844921 0.01195266 0.01917013 0.01912320 0.01872602 0.01735054 0.01786307 0.01901286 0.01909887 0.01885859 0.01908015 0.01927840 0.01874477 0.01886166 0.01885869 0.01902875 0.01884909 0.01927001 0.01777784 0.00001289 0.01917842 0 0.01890825 0.01907881 0.01886082 0.01917258 0.01939453 0.01885576 0.01898229 0.01919708 0.01939443 0.01962872 0.01909418 0.01874008 0.01850439 0.01741943 0.01986602 0.01886141 0.01875672 0.00675503 0.01932899 0.01885960 0.01903333 0.01912252 0.01875890 0.01327935 0.01918558 0.02079486 0.01775664 0.01877113 0.01898659 0.01871179 0.01906563 0.01908089 0.01937373 0.01868421 0.01895422 0.01909816
G_35 0.01834043 0.00254032 0.01777742 0.01898947 0.01660039 0.01820773 0.00035367 0.01837686 0.00033852 0.01806938 0.01831107 0.00016030 0.01823744 0.01834008 0.01839975 0.01840218 0.01895873 0.01944358 0.01828393 0.00017560 0.00033917 0.00049971 0.01897476 0.01823815 0.01907290 0.01846545 0.01822405 0.01784279 0.00015195 0.00042934 0.01821904 0.01839172 0.01948645 0.01840328 0.01895093 0.01804192 0.00034140 0.00033526 0.00034332 0.00361470 0.00033922 0.00019989 0.01889872 0.01841639 0.00024194 0.01884719 0.01853921 0.01942548 0.01831146 0.00017754 0.01834837 0.01675565 0.00022626 0.01906971 0.01830893 0.01843391 0.01894934 0.00033952 0.01861513 0.00016406 0.01833983 0.01828846 0.00021453 0.01842851 0.01836638 0.01809786 0.01883029 0.01872764 0.01885463 0.00051914 0.00034265 0.01781988 0.00023847 0.01832895 0.00017237 0.01788876 0.01803810 0.01847254 0.01838864 0.01779343 0.01834282 0.00019482 0.00019873 0.01908631 0.00017160 0.00036750 0.01887653 0.00033501 0.00034949 0.01846690 0.01842703 0.00033593 0.00034209 0.00035470 0.02006780 0.01836420 0.01856162 0.01898373 0.01883889 0.00034149 0.01781331 0.01841450 0.00027814 0.01777334 0.01906859 0.01837762 0.01788675 0.01822858 0.01804413 0.01803158 0.01862148 0.00068240 0.00061165 0.01837322 0.01892923 0.01849385 0.00017732 0.00036151 0.01835956 0.00034176 0.01922053 0.01830723 0.01839067 0.01842008 0.00017969 0.01835385 0.00081256 0.01817093 0.01899467 0.00058222 0.01890825 0 0.00036470 0.01834404 0.00033886 0.00396187 0.01832258 0.00018555 0.00372803 0.01899632 0.01912568 0.00018751 0.01830859 0.01870469 0.01892184 0.01872199 0.01837506 0.01834485 0.01909967 0.00059706 0.01840546 0.00018391 0.00020296 0.01839771 0.01914956 0.01845510 0.02052926 0.01815539 0.01882081 0.00035528 0.01835517 0.00035467 0.00034307 0.00018920 0.01778666 0.00034946 0.00017051
s_170 0.01795523 0.00258799 0.01779142 0.01886654 0.01655870 0.01817196 0.00003049 0.01799506 0.00003153 0.01764984 0.01797916 0.00032621 0.01813694 0.01791907 0.01796800 0.01801760 0.01892358 0.01904944 0.01810312 0.00030248 0.00003259 0.00033954 0.01874767 0.01800764 0.01879910 0.01821249 0.01813181 0.01779787 0.00030504 0.00009445 0.01812971 0.01799476 0.01968524 0.01802879 0.01873198 0.01779909 0.00001564 0.00002657 0.00003727 0.00353124 0.00002137 0.00031024 0.01857075 0.01790894 0.00033757 0.01862865 0.01843347 0.01934616 0.01792128 0.00030523 0.01794737 0.01653473 0.00033126 0.01874306 0.01800803 0.01796843 0.01871460 0.00001070 0.01855608 0.00032308 0.01799309 0.01794469 0.00035644 0.01801812 0.01793721 0.01763188 0.01876709 0.01862694 0.01862036 0.00033953 0.00002919 0.01926306 0.00031315 0.01790633 0.00028985 0.01779341 0.01780144 0.01832929 0.01800815 0.01782273 0.01796629 0.00029932 0.00028918 0.01876583 0.00029858 0.00003491 0.01867416 0.00005792 0.00003911 0.01833130 0.01797658 0.00003257 0.00004045 0.00001876 0.01952584 0.01795080 0.01817259 0.01893652 0.01836247 0.00003752 0.01781023 0.01793895 0.00033678 0.01775957 0.01886729 0.01795911 0.01749723 0.01813324 0.01779790 0.01780051 0.01848933 0.00051613 0.00041126 0.01797074 0.01860495 0.01822827 0.00030131 0.00003546 0.01797761 0.00001824 0.01877356 0.01794388 0.01798658 0.01802225 0.00030084 0.01795301 0.00010494 0.01810785 0.01906364 0.00031311 0.01907881 0.00036470 0 0.01791231 0.00006460 0.00368264 0.01790963 0.00028325 0.00354087 0.01876381 0.01882439 0.00030385 0.01791622 0.01815895 0.01858053 0.01878860 0.01797922 0.01792929 0.01858548 0.00041071 0.01793761 0.00032340 0.00030505 0.01796243 0.02013176 0.01836017 0.02035313 0.01808865 0.01859562 0.00004067 0.01796166 0.00002710 0.00003415 0.00029828 0.01781278 0.00001592 0.00029673
s_242 0.00002194 0.01862531 0.00044613 0.01866888 0.00075827 0.01796359 0.01791026 0.00002789 0.01796409 0.00002329 0.00004506 0.01831339 0.01815997 0.00003556 0.00003553 0.00002350 0.01872671 0.02000554 0.01914835 0.01786104 0.01798770 0.01824790 0.01951333 0.01896391 0.01974774 0.01827592 0.01816308 0.00046653 0.01789471 0.01794930 0.01814272 0.00002448 0.01953257 0.00003949 0.01946724 0.01869710 0.01798990 0.01799871 0.01791838 0.01848037 0.01794179 0.01788389 0.01950682 0.00003131 0.01805112 0.01940366 0.01942003 0.01862650 0.00003684 0.01793215 0.00003029 0.00074076 0.01810140 0.01961001 0.01815645 0.00002414 0.01944254 0.01797144 0.01752020 0.01837082 0.00003370 0.00005064 0.01793132 0.00002168 0.00002396 0.00009400 0.01770231 0.01766168 0.01940748 0.01825401 0.01796051 0.01705132 0.01804225 0.00001966 0.01786775 0.00002484 0.01870101 0.01812657 0.00001843 0.00045743 0.00003901 0.01782860 0.01807015 0.01972628 0.01789233 0.01794788 0.01769256 0.01794796 0.01795129 0.01813760 0.00003512 0.01792628 0.01795733 0.01790275 0.02047479 0.00002368 0.01888216 0.01879557 0.01822653 0.01797372 0.00046379 0.00004539 0.01801822 0.00003761 0.01818248 0.00002950 0.00002434 0.01729062 0.01864454 0.01869860 0.01755138 0.01829240 0.01818085 0.00003000 0.01951702 0.01824638 0.01784767 0.01799076 0.00002054 0.01794663 0.00009774 0.00003949 0.00002341 0.00002724 0.01782656 0.00002507 0.01616606 0.01817180 0.01878056 0.01837400 0.01886082 0.01834404 0.01791231 0 0.01801937 0.01835748 0.00001666 0.01783004 0.01843431 0.01956490 0.01975572 0.01789719 0.00003313 0.01859481 0.01951278 0.01875042 0.00002089 0.00004614 0.01884853 0.01838198 0.00002344 0.01791423 0.01785464 0.00003314 0.01854337 0.01942060 0.02048753 0.01813377 0.01936729 0.01794678 0.00004033 0.01792083 0.01794638 0.01800927 0.00046937 0.01791931 0.01790597
s_165 0.01797161 0.00262147 0.01780642 0.01887390 0.01676537 0.01815887 0.00004508 0.01803628 0.00001094 0.01766600 0.01796903 0.00030672 0.01817012 0.01803430 0.01808815 0.01804930 0.01883061 0.01909171 0.01810223 0.00028982 0.00001329 0.00032658 0.01869473 0.01808273 0.01883931 0.01817509 0.01815399 0.01789993 0.00029006 0.00009159 0.01815189 0.01803009 0.01976914 0.01804853 0.01868173 0.01776201 0.00004534 0.00001365 0.00001590 0.00342158 0.00001225 0.00030627 0.01855501 0.01803492 0.00036830 0.01866363 0.01833482 0.01928294 0.01796860 0.00032034 0.01791870 0.01674137 0.00036019 0.01866856 0.01795561 0.01806287 0.01875211 0.00000747 0.01860535 0.00030667 0.01807958 0.01797454 0.00035691 0.01803890 0.01792681 0.01777886 0.01874890 0.01867115 0.01866915 0.00033365 0.00000412 0.01908082 0.00034056 0.01799987 0.00030609 0.01787822 0.01778129 0.01834309 0.01800514 0.01782104 0.01808094 0.00030166 0.00031583 0.01880783 0.00030166 0.00004089 0.01865885 0.00003861 0.00001798 0.01835010 0.01799426 0.00001172 0.00000309 0.00002788 0.01962026 0.01798215 0.01815989 0.01875898 0.01843439 0.00001120 0.01784109 0.01801215 0.00037096 0.01787890 0.01901912 0.01798938 0.01751374 0.01837975 0.01777215 0.01777293 0.01853288 0.00051081 0.00039492 0.01800934 0.01859978 0.01819579 0.00030650 0.00004220 0.01802978 0.00001615 0.01882272 0.01801847 0.01800338 0.01804019 0.00029718 0.01798006 0.00009716 0.01815953 0.01917632 0.00032937 0.01917258 0.00033886 0.00006460 0.01801937 0 0.00361827 0.01789789 0.00028296 0.00346252 0.01869925 0.01888394 0.00030563 0.01796219 0.01816313 0.01865052 0.01886811 0.01797268 0.01804482 0.01864999 0.00041626 0.01795787 0.00031833 0.00030712 0.01803675 0.02007076 0.01832413 0.02015952 0.01814085 0.01863758 0.00001512 0.01804399 0.00002423 0.00000652 0.00032299 0.01781383 0.00002202 0.00029377
G_1 0.01833444 0.00631159 0.01820665 0.01883608 0.01707471 0.01823835 0.00364908 0.01836092 0.00366975 0.01806884 0.01834800 0.00393190 0.01786953 0.01834976 0.01842293 0.01838630 0.01904933 0.01906641 0.01864094 0.00382454 0.00366616 0.00378346 0.01920270 0.01806720 0.01891300 0.01820280 0.01786688 0.01824261 0.00380538 0.00375336 0.01787284 0.01837631 0.02016201 0.01842094 0.01916466 0.01796673 0.00367800 0.00359939 0.00365313 0.00018084 0.00365323 0.00385862 0.01860662 0.01841405 0.00409556 0.01917738 0.01867539 0.01932557 0.01835642 0.00382191 0.01838773 0.01715682 0.00399562 0.01926068 0.01797486 0.01841483 0.01930903 0.00360643 0.01843463 0.00385306 0.01835364 0.01832022 0.00389930 0.01841826 0.01840321 0.01872435 0.01898328 0.01855164 0.01914179 0.00368245 0.00361333 0.01802807 0.00401194 0.01830875 0.00375089 0.01828725 0.01795243 0.01833511 0.01839979 0.01821457 0.01835149 0.00383067 0.00396643 0.01890351 0.00382603 0.00366444 0.01904163 0.00360762 0.00367911 0.01834280 0.01841419 0.00365473 0.00361665 0.00366357 0.01963128 0.01836389 0.01837303 0.01911036 0.01869998 0.00365902 0.01824122 0.01839910 0.00403530 0.01824868 0.01894920 0.01837484 0.01783550 0.01800313 0.01794770 0.01795790 0.01846737 0.00379904 0.00372581 0.01841039 0.01865262 0.01822453 0.00379261 0.00367501 0.01835450 0.00364972 0.01963336 0.01834718 0.01837649 0.01840659 0.00383135 0.01835337 0.00416862 0.01784097 0.01931617 0.00397558 0.01939453 0.00396187 0.00368264 0.01835748 0.00361827 0 0.01837627 0.00384837 0.00019392 0.01921233 0.01892278 0.00383580 0.01835319 0.01822232 0.01862865 0.01896668 0.01840299 0.01835859 0.01874149 0.00392854 0.01843754 0.00383684 0.00380191 0.01839906 0.01912644 0.01863869 0.02045522 0.01783156 0.01912078 0.00366367 0.01838555 0.00365811 0.00365513 0.00404402 0.01820980 0.00371512 0.00380274
s_125 0.00002516 0.01866245 0.00046767 0.01859563 0.00073892 0.01794778 0.01787523 0.00002459 0.01793277 0.00002590 0.00004951 0.01828496 0.01814226 0.00003144 0.00005116 0.00000899 0.01879297 0.01995313 0.01913044 0.01787786 0.01793499 0.01827302 0.01953893 0.01885798 0.01973006 0.01821901 0.01813984 0.00048222 0.01791842 0.01791774 0.01812117 0.00001903 0.01952161 0.00004286 0.01950689 0.01863210 0.01789963 0.01794317 0.01787932 0.01845342 0.01789022 0.01788074 0.01943302 0.00002168 0.01804772 0.01932457 0.01937886 0.01861894 0.00005430 0.01793256 0.00002593 0.00072150 0.01812841 0.01957736 0.01816599 0.00001168 0.01950974 0.01792849 0.01751222 0.01833837 0.00004184 0.00005724 0.01789895 0.00003042 0.00001401 0.00009063 0.01767972 0.01758743 0.01934476 0.01827441 0.01788653 0.01845556 0.01806046 0.00001516 0.01790668 0.00005184 0.01864088 0.01809508 0.00000872 0.00047200 0.00002931 0.01789249 0.01806904 0.01971679 0.01787994 0.01790819 0.01766964 0.01792758 0.01788593 0.01810680 0.00003013 0.01788995 0.01788230 0.01791320 0.02046481 0.00002009 0.01887595 0.01886336 0.01812060 0.01788848 0.00047900 0.00005357 0.01798516 0.00006279 0.01811861 0.00004073 0.00002987 0.01722476 0.01861220 0.01863239 0.01751560 0.01831367 0.01819738 0.00003357 0.01947944 0.01826047 0.01786398 0.01789585 0.00001243 0.01787374 0.00009609 0.00004288 0.00002141 0.00002170 0.01785572 0.00001110 0.01622070 0.01815703 0.01880980 0.01835586 0.01885576 0.01832258 0.01790963 0.00001666 0.01789789 0.01837627 0 0.01782645 0.01841862 0.01958368 0.01972920 0.01792423 0.00004764 0.01846808 0.01943887 0.01872736 0.00001930 0.00004584 0.01883524 0.01832679 0.00000978 0.01792118 0.01783283 0.00003571 0.01950500 0.01940666 0.02024603 0.01811312 0.01933613 0.01788276 0.00003981 0.01791677 0.01787860 0.01803355 0.00048786 0.01787710 0.01791331
G_26 0.01777773 0.00239649 0.01769990 0.01889503 0.01664720 0.01828276 0.00028483 0.01784948 0.00028148 0.01758475 0.01778629 0.00012409 0.01813257 0.01779636 0.01781041 0.01785404 0.01871805 0.01914218 0.01806008 0.00011330 0.00028249 0.00012989 0.01868821 0.01811443 0.01880213 0.01820956 0.01812289 0.01771545 0.00009589 0.00042679 0.01812460 0.01785778 0.01957306 0.01783180 0.01864428 0.01796184 0.00028384 0.00028115 0.00028082 0.00350628 0.00028111 0.00009490 0.01866156 0.01784006 0.00014618 0.01864554 0.01832213 0.01932995 0.01779297 0.00010646 0.01786534 0.01677359 0.00014687 0.01876874 0.01799590 0.01785346 0.01879799 0.00028327 0.01851566 0.00012350 0.01779516 0.01777595 0.00014727 0.01784795 0.01785135 0.01749970 0.01881427 0.01865900 0.01866151 0.00015445 0.00028075 0.01763442 0.00014389 0.01778850 0.00010737 0.01770756 0.01796189 0.01836951 0.01784677 0.01772762 0.01779878 0.00012014 0.00010960 0.01881424 0.00011303 0.00028120 0.01882303 0.00028383 0.00028823 0.01837834 0.01786082 0.00028335 0.00028306 0.00028633 0.01946019 0.01782968 0.01815315 0.01884617 0.01861073 0.00028287 0.01771751 0.01786124 0.00013639 0.01768173 0.01894322 0.01784573 0.01734997 0.01807062 0.01796641 0.01796125 0.01855268 0.00028961 0.00018853 0.01780166 0.01871143 0.01820415 0.00011783 0.00028166 0.01782347 0.00028393 0.01867637 0.01776755 0.01783259 0.01784944 0.00011676 0.01783259 0.00038362 0.01809274 0.01892952 0.00010838 0.01898229 0.00018555 0.00028325 0.01783004 0.00028296 0.00384837 0.01782645 0 0.00351968 0.01869821 0.01882606 0.00012367 0.01779079 0.01825594 0.01864166 0.01870901 0.01785865 0.01780104 0.01866683 0.00020336 0.01785850 0.00012086 0.00012910 0.01780604 0.01895751 0.01832278 0.02037939 0.01808476 0.01864137 0.00028559 0.01777941 0.00028052 0.00028059 0.00011651 0.01771941 0.00028891 0.00011535
G_11 0.01831866 0.00606719 0.01813063 0.01881943 0.01707440 0.01821454 0.00348257 0.01841824 0.00351611 0.01806150 0.01835662 0.00371808 0.01774507 0.01840551 0.01837480 0.01841928 0.01897753 0.01899438 0.01839964 0.00356470 0.00351792 0.00358776 0.01914099 0.01834040 0.01897859 0.01797587 0.01773345 0.01812386 0.00354339 0.00357905 0.01773866 0.01839743 0.02000711 0.01838227 0.01911468 0.01778001 0.00353334 0.00346007 0.00348066 0.00014727 0.00348579 0.00363693 0.01859689 0.01841609 0.00385344 0.01903367 0.01856205 0.01919882 0.01836978 0.00353917 0.01842711 0.01715717 0.00379026 0.01915302 0.01773198 0.01838330 0.01910680 0.00345788 0.01837677 0.00366217 0.01836907 0.01832681 0.00371914 0.01840729 0.01840106 0.01871815 0.01886795 0.01852269 0.01903952 0.00354442 0.00345332 0.01783405 0.00383044 0.01833801 0.00360700 0.01824693 0.01777554 0.01830710 0.01838727 0.01816111 0.01837132 0.00356123 0.00372889 0.01895848 0.00358129 0.00350050 0.01884451 0.00345708 0.00351874 0.01830870 0.01842448 0.00349171 0.00345057 0.00349238 0.01970067 0.01841916 0.01830800 0.01914137 0.01854360 0.00348937 0.01815131 0.01842715 0.00380983 0.01826374 0.01883760 0.01842849 0.01781708 0.01794098 0.01775496 0.01776862 0.01836807 0.00361961 0.00343910 0.01833754 0.01855450 0.01799174 0.00354608 0.00354584 0.01838352 0.00348205 0.01950711 0.01833487 0.01839485 0.01839505 0.00356856 0.01843012 0.00396166 0.01772554 0.01915986 0.00375551 0.01919708 0.00372803 0.00354087 0.01843431 0.00346252 0.00019392 0.01841862 0.00351968 0 0.01910867 0.01899118 0.00357417 0.01837007 0.01787842 0.01860710 0.01887509 0.01839030 0.01839671 0.01871694 0.00357767 0.01840004 0.00358437 0.00357371 0.01834540 0.01897570 0.01868741 0.02044961 0.01771848 0.01900928 0.00347663 0.01835187 0.00348996 0.00347803 0.00370843 0.01815735 0.00355436 0.00353445
s_204 0.01943345 0.01904783 0.01950133 0.02083003 0.01863466 0.01943609 0.01876022 0.01955523 0.01863769 0.01926816 0.01956040 0.01886941 0.01921951 0.01958500 0.01959017 0.01959923 0.01993300 0.02064530 0.02026570 0.01865091 0.01867584 0.01904627 0.00001317 0.01910036 0.02042883 0.01918095 0.01922133 0.01950632 0.01871701 0.01887457 0.01921635 0.01955748 0.01992415 0.01962901 0.00000844 0.01942873 0.01869706 0.01874149 0.01875292 0.01923059 0.01865906 0.01864418 0.02007779 0.01955137 0.01869538 0.02002707 0.01978177 0.02045803 0.01956315 0.01863609 0.01960752 0.01866749 0.01878510 0.00001847 0.01900519 0.01950982 0.00000895 0.01867809 0.01898441 0.01899783 0.01958657 0.01960381 0.01887987 0.01961320 0.01959487 0.02025022 0.01993137 0.01906284 0.02004964 0.01890355 0.01878120 0.01830943 0.01879961 0.01938732 0.01879575 0.01947519 0.01941975 0.02003139 0.01955145 0.01951324 0.01958705 0.01878208 0.01880022 0.02042098 0.01882666 0.01877033 0.01996288 0.01870270 0.01881680 0.02004175 0.01959202 0.01863984 0.01867660 0.01864783 0.02075784 0.01958575 0.01997524 0.01990833 0.01943225 0.01867613 0.01950557 0.01961482 0.01873495 0.01952942 0.01983238 0.01960771 0.01895335 0.01866622 0.01941240 0.01937523 0.01907078 0.01900498 0.01898686 0.01953653 0.02025595 0.01920925 0.01861650 0.01868861 0.01958608 0.01875692 0.02012548 0.01955716 0.01958215 0.01959851 0.01872183 0.01956232 0.01863709 0.01922972 0.01948069 0.01897008 0.01939443 0.01899632 0.01876381 0.01956490 0.01869925 0.01921233 0.01958368 0.01869821 0.01910867 0 0.02047611 0.01869976 0.01956301 0.01985053 0.02023727 0.01992422 0.01962321 0.01958701 0.02030436 0.01892135 0.01963023 0.01868698 0.01873747 0.01960193 0.02077056 0.01979940 0.02129820 0.01921401 0.01997955 0.01865047 0.01948660 0.01867682 0.01875930 0.01869490 0.01950226 0.01862529 0.01862362
s_139 0.01969632 0.02005292 0.01951815 0.01956068 0.01707776 0.01850256 0.01884085 0.01976501 0.01883755 0.01995072 0.01983477 0.01902663 0.00952316 0.01986173 0.01980931 0.01975990 0.02045238 0.01296438 0.00590918 0.01883328 0.01884467 0.01911921 0.02027381 0.01806540 0.00002742 0.00269718 0.00950781 0.01952595 0.01883639 0.01890076 0.00949524 0.01978357 0.01992495 0.01983942 0.02046868 0.01965634 0.01883805 0.01888278 0.01881421 0.01910614 0.01883460 0.01883376 0.01217991 0.01978453 0.01895734 0.01306412 0.02125121 0.02009153 0.01982186 0.01887041 0.01977943 0.01706389 0.01899836 0.02030127 0.00274523 0.01960008 0.02045749 0.01888941 0.01864665 0.01899161 0.01985741 0.01984970 0.01886096 0.01973880 0.01973139 0.02055390 0.01847840 0.01879571 0.01307903 0.01906674 0.01888960 0.01963017 0.01892375 0.01960365 0.01881818 0.01934854 0.01966540 0.01884696 0.01965670 0.01953374 0.01985495 0.01886804 0.01890971 0.00003314 0.01886296 0.01883482 0.01848069 0.01892330 0.01884576 0.01895041 0.01973490 0.01885122 0.01891128 0.01885880 0.02097520 0.01976892 0.01946387 0.02041263 0.01831843 0.01883285 0.01951928 0.01986132 0.01890752 0.01932052 0.01877902 0.01979309 0.01901357 0.01747470 0.01965764 0.01965571 0.01874353 0.01913975 0.01905101 0.01973090 0.01227408 0.00268802 0.01881247 0.01883872 0.01978532 0.01885053 0.02086222 0.01982298 0.01978455 0.01978834 0.01883180 0.01976189 0.01912388 0.00950209 0.01955732 0.01916781 0.01962872 0.01912568 0.01882439 0.01975572 0.01888394 0.01892278 0.01972920 0.01882606 0.01899118 0.02047611 0 0.01887505 0.01981961 0.00288316 0.01227071 0.02042797 0.01973913 0.01985524 0.01934959 0.01916250 0.01978774 0.01887221 0.01885546 0.01985797 0.02046287 0.02118495 0.02036431 0.00951130 0.01302388 0.01883378 0.01963785 0.01883728 0.01881623 0.01891557 0.01952926 0.01876362 0.01882530
G_15 0.01780314 0.00240905 0.01777662 0.01886142 0.01666242 0.01817380 0.00029690 0.01790433 0.00030286 0.01760416 0.01781979 0.00015178 0.01819160 0.01788462 0.01791079 0.01791686 0.01892577 0.01923288 0.01812367 0.00012335 0.00030335 0.00014598 0.01868051 0.01824505 0.01885123 0.01826488 0.01818602 0.01779973 0.00010980 0.00044677 0.01816835 0.01788347 0.01970219 0.01786678 0.01864951 0.01802649 0.00030208 0.00029678 0.00030009 0.00357438 0.00029832 0.00012858 0.01874478 0.01791552 0.00016587 0.01870753 0.01830480 0.01927827 0.01786719 0.00013967 0.01792513 0.01680200 0.00016016 0.01871274 0.01803382 0.01787853 0.01873758 0.00029878 0.01858995 0.00015341 0.01788487 0.01783472 0.00017731 0.01789412 0.01790714 0.01747561 0.01884418 0.01873074 0.01870835 0.00015791 0.00030052 0.01773932 0.00014682 0.01785211 0.00011773 0.01775956 0.01801309 0.01834162 0.01790694 0.01779006 0.01788779 0.00014569 0.00012230 0.01886107 0.00012032 0.00030569 0.01887865 0.00029706 0.00030387 0.01834860 0.01791784 0.00030160 0.00030585 0.00030989 0.01958276 0.01789873 0.01816535 0.01898046 0.01851716 0.00030607 0.01778198 0.01792218 0.00015876 0.01778087 0.01881640 0.01791225 0.01736449 0.01823654 0.01802574 0.01801454 0.01864281 0.00031819 0.00020840 0.01783753 0.01872076 0.01829501 0.00012254 0.00030385 0.01786784 0.00029642 0.01874751 0.01786182 0.01785376 0.01787754 0.00012725 0.01788259 0.00040443 0.01813266 0.01905266 0.00012974 0.01909418 0.00018751 0.00030385 0.01789719 0.00030563 0.00383580 0.01792423 0.00012367 0.00357417 0.01869976 0.01887505 0 0.01786320 0.01830582 0.01877235 0.01871192 0.01789762 0.01788867 0.01872142 0.00022021 0.01790177 0.00015285 0.00014022 0.01784944 0.01903608 0.01824492 0.02051441 0.01811338 0.01868618 0.00030278 0.01785470 0.00031140 0.00030273 0.00013828 0.01778577 0.00029953 0.00012715
