G_20	s_263	s_194	s_252	s_201	s_245	s_228	s_341	s_274	G_18	s_205	s_222	s_248	s_226	s_231	G_31	G_22	s_261	s_215	s_296	s_240	s_224	G_33	s_326	s_208	s_336	s_343	s_219	s_257	s_279	s_237	s_196	s_183	G_2	G_27	s_321	s_304	s_246	G_14	s_286	s_288	s_269	s_241	G_10	s_265	G_5	s_282	s_323	s_192	G_16	s_239	s_344	s_220	s_243	s_203	s_250	s_187	G_25	s_297	s_330	s_184	G_21	s_299	s_338	s_329	s_254	s_349	s_233	s_209	G_28	s_300	s_313	s_188	s_308	G_19	s_347	s_216	G_17	s_229	s_314	s_195	G_9	G_12	s_275	s_218	G_4	s_202	s_253	s_225	s_337	s_227	s_214	s_291	s_339	s_346	s_273	s_260	s_249	s_221	s_191	s_311	s_185	G_32	s_293	s_332	s_280	s_284	s_320	s_236	G_36	G_34	G_23	s_306	s_316	s_223	s_262	s_322	s_325	s_287	s_328	G_7	s_256	s_350	s_230	s_207	s_310	G_8	s_234	s_303	s_258	G_35	s_242	s_281	s_324	G_1	G_26	G_11	s_204	s_307	s_295	s_305	s_298	G_15	s_217	s_251	s_264	s_285	s_315	s_193	s_255	G_6	s_289	G_30	s_266	G_29	s_302	s_235	G_3	s_290	s_211	s_206	s_232	s_210	s_292	s_186	G_24	s_348	s_238	s_270	G_13	s_340
s_298 0.01971675 0.01980731 0.01869571 0.01946046 0.02136171 0.01886459 0.01946286 0.02011892 0.00569192 0.01888830 0.00080468 0.01984741 0.01993854 0.01976087 0.01929770 0.01884614 0.01916262 0.01906347 0.01978732 0.02000748 0.01987935 0.01975947 0.01886286 0.01881505 0.01978229 0.00572752 0.02016542 0.01988083 0.01907978 0.01874534 0.01872686 0.01909361 0.01972010 0.01898219 0.01883917 0.01747907 0.01940834 0.01890338 0.01906129 0.00986569 0.01242168 0.02004193 0.01962802 0.02088595 0.01969435 0.01891487 0.01949998 0.01917943 0.01969223 0.01911126 0.01970374 0.01875604 0.01986909 0.01967967 0.01222660 0.02058227 0.01971331 0.01887797 0.01227356 0.01284777 0.01981896 0.01896279 0.01932590 0.01938355 0.00977840 0.01995094 0.01828555 0.01894061 0.01974655 0.01914453 0.01966449 0.00610249 0.01860459 0.01887827 0.01891095 0.01873966 0.01971848 0.01885091 0.01928459 0.01874813 0.01876169 0.01887924 0.01891198 0.00555824 0.01784866 0.01884979 0.02125352 0.01875986 0.01980344 0.00565696 0.01984548 0.01982090 0.01899749 0.01940098 0.02018959 0.01911003 0.01896325 0.01867317 0.01865223 0.01976626 0.01948975 0.01967379 0.01901108 0.01889342 0.01939874 0.01896672 0.00990317 0.01833495 0.01881658 0.01914722 0.01910542 0.01885007 0.01877723 0.02134214 0.01955423 0.00751447 0.01975317 0.01983352 0.00985765 0.01991593 0.01883688 0.01883592 0.01835704 0.01932512 0.01974515 0.01879009 0.01925552 0.01892420 0.01948963 0.01772495 0.01899593 0.01994216 0.02023718 0.01971650 0.01889530 0.01881495 0.01889215 0.01219586 0.01319208 0.01997517 0.01921045 0 0.01886156 0.01973900 0.02060895 0.01969369 0.00989495 0.01808943 0.01960814 0.02007406 0.01929600 0.01281175 0.01887355 0.01994845 0.01896554 0.01801530 0.01884318 0.02092887 0.02005990 0.01950919 0.00094238 0.01871103 0.01990782 0.01874015 0.01976703 0.01901964 0.01869442 0.01886410 0.01999242 0.01885932 0.01939314
G_15 0.00240905 0.01786884 0.01772871 0.01850011 0.01948459 0.00033760 0.01713825 0.01774400 0.02007602 0.00015178 0.01824337 0.01741254 0.01735019 0.01732845 0.01709322 0.00012335 0.00014598 0.00032650 0.01729849 0.01748671 0.01723839 0.01722234 0.00010980 0.00030076 0.01729178 0.02000960 0.01797556 0.01730215 0.01855859 0.00030601 0.00030017 0.00248654 0.01727475 0.00357438 0.00012858 0.01684020 0.01730052 0.00033209 0.00016587 0.01771037 0.01784571 0.01770390 0.01721506 0.01830480 0.01781343 0.00013967 0.01763637 0.01526334 0.01717575 0.00016016 0.01723844 0.00030239 0.01728925 0.01725665 0.01812169 0.02031120 0.01722358 0.00015341 0.01825451 0.01810921 0.01728339 0.00017731 0.01757298 0.01713012 0.01729449 0.01741878 0.01845605 0.00033674 0.01740296 0.00015791 0.01758983 0.01723785 0.01766469 0.00035245 0.00014682 0.00155227 0.01735977 0.00011773 0.01707958 0.00031029 0.01786857 0.00014569 0.00012230 0.01987554 0.01780853 0.00012032 0.01944739 0.00031894 0.01730206 0.01986277 0.01736259 0.01741436 0.00033825 0.01710558 0.01821232 0.01752135 0.00033069 0.01803420 0.00037268 0.01728427 0.01727980 0.01735106 0.00015876 0.00033296 0.01732237 0.00032065 0.01764242 0.01571842 0.00030100 0.00031819 0.00020840 0.00012254 0.00031656 0.02082539 0.01706499 0.02029547 0.01773955 0.01764771 0.01761453 0.01828536 0.00012725 0.00034770 0.01842596 0.01703236 0.01717798 0.00030135 0.00012974 0.00035633 0.01736091 0.01686122 0.00018751 0.01733941 0.01812443 0.01819345 0.00383580 0.00012367 0.00357417 0.01826750 0.01873804 0.01785497 0.01703997 0.01886156 0 0.01723629 0.02034357 0.01764599 0.01764092 0.01801353 0.01710077 0.01748097 0.00022021 0.01822535 0.00015285 0.01762427 0.00014022 0.01789245 0.00029937 0.01824492 0.01899925 0.01706726 0.01819784 0.00030647 0.01728195 0.00035591 0.01729031 0.00013828 0.01745360 0.00029796 0.01763920 0.00012715 0.01739107
s_217 0.01807506 0.00122666 0.01723299 0.01804751 0.02017649 0.01730723 0.00053566 0.01827137 0.01996949 0.01778897 0.01860576 0.00012959 0.00011316 0.00006816 0.00048887 0.01723230 0.01775048 0.01732471 0.00004841 0.00026616 0.00005707 0.00006996 0.01727964 0.01726181 0.00004411 0.02041122 0.01825223 0.00012923 0.01732026 0.01724564 0.01717571 0.01758662 0.00004849 0.01784844 0.01732290 0.00131266 0.00007655 0.01717699 0.01754781 0.01765034 0.01868911 0.01827659 0.00005707 0.01878482 0.00118311 0.01733234 0.01913991 0.00005945 0.00008551 0.01759269 0.00005862 0.01731851 0.00010209 0.00005577 0.01853824 0.02011069 0.00004870 0.01776211 0.01908455 0.01878496 0.00006819 0.01732584 0.00056143 0.00006052 0.01761800 0.00012131 0.01726732 0.01723639 0.00005021 0.01767088 0.00056525 0.01869566 0.01721296 0.01742591 0.01758917 0.01753747 0.00009169 0.01728030 0.00052598 0.01735438 0.01732054 0.01736428 0.01759301 0.01996821 0.01699930 0.01733796 0.02017678 0.01719487 0.00005883 0.01996780 0.00007726 0.00004866 0.01728975 0.00007082 0.01821749 0.01834400 0.01730357 0.01699298 0.01727226 0.00004267 0.00007056 0.00005378 0.01758954 0.01737746 0.00008190 0.01736920 0.01762198 0.01685431 0.01718848 0.01771676 0.01763204 0.01723591 0.01733026 0.02066434 0.00005881 0.01980796 0.01844614 0.01892579 0.01764162 0.01900823 0.01724928 0.01730208 0.01726445 0.00058525 0.00005280 0.01719427 0.01784810 0.01722629 0.00008954 0.01705595 0.01777857 0.00005785 0.01912758 0.01904160 0.01782227 0.01729182 0.01779288 0.01873507 0.01941911 0.01881362 0.00050375 0.01973900 0.01723629 0 0.02012141 0.00118667 0.01766611 0.01684688 0.00006131 0.00014909 0.01787165 0.01883979 0.01733878 0.01817706 0.01740838 0.01718691 0.01721604 0.01884313 0.01917831 0.00004751 0.01859832 0.01715955 0.00006365 0.01720986 0.00004994 0.01752191 0.01738381 0.01722573 0.01821487 0.01727457 0.00006645
s_251 0.02022492 0.02020686 0.01363612 0.01524031 0.02147638 0.02033115 0.01996221 0.02113112 0.01772452 0.01995431 0.02036455 0.02008063 0.02006761 0.01977376 0.01981188 0.02025638 0.02051316 0.02019867 0.02003918 0.01988211 0.02001656 0.01994900 0.02041986 0.02001560 0.02012752 0.01811604 0.02117035 0.02010413 0.01320964 0.02009152 0.02019061 0.02176764 0.02010979 0.02037423 0.02030125 0.01963934 0.01978322 0.02032701 0.02062205 0.01851915 0.01925697 0.01970305 0.01995433 0.02007695 0.02017815 0.02027933 0.02054482 0.01968189 0.02005387 0.02071160 0.01989099 0.02052435 0.02008485 0.01983094 0.01803529 0.00103137 0.02012033 0.01988976 0.01819541 0.01940730 0.02021165 0.02040836 0.02000082 0.01985934 0.01845088 0.01980347 0.01547635 0.02057413 0.02007677 0.02036743 0.02018969 0.01975525 0.01365530 0.02059734 0.02024394 0.02075441 0.02009672 0.02028590 0.01989002 0.02005094 0.01375977 0.02029292 0.02018170 0.01743326 0.01188138 0.02038777 0.02138044 0.02036631 0.01989290 0.01768846 0.02000655 0.02009509 0.02005605 0.01990213 0.02136850 0.01532616 0.02012074 0.01342484 0.01986160 0.02003379 0.01977031 0.02008163 0.02067986 0.02004971 0.01982634 0.02004053 0.01852379 0.01233120 0.02024944 0.02043469 0.02036568 0.02027014 0.02055188 0.00108107 0.01965852 0.02070364 0.01978068 0.02049473 0.01847473 0.02062988 0.02027015 0.01995916 0.01549116 0.01987316 0.01999112 0.02031595 0.02064464 0.02056349 0.01975399 0.01218417 0.02004688 0.02010499 0.02056525 0.01565039 0.02030865 0.02030215 0.02021355 0.01804227 0.01802631 0.02063924 0.01979392 0.02060895 0.02034357 0.02012141 0 0.02014204 0.01852641 0.01290390 0.01994560 0.01982912 0.02070350 0.01943657 0.02034025 0.01958246 0.02041654 0.01216881 0.02039141 0.02007540 0.02125656 0.02002400 0.02053761 0.02036241 0.02013907 0.02000071 0.02003423 0.02057994 0.01347836 0.02030298 0.01958987 0.02028930 0.01986643
s_264 0.01782717 0.00017968 0.01770078 0.01819045 0.01981780 0.01780135 0.00128613 0.01797587 0.02014685 0.01772086 0.01860291 0.00126165 0.00125190 0.00119223 0.00123011 0.01766738 0.01779364 0.01775929 0.00114436 0.00136971 0.00118179 0.00119288 0.01765100 0.01751150 0.00116647 0.02031529 0.01801606 0.00127428 0.01812951 0.01735271 0.01753774 0.01809386 0.00118099 0.01772393 0.01763843 0.00011172 0.00120031 0.01753868 0.01782023 0.01813723 0.01860190 0.01829815 0.00117428 0.01874935 0.00012909 0.01767247 0.01961969 0.00120178 0.00118922 0.01797873 0.00117960 0.01768396 0.00124180 0.00118028 0.01877521 0.02007632 0.00118186 0.01780531 0.01891511 0.01856977 0.00118328 0.01774354 0.00139992 0.00118571 0.01808761 0.00125255 0.01766868 0.01774286 0.00116449 0.01774181 0.00169200 0.01875521 0.01785181 0.01771795 0.01788905 0.01779952 0.00123652 0.01770656 0.00126466 0.01766885 0.01795320 0.01773999 0.01782226 0.02011990 0.01731999 0.01765111 0.01975815 0.01746409 0.00116669 0.01994315 0.00121186 0.00116253 0.01764799 0.00118773 0.01817850 0.01854374 0.01760071 0.01749658 0.01749842 0.00117576 0.00116501 0.00116784 0.01780426 0.01765155 0.00119510 0.01768468 0.01811663 0.01730428 0.01772041 0.01783993 0.01765071 0.01759663 0.01767563 0.02063385 0.00118173 0.02042795 0.01855147 0.01961946 0.01799213 0.01950729 0.01758488 0.01767662 0.01764696 0.00135161 0.00118056 0.01754407 0.01769620 0.01784569 0.00121046 0.01665322 0.01777423 0.00118797 0.01968802 0.01944452 0.01763629 0.01761354 0.01777155 0.01866690 0.01937042 0.01925445 0.00120239 0.01969369 0.01764599 0.00118667 0.02014204 0 0.01811848 0.01705024 0.00113874 0.00128765 0.01779203 0.01867319 0.01768435 0.01838286 0.01782222 0.01762168 0.01738221 0.01878283 0.01949929 0.00116025 0.01856837 0.01765649 0.00117141 0.01762187 0.00116231 0.01767891 0.01764171 0.01768487 0.01830154 0.01765407 0.00117748
s_285 0.01790592 0.01825887 0.01758996 0.01743549 0.01945129 0.01767840 0.01757835 0.01849564 0.01109534 0.01764161 0.00906659 0.01765779 0.01769648 0.01761993 0.01748525 0.01763133 0.01770110 0.01784732 0.01752192 0.01738851 0.01762788 0.01756473 0.01764441 0.01760740 0.01759398 0.01151886 0.01864630 0.01765377 0.01723974 0.01761099 0.01756990 0.01811387 0.01760694 0.01747584 0.01762115 0.01657170 0.01731583 0.01757290 0.01775528 0.00017726 0.00977297 0.01813993 0.01737083 0.01813623 0.01812284 0.01769311 0.01809185 0.01737521 0.01763394 0.01780876 0.01744519 0.01758662 0.01761516 0.01743508 0.00775527 0.01846081 0.01760801 0.01768135 0.00803116 0.00973362 0.01772622 0.01773094 0.01754157 0.01730765 0.00012459 0.01767631 0.01685331 0.01773811 0.01762322 0.01765970 0.01757544 0.00733539 0.01751119 0.01764719 0.01776733 0.01748723 0.01762804 0.01762304 0.01742922 0.01762025 0.01755024 0.01766316 0.01775093 0.01097197 0.01644790 0.01767266 0.01947536 0.01752856 0.01750297 0.01099962 0.01759890 0.01737103 0.01761255 0.01726298 0.01855847 0.01728599 0.01777261 0.01667859 0.01758815 0.01753521 0.01731080 0.01749614 0.01774098 0.01758582 0.01735860 0.01779132 0.00020887 0.01607970 0.01759036 0.01768433 0.01762077 0.01761859 0.01760769 0.01907683 0.01747436 0.00932106 0.01791377 0.01844283 0.00018834 0.01851450 0.01759787 0.01754112 0.01684680 0.01746822 0.01747547 0.01744283 0.01768250 0.01772028 0.01726752 0.01554593 0.01769250 0.01770767 0.01868315 0.01789350 0.01741117 0.01760702 0.01727672 0.00781201 0.00835481 0.01849302 0.01730527 0.00989495 0.01764092 0.01766611 0.01852641 0.01811848 0 0.01630047 0.01744946 0.01775361 0.01771241 0.00977120 0.01763711 0.01808201 0.01774821 0.01694164 0.01758008 0.01822087 0.01867698 0.01753085 0.00916210 0.01754145 0.01766262 0.01751497 0.01757161 0.01770971 0.01756300 0.01763704 0.01807083 0.01763849 0.01728485
s_315 0.01790628 0.01713258 0.01081442 0.00979906 0.01872527 0.01787623 0.01695399 0.01800111 0.01892336 0.01786124 0.01738221 0.01685116 0.01685693 0.01676096 0.01686123 0.01778291 0.01800414 0.01804422 0.01672066 0.01706091 0.01675344 0.01678581 0.01791125 0.01778313 0.01687814 0.01937354 0.01813798 0.01683662 0.00041419 0.01782111 0.01786386 0.01825929 0.01684178 0.01778837 0.01779757 0.01575644 0.01677183 0.01778940 0.01809820 0.01638296 0.01573152 0.01746744 0.01655411 0.01677062 0.01714570 0.01788153 0.01760261 0.01649213 0.01679230 0.01812097 0.01665010 0.01789161 0.01684442 0.01662701 0.01628981 0.01297911 0.01681488 0.01783937 0.01639617 0.01636163 0.01687465 0.01799867 0.01730107 0.01662571 0.01631530 0.01694379 0.00389417 0.01798175 0.01690151 0.01791882 0.01713353 0.01633641 0.01085483 0.01804517 0.01806910 0.01806094 0.01689336 0.01789013 0.01675302 0.01786301 0.01097818 0.01786366 0.01775313 0.01876039 0.00693898 0.01792299 0.01875957 0.01786341 0.01675059 0.01893010 0.01684864 0.01691642 0.01802757 0.01662917 0.01801524 0.01019547 0.01789568 0.00013697 0.01756998 0.01679735 0.01681604 0.01671560 0.01806748 0.01791788 0.01668881 0.01799370 0.01635343 0.00973825 0.01784885 0.01797710 0.01795230 0.01778880 0.01795366 0.01352213 0.01647199 0.01865251 0.01732820 0.01797909 0.01631478 0.01826072 0.01784125 0.01787049 0.00388385 0.01676220 0.01675023 0.01764724 0.01804573 0.01795385 0.01684785 0.00935496 0.01789180 0.01688571 0.01832737 0.01144924 0.01777724 0.01780424 0.01770860 0.01631266 0.01664190 0.01825058 0.01680831 0.01808943 0.01801353 0.01684688 0.01290390 0.01705024 0.01630047 0 0.01678930 0.01697144 0.01810062 0.01609909 0.01789544 0.01736234 0.01790656 0.00705294 0.01785444 0.01680498 0.01833034 0.01677995 0.01731162 0.01781551 0.01695499 0.01780551 0.01688540 0.01798302 0.01066071 0.01785760 0.01735825 0.01779894 0.01664279
s_193 0.01793201 0.00117014 0.01753022 0.01787204 0.02017945 0.01707739 0.00054177 0.01819299 0.01984586 0.01757600 0.01879301 0.00013518 0.00011718 0.00007264 0.00050149 0.01711685 0.01762038 0.01719299 0.00005410 0.00027237 0.00006025 0.00007237 0.01716660 0.01703435 0.00005386 0.02025220 0.01819852 0.00013197 0.01729325 0.01703281 0.01705691 0.01713348 0.00004953 0.01784063 0.01718319 0.00137058 0.00008287 0.01695006 0.01739025 0.01736965 0.01872675 0.01797777 0.00006934 0.01865064 0.00112842 0.01711650 0.01894115 0.00006646 0.00008913 0.01745688 0.00006751 0.01711053 0.00011050 0.00006882 0.01876345 0.01994120 0.00005361 0.01756297 0.01896991 0.01868705 0.00007492 0.01732711 0.00057216 0.00006600 0.01735341 0.00012378 0.01723715 0.01711542 0.00005000 0.01746866 0.00057289 0.01853539 0.01722314 0.01717680 0.01747051 0.01734792 0.00009745 0.01705406 0.00053942 0.01711945 0.01753131 0.01723975 0.01745934 0.01981430 0.01707729 0.01712363 0.02014760 0.01711236 0.00007550 0.01989288 0.00009292 0.00005951 0.01707283 0.00008017 0.01813273 0.01822745 0.01710368 0.01694235 0.01706922 0.00005013 0.00007427 0.00006383 0.01745965 0.01723976 0.00009156 0.01723078 0.01741642 0.01680675 0.01707763 0.01773797 0.01751449 0.01710129 0.01715715 0.02041045 0.00006744 0.01959408 0.01823202 0.01883375 0.01742365 0.01877240 0.01723037 0.01716566 0.01729619 0.00060402 0.00005359 0.01705812 0.01762940 0.01701104 0.00011250 0.01699953 0.01765636 0.00007064 0.01889594 0.01887783 0.01772312 0.01706767 0.01774856 0.01881731 0.01933111 0.01850554 0.00050930 0.01960814 0.01710077 0.00006131 0.01994560 0.00113874 0.01744946 0.01678930 0 0.00015654 0.01775837 0.01875035 0.01729174 0.01786873 0.01720673 0.01723150 0.01711907 0.01870201 0.01893324 0.00005670 0.01875716 0.01702630 0.00007190 0.01699267 0.00006154 0.01739172 0.01738846 0.01701544 0.01800654 0.01706496 0.00007271
s_255 0.01818632 0.00131600 0.01731586 0.01765668 0.02022035 0.01730133 0.00089282 0.01812457 0.02021108 0.01785325 0.01873452 0.00019597 0.00019095 0.00013814 0.00085124 0.01743101 0.01794728 0.01746944 0.00014268 0.00035854 0.00013016 0.00012669 0.01751293 0.01745207 0.00014162 0.02055683 0.01815980 0.00021662 0.01744094 0.01734286 0.01717427 0.01745266 0.00013848 0.01807029 0.01741204 0.00138440 0.00014375 0.01720135 0.01770904 0.01777501 0.01861589 0.01830154 0.00012342 0.01894936 0.00127772 0.01747235 0.01918186 0.00014266 0.00018333 0.01780679 0.00012839 0.01750399 0.00018268 0.00012417 0.01849217 0.01968333 0.00014122 0.01789103 0.01890815 0.01874665 0.00016558 0.01754980 0.00067193 0.00014644 0.01770154 0.00020020 0.01731553 0.01737911 0.00013643 0.01790606 0.00069916 0.01872016 0.01738062 0.01755925 0.01777512 0.01769578 0.00018739 0.01742139 0.00091076 0.01747501 0.01756391 0.01743933 0.01767683 0.02015254 0.01665990 0.01749836 0.02014815 0.01728629 0.00013093 0.02013038 0.00015782 0.00013692 0.01744321 0.00015984 0.01812763 0.01842177 0.01750088 0.01680059 0.01716362 0.00014528 0.00012982 0.00013451 0.01769108 0.01745674 0.00016618 0.01747205 0.01769089 0.01707058 0.01722965 0.01791989 0.01775557 0.01743662 0.01760220 0.02063349 0.00013191 0.02008924 0.01853261 0.01919669 0.01774573 0.01911106 0.01739217 0.01737440 0.01739829 0.00097664 0.00014296 0.01745258 0.01801979 0.01735785 0.00017552 0.01709693 0.01787955 0.00012682 0.01921820 0.01932538 0.01792743 0.01739403 0.01799704 0.01858920 0.01943830 0.01903299 0.00086733 0.02007406 0.01748097 0.00014909 0.01982912 0.00128765 0.01775361 0.01697144 0.00015654 0 0.01801522 0.01881580 0.01749011 0.01837989 0.01749491 0.01724110 0.01725576 0.01896412 0.01947186 0.00014461 0.01874755 0.01720282 0.00016310 0.01739360 0.00015070 0.01769512 0.01761870 0.01718642 0.01828628 0.01745079 0.00015540
G_6 0.00276909 0.01797989 0.01783863 0.01875494 0.01980542 0.00041328 0.01762919 0.01787509 0.02031816 0.00050624 0.01863751 0.01791304 0.01793431 0.01785811 0.01756904 0.00020539 0.00015640 0.00040201 0.01776339 0.01810642 0.01788222 0.01774375 0.00017672 0.00037614 0.01791064 0.02031581 0.01808784 0.01793679 0.01879638 0.00038171 0.00037752 0.00243067 0.01783845 0.00356387 0.00022337 0.01705031 0.01788901 0.00040791 0.00025305 0.01777820 0.01832297 0.01774007 0.01776678 0.01864556 0.01799633 0.00023060 0.01796039 0.01588302 0.01777312 0.00023685 0.01731081 0.00041585 0.01796948 0.01775959 0.01834266 0.02064131 0.01784369 0.00051336 0.01847454 0.01861119 0.01794034 0.00024939 0.01805232 0.01765620 0.01735710 0.01786647 0.01863241 0.00044562 0.01784606 0.00012216 0.01823164 0.01767461 0.01780065 0.00046323 0.00028585 0.00150350 0.01791720 0.00020049 0.01753997 0.00038702 0.01796766 0.00019287 0.00021109 0.02013079 0.01790059 0.00019590 0.01973758 0.00037296 0.01780259 0.02016667 0.01795442 0.01796642 0.00041447 0.01765268 0.01826558 0.01811579 0.00040538 0.01828258 0.00046102 0.01786493 0.01788499 0.01784216 0.00025319 0.00041118 0.01775867 0.00039741 0.01771590 0.01585700 0.00037750 0.00018619 0.00009209 0.00019185 0.00042853 0.02117404 0.01758697 0.02069413 0.01781129 0.01785358 0.01766157 0.01866910 0.00020701 0.00041920 0.01859456 0.01751126 0.01781073 0.00037624 0.00012299 0.00046742 0.01800374 0.01700781 0.00059706 0.01795362 0.01838097 0.01889355 0.00392854 0.00020336 0.00357767 0.01849144 0.01887568 0.01821943 0.01748263 0.01929600 0.00022021 0.01787165 0.02070350 0.01779203 0.01771241 0.01810062 0.01775837 0.01801522 0 0.01863778 0.00021221 0.01770770 0.00021941 0.01807162 0.00037523 0.01872033 0.01904871 0.01780902 0.01861384 0.00041994 0.01790792 0.00042417 0.01790024 0.00021059 0.01754497 0.00037535 0.01774674 0.00018670 0.01789927
s_289 0.01826265 0.01876208 0.01784346 0.01749071 0.02012125 0.01801684 0.01870226 0.01863049 0.01337697 0.01791734 0.01233441 0.01880403 0.01878488 0.01873040 0.01855351 0.01814247 0.01850557 0.01817266 0.01876171 0.01842143 0.01864851 0.01873707 0.01817842 0.01785669 0.01884202 0.01341578 0.01871906 0.01885218 0.01708800 0.01794963 0.01798464 0.01780510 0.01882034 0.01831791 0.01810704 0.01720722 0.01825682 0.01800235 0.01838891 0.00984166 0.00008976 0.01876951 0.01864253 0.01782860 0.01877106 0.01801279 0.01842765 0.01808735 0.01880607 0.01844124 0.01862445 0.01812235 0.01875191 0.01855586 0.01008263 0.01934738 0.01887007 0.01792842 0.01002269 0.00008810 0.01888053 0.01828810 0.01850017 0.01830572 0.00947677 0.01879345 0.01701205 0.01809103 0.01875375 0.01850030 0.01855750 0.01074126 0.01778384 0.01813187 0.01810815 0.01800466 0.01872674 0.01816929 0.01848769 0.01787809 0.01788434 0.01814794 0.01799946 0.01328784 0.01693909 0.01817526 0.02015560 0.01790420 0.01863273 0.01309320 0.01874149 0.01883860 0.01788765 0.01831245 0.01886494 0.01746399 0.01811229 0.01658365 0.01799240 0.01870132 0.01826608 0.01872122 0.01838454 0.01788092 0.01836309 0.01807705 0.00980522 0.01616828 0.01791494 0.01848404 0.01839850 0.01801232 0.01811040 0.01958879 0.01843593 0.01279095 0.01839568 0.01893682 0.00982707 0.01901782 0.01806482 0.01787248 0.01705619 0.01848005 0.01866429 0.01797838 0.01853078 0.01805946 0.01822273 0.01611940 0.01800262 0.01877030 0.01914686 0.01729464 0.01833733 0.01801120 0.01821054 0.01007326 0.00998174 0.01886307 0.01841828 0.01281175 0.01822535 0.01883979 0.01943657 0.01867319 0.00977120 0.01609909 0.01875035 0.01881580 0.01863778 0 0.01811752 0.01860509 0.01823641 0.01696102 0.01797926 0.01788494 0.01920055 0.01856344 0.01221706 0.01798422 0.01896132 0.01780678 0.01881746 0.01835376 0.01750737 0.01799161 0.01869708 0.01796158 0.01835607
G_30 0.00240985 0.01792674 0.01770250 0.01854138 0.01945769 0.00035572 0.01721054 0.01768056 0.02005603 0.00013087 0.01824534 0.01740897 0.01734638 0.01736267 0.01714545 0.00012113 0.00015921 0.00034498 0.01735802 0.01756590 0.01729455 0.01723448 0.00012675 0.00031792 0.01715727 0.01998193 0.01792159 0.01738158 0.01862919 0.00032416 0.00031875 0.00252555 0.01733075 0.00350544 0.00013638 0.01683824 0.01733196 0.00035070 0.00015840 0.01767503 0.01786210 0.01770521 0.01725192 0.01834487 0.01788868 0.00012298 0.01774833 0.01537853 0.01720275 0.00018983 0.01727212 0.00032010 0.01737661 0.01725088 0.01802670 0.02020962 0.01728890 0.00016176 0.01824233 0.01806969 0.01737429 0.00017100 0.01759565 0.01714752 0.01728656 0.01746609 0.01844358 0.00035380 0.01742436 0.00014786 0.01766980 0.01719758 0.01766260 0.00036951 0.00014001 0.00156136 0.01742079 0.00013619 0.01713553 0.00032833 0.01783280 0.00013357 0.00011563 0.01986707 0.01784871 0.00014499 0.01942505 0.00033445 0.01731475 0.01984158 0.01741084 0.01744077 0.00035591 0.01712924 0.01813721 0.01764746 0.00034787 0.01807954 0.00038399 0.01732543 0.01733943 0.01735291 0.00017565 0.00035133 0.01734714 0.00033835 0.01764336 0.01577985 0.00031629 0.00033504 0.00022867 0.00011883 0.00033454 0.02078754 0.01709291 0.02024696 0.01763394 0.01763197 0.01759979 0.01839944 0.00011388 0.00036597 0.01842808 0.01708966 0.01725829 0.00031926 0.00013580 0.00037387 0.01738481 0.01688716 0.00018391 0.01739229 0.01816905 0.01841361 0.00383684 0.00012086 0.00358437 0.01826006 0.01866725 0.01796068 0.01707419 0.01887355 0.00015285 0.01733878 0.02034025 0.01768435 0.01763711 0.01789544 0.01729174 0.01749011 0.00021221 0.01811752 0 0.01765751 0.00013156 0.01798805 0.00031797 0.01825300 0.01901148 0.01715169 0.01819016 0.00032301 0.01738032 0.00036905 0.01738379 0.00011418 0.01744850 0.00031938 0.01768782 0.00011018 0.01741127
