s_129	G_20	s_133	s_112	s_194	s_201	s_228	s_142	s_158	G_18	s_205	s_172	s_115	s_222	s_145	s_226	G_31	s_168	s_106	G_22	s_215	s_135	s_138	s_199	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_121	s_118	s_196	s_183	s_164	s_178	s_102	G_2	s_213	G_27	s_136	G_14	G_10	s_182	s_156	G_5	s_144	s_117	s_192	G_16	s_100	s_220	s_203	s_111	s_187	G_25	s_184	s_154	G_21	s_124	s_131	s_159	s_97	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	s_101	G_12	s_218	G_4	s_114	s_202	s_225	s_104	s_108	s_132	s_127	s_212	s_227	s_214	s_99	s_134	s_148	s_198	s_221	s_191	s_162	s_120	s_185	G_32	s_171	s_126	s_143	s_149	s_107	s_150	s_197	s_179	G_36	G_34	s_137	s_152	G_23	s_169	s_177	s_176	s_223	s_103	s_146	s_140	s_113	s_122	G_7	s_147	s_207	s_119	s_105	s_189	s_180	G_8	s_110	G_35	s_116	s_170	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_109	s_130	s_175	s_193	G_6	s_141	G_30	G_29	s_173	G_3	s_98	s_211	s_206	s_210	s_157	s_186	s_190	G_24	s_161	G_13
s_119 0.00000798 0.00735858 0.00000688 0.00764172 0.00000424 0.00723379 0.00716580 0.00722722 0.00000693 0.00728087 0.00746082 0.00747520 0.00000634 0.00714667 0.00001317 0.00718716 0.00720326 0.00028969 0.00722644 0.00729726 0.00742900 0.00005136 0.00723591 0.00722419 0.00722819 0.00722454 0.00705713 0.00722375 0.00000608 0.00733928 0.00722077 0.00000343 0.00000556 0.00001281 0.00742488 0.00722702 0.00758211 0.00722699 0.00735892 0.00758660 0.00721289 0.00005081 0.00722468 0.00740578 0.00733037 0.00736545 0.00722574 0.00725012 0.00001217 0.00761375 0.00728115 0.00000670 0.00000714 0.00000818 0.00760086 0.00723318 0.00728811 0.00741255 0.00721581 0.00724630 0.00696938 0.00000694 0.00001039 0.00000185 0.00731220 0.00726731 0.00028900 0.00721646 0.00723358 0.00000687 0.00721175 0.00726813 0.00715449 0.00000826 0.00713801 0.00721781 0.00727841 0.00720829 0.00000687 0.00723535 0.00735009 0.00724064 0.00000291 0.00722442 0.00714276 0.00000581 0.00772148 0.00001224 0.00722761 0.00719728 0.00716719 0.00733682 0.00000397 0.00005413 0.00000613 0.00005301 0.00000819 0.00757580 0.00715013 0.00000475 0.00788199 0.00721046 0.00740657 0.00000934 0.00723761 0.00000719 0.00734423 0.00001792 0.00000772 0.00733704 0.00731108 0.00726847 0.00005270 0.00722917 0.00716526 0.00741411 0.00756704 0.00724717 0.00715288 0.00001084 0.00000826 0.00723602 0.00763397 0.00001003 0.00721976 0.00000878 0.00706250 0 0.00000925 0.00756410 0.00732869 0.00727803 0.00759394 0.00731788 0.00000913 0.00741093 0.00723331 0.00736559 0.00000719 0.00721397 0.00735441 0.00672319 0.00724286 0.00723698 0.00740086 0.00767264 0.00729890 0.00748566 0.00001144 0.00722735 0.00000846 0.00728594 0.00722689 0.00719787 0.00723370 0.00733885 0.00740100 0.00000502 0.00755015 0.00723195 0.00740993 0.00724272 0.00722984 0.00000531 0.00722717 0.00704836 0.00718752
s_105 0.00001092 0.00736373 0.00000752 0.00762718 0.00000929 0.00724956 0.00716729 0.00724921 0.00001146 0.00730768 0.00750077 0.00747758 0.00001111 0.00715313 0.00000673 0.00718954 0.00719807 0.00028042 0.00721137 0.00730128 0.00742090 0.00005495 0.00724860 0.00723998 0.00724403 0.00722628 0.00706414 0.00723952 0.00000688 0.00733932 0.00724500 0.00001190 0.00000953 0.00000614 0.00743329 0.00725145 0.00758528 0.00722351 0.00738031 0.00758869 0.00721460 0.00005849 0.00725574 0.00740092 0.00733182 0.00737562 0.00722448 0.00725079 0.00000635 0.00761942 0.00728759 0.00001006 0.00000767 0.00001146 0.00758216 0.00725598 0.00731843 0.00741463 0.00723372 0.00723755 0.00697854 0.00001283 0.00000667 0.00000132 0.00731689 0.00726660 0.00028192 0.00724061 0.00726912 0.00000635 0.00722359 0.00731455 0.00715461 0.00001173 0.00714798 0.00724197 0.00729034 0.00723900 0.00000740 0.00724575 0.00735963 0.00724554 0.00000715 0.00724664 0.00713073 0.00000476 0.00770909 0.00000879 0.00724106 0.00722012 0.00717638 0.00733772 0.00001138 0.00005579 0.00001120 0.00005549 0.00000899 0.00757441 0.00715711 0.00001084 0.00781640 0.00727011 0.00743606 0.00000908 0.00725810 0.00000960 0.00730892 0.00001945 0.00001092 0.00733741 0.00731486 0.00727091 0.00005711 0.00725189 0.00719923 0.00744411 0.00757018 0.00724762 0.00717449 0.00000529 0.00001200 0.00725183 0.00761723 0.00000502 0.00722384 0.00001013 0.00707080 0.00000925 0 0.00756717 0.00733031 0.00730249 0.00757344 0.00733884 0.00000555 0.00744117 0.00725595 0.00738876 0.00000640 0.00721173 0.00735097 0.00672458 0.00725676 0.00720206 0.00741145 0.00767620 0.00730629 0.00743076 0.00000532 0.00725192 0.00001005 0.00728956 0.00725056 0.00722703 0.00723376 0.00734315 0.00740292 0.00000952 0.00755191 0.00725439 0.00743960 0.00726327 0.00725222 0.00001169 0.00725390 0.00705554 0.00722317
s_189 0.00754297 0.00737161 0.00768427 0.00770958 0.00754069 0.00728420 0.00765383 0.00730442 0.00754515 0.00731961 0.00773853 0.00768190 0.00757239 0.00765581 0.00754338 0.00759293 0.00725329 0.00749757 0.00775620 0.00736863 0.00765584 0.00752963 0.00731651 0.00728959 0.00728419 0.00729233 0.00748931 0.00750359 0.00753778 0.00759460 0.00733847 0.00754040 0.00755553 0.00753705 0.00769410 0.00732624 0.00000527 0.00775331 0.00749864 0.00000633 0.00727862 0.00753139 0.00729263 0.00755730 0.00759518 0.00786444 0.00725495 0.00732263 0.00755040 0.00775293 0.00730622 0.00724729 0.00753390 0.00753706 0.00780117 0.00730030 0.00734789 0.00768258 0.00756897 0.00735911 0.00756203 0.00753456 0.00755565 0.00754471 0.00786293 0.00728649 0.00752469 0.00732927 0.00733508 0.00753130 0.00733283 0.00773379 0.00763747 0.00753918 0.00764185 0.00729071 0.00766998 0.00731955 0.00755935 0.00734684 0.00756304 0.00731744 0.00756295 0.00727128 0.00765986 0.00757267 0.00778560 0.00753947 0.00736849 0.00726897 0.00765071 0.00758822 0.00755353 0.00753285 0.00754542 0.00752982 0.00754692 0.00779367 0.00688254 0.00754366 0.00809971 0.00731557 0.00764697 0.00754156 0.00730606 0.00754238 0.00799687 0.00766442 0.00753929 0.00759182 0.00737195 0.00734462 0.00752853 0.00732470 0.00726275 0.00764746 0.00000816 0.00734032 0.00765553 0.00752330 0.00754545 0.00734490 0.00773696 0.00754488 0.00730471 0.00755778 0.00750002 0.00756410 0.00756717 0 0.00759213 0.00732357 0.00778965 0.00735565 0.00739396 0.00765397 0.00729803 0.00753259 0.00756534 0.00728412 0.00749654 0.00724230 0.00729131 0.00728237 0.00769275 0.00787257 0.00747561 0.00740231 0.00754145 0.00732381 0.00753477 0.00728445 0.00734035 0.00727466 0.00730475 0.00755206 0.00754746 0.00755852 0.00000949 0.00727355 0.00762585 0.00731010 0.00732063 0.00752083 0.00729426 0.00744324 0.00725981
s_180 0.00732830 0.00746556 0.00737279 0.00291866 0.00733169 0.00743794 0.00703490 0.00745544 0.00732671 0.00742349 0.00251807 0.00735595 0.00733106 0.00762431 0.00731611 0.00731365 0.00741840 0.00724567 0.00731791 0.00743393 0.00314031 0.00732980 0.00746130 0.00743740 0.00743268 0.00742363 0.00708908 0.00703065 0.00733525 0.00000164 0.00743866 0.00733023 0.00732576 0.00733941 0.00313342 0.00743720 0.00758292 0.00732384 0.00739181 0.00761173 0.00741348 0.00733263 0.00745103 0.00729130 0.00000219 0.00736580 0.00743085 0.00743140 0.00733174 0.00292129 0.00744506 0.00705580 0.00734125 0.00731758 0.00257494 0.00743399 0.00743054 0.00313607 0.00701793 0.00744489 0.00710031 0.00732811 0.00733075 0.00733009 0.00727520 0.00740052 0.00724229 0.00742918 0.00743185 0.00733121 0.00741866 0.00729533 0.00727169 0.00733466 0.00715034 0.00743981 0.00262327 0.00743854 0.00733517 0.00742074 0.00285448 0.00744771 0.00733231 0.00743508 0.00762142 0.00732772 0.00773409 0.00733246 0.00743163 0.00740759 0.00702859 0.00000192 0.00732709 0.00732762 0.00732992 0.00734192 0.00733677 0.00258326 0.00625562 0.00733031 0.00799600 0.00744653 0.00747521 0.00733621 0.00745926 0.00733115 0.00750632 0.00722659 0.00733497 0.00000439 0.00745050 0.00741316 0.00732689 0.00743708 0.00740871 0.00747729 0.00758273 0.00743306 0.00762231 0.00733245 0.00733217 0.00743021 0.00292291 0.00732773 0.00742785 0.00733470 0.00706514 0.00732869 0.00733031 0.00759213 0 0.00741384 0.00257812 0.00745318 0.00718499 0.00747550 0.00746149 0.00740753 0.00733848 0.00743408 0.00736203 0.00734673 0.00746057 0.00744210 0.00712186 0.00254368 0.00281374 0.00739523 0.00733107 0.00743217 0.00733767 0.00740923 0.00743914 0.00742417 0.00743779 0.00285233 0.00729116 0.00732632 0.00759174 0.00743580 0.00745665 0.00745503 0.00743242 0.00733192 0.00742147 0.00705154 0.00737906
G_8 0.00725301 0.00106153 0.00722683 0.00755178 0.00730175 0.00007313 0.00740517 0.00006901 0.00725623 0.00007504 0.00744462 0.00742733 0.00729537 0.00743882 0.00716856 0.00747074 0.00005594 0.00699134 0.00747889 0.00007840 0.00749984 0.00720856 0.00007291 0.00007284 0.00007371 0.00005199 0.00740691 0.00758164 0.00725800 0.00741675 0.00007003 0.00725343 0.00725818 0.00729766 0.00749959 0.00007003 0.00733889 0.00747472 0.00098593 0.00737152 0.00004945 0.00723604 0.00008666 0.00732937 0.00744077 0.00760933 0.00005217 0.00007056 0.00726365 0.00756438 0.00007962 0.00703519 0.00729346 0.00722234 0.00750254 0.00007110 0.00007554 0.00749176 0.00763412 0.00009316 0.00733775 0.00727703 0.00730297 0.00729273 0.00717060 0.00004732 0.00705226 0.00006902 0.00006376 0.00725674 0.00006060 0.00760708 0.00750141 0.00725983 0.00755744 0.00007005 0.00744463 0.00006221 0.00729362 0.00004895 0.00746272 0.00006030 0.00729392 0.00006975 0.00736181 0.00727430 0.00761595 0.00725048 0.00007507 0.00007027 0.00743393 0.00744527 0.00725691 0.00721646 0.00725787 0.00723787 0.00726241 0.00747208 0.00675878 0.00727698 0.00784424 0.00007648 0.00727051 0.00728800 0.00007035 0.00725544 0.00760049 0.00742366 0.00725271 0.00744639 0.00011928 0.00005354 0.00721133 0.00007005 0.00004868 0.00725674 0.00735970 0.00006975 0.00741724 0.00727965 0.00725612 0.00007340 0.00756152 0.00726045 0.00005091 0.00729299 0.00743153 0.00727803 0.00730249 0.00732357 0.00741384 0 0.00746855 0.00010681 0.00713490 0.00726755 0.00007187 0.00104999 0.00730231 0.00005696 0.00100789 0.00012770 0.00007415 0.00007208 0.00779025 0.00763705 0.00740240 0.00721542 0.00725119 0.00006968 0.00727762 0.00005070 0.00006954 0.00005260 0.00007149 0.00746265 0.00730943 0.00727626 0.00731668 0.00007008 0.00726354 0.00006982 0.00006950 0.00727044 0.00005159 0.00737589 0.00004789
s_110 0.00756864 0.00756223 0.00766702 0.00353178 0.00758503 0.00744549 0.00680981 0.00744523 0.00757218 0.00746877 0.00316862 0.00711474 0.00759485 0.00772546 0.00752876 0.00691436 0.00748242 0.00745983 0.00698425 0.00753555 0.00326387 0.00755814 0.00744638 0.00746265 0.00743844 0.00749723 0.00666754 0.00654502 0.00758981 0.00257635 0.00744594 0.00757612 0.00757240 0.00757635 0.00325989 0.00742850 0.00773612 0.00695941 0.00749811 0.00781025 0.00747658 0.00756314 0.00744372 0.00723567 0.00257578 0.00699857 0.00749587 0.00746424 0.00757820 0.00353556 0.00751438 0.00727931 0.00758992 0.00753848 0.00000239 0.00744401 0.00747959 0.00326424 0.00653701 0.00751541 0.00638924 0.00756050 0.00756709 0.00757278 0.00687792 0.00749423 0.00745700 0.00743938 0.00744246 0.00758292 0.00748865 0.00666814 0.00637466 0.00755715 0.00647807 0.00743988 0.00343066 0.00750562 0.00757805 0.00746232 0.00340135 0.00750641 0.00759340 0.00745441 0.00773025 0.00757280 0.00782904 0.00757945 0.00746373 0.00723749 0.00680642 0.00257595 0.00755702 0.00755793 0.00757138 0.00756507 0.00758424 0.00000106 0.00667740 0.00759424 0.00801994 0.00747555 0.00730176 0.00756906 0.00744765 0.00756234 0.00702837 0.00758635 0.00755606 0.00258031 0.00756593 0.00750607 0.00756325 0.00742931 0.00747862 0.00731097 0.00778689 0.00747127 0.00773587 0.00758075 0.00756340 0.00742884 0.00353142 0.00758796 0.00745643 0.00758042 0.00665810 0.00759394 0.00757344 0.00778965 0.00257812 0.00746855 0 0.00749907 0.00758064 0.00730319 0.00744189 0.00749098 0.00756473 0.00748430 0.00748428 0.00748741 0.00744160 0.00751188 0.00666581 0.00000155 0.00349417 0.00735148 0.00755847 0.00743884 0.00759458 0.00750729 0.00745356 0.00749074 0.00749170 0.00340317 0.00725120 0.00756484 0.00778733 0.00743147 0.00730222 0.00744255 0.00744144 0.00758979 0.00745632 0.00665326 0.00747395
G_35 0.00728424 0.00108621 0.00726567 0.00756459 0.00734185 0.00011350 0.00742355 0.00011053 0.00729117 0.00009013 0.00744181 0.00744740 0.00733657 0.00745743 0.00718523 0.00748155 0.00009481 0.00700467 0.00751003 0.00012574 0.00748279 0.00721408 0.00011175 0.00011164 0.00011255 0.00009401 0.00741329 0.00754276 0.00729696 0.00745432 0.00011262 0.00729097 0.00729429 0.00733704 0.00748093 0.00011232 0.00736946 0.00750884 0.00101290 0.00741140 0.00009794 0.00723895 0.00012748 0.00735073 0.00748035 0.00763477 0.00009242 0.00011208 0.00729868 0.00757729 0.00012702 0.00707075 0.00732983 0.00724836 0.00752488 0.00011054 0.00009010 0.00747278 0.00757796 0.00013805 0.00736663 0.00731353 0.00733433 0.00732967 0.00718547 0.00009619 0.00707219 0.00011321 0.00010942 0.00728851 0.00010450 0.00761963 0.00757942 0.00729283 0.00758896 0.00011133 0.00750753 0.00010667 0.00733486 0.00009328 0.00748862 0.00010207 0.00733356 0.00011075 0.00735138 0.00731105 0.00770749 0.00728506 0.00011248 0.00011098 0.00745053 0.00748296 0.00728847 0.00721797 0.00729403 0.00724611 0.00729631 0.00750304 0.00677656 0.00731647 0.00789359 0.00012779 0.00731645 0.00733121 0.00011215 0.00729138 0.00763556 0.00744079 0.00728457 0.00748555 0.00017160 0.00011060 0.00721253 0.00011209 0.00009114 0.00731018 0.00733622 0.00011446 0.00739935 0.00731926 0.00729140 0.00011299 0.00757795 0.00729518 0.00009156 0.00733511 0.00744235 0.00731788 0.00733884 0.00735565 0.00745318 0.00010681 0.00749907 0 0.00716720 0.00731204 0.00011154 0.00107967 0.00733925 0.00009931 0.00102957 0.00016614 0.00011294 0.00011293 0.00766333 0.00764781 0.00743360 0.00725181 0.00728187 0.00011354 0.00731627 0.00010754 0.00011161 0.00009316 0.00011422 0.00748300 0.00729218 0.00731071 0.00734793 0.00011293 0.00731009 0.00011029 0.00011101 0.00730806 0.00009621 0.00739588 0.00008527
s_116 0.00001151 0.00720944 0.00000768 0.00764184 0.00000996 0.00708679 0.00702367 0.00709281 0.00001047 0.00714938 0.00734120 0.00732670 0.00001001 0.00700941 0.00000719 0.00706041 0.00706117 0.00028189 0.00722661 0.00713873 0.00727343 0.00005450 0.00709038 0.00709716 0.00709824 0.00707968 0.00690832 0.00708689 0.00000754 0.00719214 0.00707529 0.00000860 0.00000806 0.00000682 0.00728605 0.00708159 0.00740823 0.00722257 0.00721797 0.00741616 0.00708821 0.00005689 0.00710442 0.00724979 0.00718689 0.00721959 0.00708109 0.00708275 0.00000286 0.00746315 0.00712283 0.00000644 0.00000702 0.00001238 0.00759899 0.00707576 0.00715708 0.00726720 0.00707945 0.00709340 0.00680420 0.00001133 0.00000969 0.00000316 0.00717280 0.00712305 0.00028238 0.00708985 0.00710197 0.00000442 0.00707018 0.00714189 0.00712445 0.00001100 0.00696373 0.00708931 0.00710214 0.00707758 0.00000660 0.00709272 0.00721090 0.00707272 0.00001058 0.00708501 0.00700218 0.00000661 0.00770447 0.00000549 0.00709148 0.00706115 0.00702238 0.00719028 0.00000714 0.00005404 0.00001205 0.00005641 0.00000676 0.00741158 0.00701098 0.00000805 0.00778213 0.00706886 0.00727915 0.00000918 0.00708545 0.00000838 0.00734538 0.00001830 0.00001204 0.00719013 0.00714721 0.00711472 0.00005931 0.00708238 0.00702414 0.00729646 0.00737931 0.00707785 0.00703065 0.00000450 0.00000733 0.00708848 0.00763428 0.00000442 0.00708147 0.00000786 0.00691939 0.00000913 0.00000555 0.00739396 0.00718499 0.00713490 0.00758064 0.00716720 0 0.00728415 0.00707398 0.00722826 0.00000576 0.00707343 0.00719796 0.00656527 0.00708587 0.00704779 0.00725447 0.00750806 0.00714662 0.00749035 0.00000549 0.00708216 0.00000676 0.00711877 0.00709053 0.00704284 0.00707405 0.00720080 0.00725915 0.00000948 0.00737603 0.00707240 0.00728239 0.00708860 0.00708012 0.00000866 0.00709327 0.00689979 0.00704767
s_170 0.00741038 0.00738811 0.00762942 0.00767578 0.00745248 0.00723394 0.00733786 0.00720271 0.00741171 0.00728124 0.00737907 0.00732799 0.00744106 0.00750401 0.00741393 0.00720144 0.00728412 0.00713393 0.00732827 0.00726908 0.00754860 0.00738107 0.00720463 0.00723720 0.00707967 0.00728990 0.00734856 0.00740395 0.00745865 0.00747747 0.00721707 0.00741146 0.00740779 0.00745577 0.00754002 0.00722665 0.00765641 0.00732928 0.00727034 0.00766745 0.00727577 0.00741545 0.00730184 0.00756678 0.00747410 0.00743463 0.00728725 0.00721439 0.00741359 0.00770219 0.00730789 0.00713933 0.00745491 0.00745849 0.00751083 0.00724857 0.00728149 0.00754259 0.00739963 0.00729605 0.00721640 0.00744020 0.00742156 0.00743876 0.00761456 0.00727320 0.00713139 0.00724792 0.00729433 0.00745766 0.00729103 0.00739072 0.00738962 0.00740984 0.00744267 0.00723026 0.00730897 0.00729744 0.00744046 0.00727638 0.00717734 0.00728583 0.00744312 0.00723483 0.00750774 0.00740822 0.00758682 0.00741386 0.00722799 0.00722197 0.00733276 0.00747309 0.00740714 0.00738262 0.00741007 0.00741946 0.00745966 0.00736428 0.00675504 0.00744246 0.00768917 0.00729646 0.00000243 0.00743899 0.00720654 0.00741063 0.00757708 0.00753816 0.00746028 0.00747414 0.00733648 0.00727813 0.00738025 0.00722912 0.00727616 0.00000027 0.00764944 0.00725385 0.00750375 0.00742372 0.00740983 0.00720131 0.00766487 0.00740953 0.00727987 0.00744042 0.00735497 0.00741093 0.00744117 0.00765397 0.00747550 0.00726755 0.00730319 0.00731204 0.00728415 0 0.00721425 0.00729427 0.00745223 0.00727815 0.00721676 0.00713619 0.00719973 0.00730515 0.00759309 0.00763154 0.00718343 0.00717470 0.00741153 0.00724411 0.00745281 0.00728163 0.00721466 0.00729556 0.00728348 0.00734038 0.00755821 0.00740800 0.00764994 0.00724292 0.00000054 0.00720392 0.00725032 0.00743307 0.00728390 0.00731461 0.00727869
s_165 0.00719871 0.00108615 0.00718094 0.00750128 0.00725888 0.00000784 0.00737805 0.00000679 0.00718321 0.00008518 0.00740581 0.00737662 0.00723799 0.00733908 0.00716993 0.00744041 0.00007589 0.00706051 0.00745643 0.00009694 0.00742748 0.00719415 0.00000782 0.00000627 0.00000888 0.00007477 0.00738890 0.00755162 0.00725980 0.00746429 0.00000365 0.00719875 0.00720286 0.00725944 0.00742872 0.00000209 0.00729321 0.00745408 0.00096880 0.00731503 0.00007167 0.00721747 0.00011116 0.00738081 0.00746069 0.00755359 0.00007511 0.00000835 0.00720820 0.00747924 0.00010915 0.00699076 0.00724460 0.00722510 0.00746905 0.00000261 0.00008385 0.00742840 0.00758664 0.00011790 0.00733637 0.00723271 0.00724194 0.00724592 0.00761732 0.00006986 0.00705747 0.00000287 0.00009236 0.00724426 0.00008328 0.00751364 0.00739818 0.00721060 0.00748896 0.00000026 0.00734508 0.00008599 0.00723693 0.00007618 0.00737705 0.00008665 0.00724799 0.00000704 0.00737096 0.00722342 0.00756542 0.00720532 0.00000734 0.00000133 0.00737766 0.00746208 0.00719827 0.00719772 0.00721260 0.00726263 0.00726109 0.00747605 0.00675424 0.00722690 0.00767645 0.00010625 0.00721560 0.00724337 0.00000809 0.00720285 0.00757986 0.00736093 0.00725639 0.00746699 0.00014388 0.00008098 0.00719292 0.00000104 0.00007036 0.00721734 0.00732256 0.00000469 0.00739039 0.00723582 0.00720212 0.00000757 0.00750669 0.00720604 0.00007273 0.00724991 0.00739160 0.00723331 0.00725595 0.00729803 0.00746149 0.00007187 0.00744189 0.00011154 0.00707398 0.00721425 0 0.00102406 0.00725659 0.00007614 0.00097781 0.00004675 0.00000913 0.00009359 0.00768412 0.00758514 0.00729994 0.00712277 0.00719702 0.00000287 0.00726023 0.00007437 0.00000600 0.00007303 0.00009590 0.00737059 0.00736145 0.00721572 0.00729687 0.00000130 0.00721556 0.00000575 0.00000469 0.00725135 0.00007878 0.00736515 0.00007006
G_1 0.00734309 0.00202237 0.00747686 0.00755226 0.00738892 0.00102105 0.00741560 0.00102231 0.00734253 0.00105320 0.00751953 0.00744529 0.00739475 0.00744604 0.00731961 0.00746042 0.00103974 0.00714440 0.00746305 0.00106684 0.00755689 0.00730916 0.00101981 0.00102080 0.00101915 0.00104362 0.00731990 0.00763612 0.00734677 0.00740761 0.00102386 0.00734288 0.00735486 0.00738856 0.00754387 0.00102372 0.00753603 0.00745441 0.00012636 0.00756239 0.00104761 0.00733546 0.00108792 0.00736438 0.00742387 0.00758433 0.00104254 0.00102285 0.00734897 0.00755801 0.00107246 0.00710993 0.00738368 0.00736505 0.00751839 0.00102445 0.00105080 0.00754012 0.00759546 0.00108998 0.00731307 0.00736894 0.00738480 0.00739087 0.00713368 0.00102942 0.00719743 0.00102349 0.00106827 0.00734618 0.00104500 0.00753063 0.00753341 0.00735148 0.00755119 0.00102318 0.00742543 0.00105479 0.00738445 0.00104245 0.00743218 0.00105173 0.00738444 0.00102243 0.00739899 0.00736889 0.00766878 0.00733992 0.00102585 0.00103982 0.00744547 0.00742418 0.00735242 0.00731567 0.00734314 0.00733544 0.00734476 0.00749632 0.00677212 0.00736636 0.00794361 0.00107580 0.00729038 0.00738788 0.00102330 0.00734320 0.00757239 0.00760919 0.00734133 0.00742096 0.00109680 0.00103083 0.00730958 0.00102247 0.00103393 0.00728778 0.00757059 0.00102407 0.00742716 0.00737212 0.00734168 0.00101987 0.00754366 0.00734778 0.00104536 0.00738281 0.00733862 0.00736559 0.00738876 0.00753259 0.00740753 0.00104999 0.00749098 0.00107967 0.00722826 0.00729427 0.00102406 0 0.00739276 0.00104765 0.00012478 0.00109191 0.00102072 0.00106416 0.00780167 0.00760216 0.00735669 0.00733814 0.00734180 0.00102191 0.00736358 0.00104660 0.00102367 0.00104067 0.00105945 0.00742898 0.00733766 0.00736894 0.00751349 0.00102319 0.00729206 0.00102180 0.00102277 0.00735437 0.00106186 0.00729221 0.00103622
s_125 0.00000395 0.00735351 0.00000587 0.00764658 0.00000643 0.00726596 0.00715443 0.00725882 0.00000685 0.00731470 0.00746599 0.00748105 0.00000929 0.00711147 0.00000389 0.00719271 0.00720800 0.00028433 0.00722353 0.00729876 0.00740860 0.00006755 0.00725001 0.00725644 0.00726047 0.00723261 0.00705433 0.00722384 0.00000797 0.00734564 0.00725458 0.00000957 0.00000558 0.00000583 0.00741588 0.00725963 0.00758385 0.00722345 0.00738166 0.00759480 0.00721639 0.00006617 0.00726178 0.00738927 0.00733946 0.00737523 0.00722836 0.00726080 0.00000637 0.00762626 0.00728608 0.00001013 0.00000690 0.00000487 0.00757136 0.00725817 0.00732465 0.00740874 0.00722117 0.00724652 0.00698420 0.00000743 0.00000343 0.00000372 0.00730692 0.00727320 0.00028588 0.00725024 0.00726686 0.00000504 0.00722749 0.00730876 0.00711596 0.00000869 0.00716036 0.00724997 0.00728726 0.00723404 0.00000665 0.00725060 0.00735513 0.00725030 0.00000773 0.00724758 0.00710407 0.00000613 0.00770047 0.00000764 0.00724759 0.00722030 0.00715835 0.00734360 0.00000773 0.00006490 0.00000474 0.00006814 0.00000903 0.00755631 0.00714918 0.00000689 0.00783120 0.00724541 0.00744736 0.00000584 0.00726562 0.00000737 0.00734065 0.00002106 0.00000553 0.00734392 0.00731298 0.00726844 0.00006618 0.00725793 0.00717223 0.00745545 0.00756758 0.00725769 0.00713180 0.00000879 0.00000922 0.00726835 0.00763856 0.00000875 0.00721865 0.00000816 0.00706341 0.00000719 0.00000640 0.00756534 0.00733848 0.00730231 0.00756473 0.00733925 0.00000576 0.00745223 0.00725659 0.00739276 0 0.00721640 0.00735013 0.00677369 0.00726586 0.00720014 0.00740651 0.00764933 0.00730477 0.00748684 0.00000421 0.00726010 0.00000717 0.00729530 0.00726585 0.00720108 0.00724343 0.00733908 0.00739780 0.00000610 0.00755025 0.00725527 0.00745072 0.00726884 0.00725477 0.00000778 0.00724993 0.00704817 0.00719814
G_26 0.00719248 0.00104513 0.00714395 0.00751076 0.00721267 0.00007843 0.00741917 0.00007750 0.00718860 0.00006887 0.00739181 0.00736943 0.00721413 0.00739534 0.00716424 0.00751339 0.00005684 0.00702665 0.00747286 0.00008443 0.00744759 0.00720163 0.00007742 0.00007790 0.00007770 0.00005473 0.00738000 0.00759675 0.00720428 0.00743317 0.00007693 0.00719758 0.00721103 0.00720887 0.00744612 0.00007587 0.00728836 0.00746767 0.00098633 0.00733412 0.00004983 0.00720103 0.00009496 0.00731554 0.00745506 0.00760969 0.00005575 0.00007610 0.00720067 0.00751567 0.00009290 0.00696292 0.00720495 0.00718698 0.00749626 0.00007510 0.00007168 0.00744247 0.00756460 0.00009724 0.00731214 0.00718698 0.00722230 0.00722174 0.00711874 0.00005653 0.00708768 0.00007721 0.00007634 0.00719849 0.00005711 0.00753004 0.00751478 0.00720670 0.00755741 0.00007613 0.00739558 0.00006546 0.00721442 0.00005930 0.00742979 0.00006576 0.00721122 0.00007560 0.00740078 0.00721431 0.00754035 0.00718978 0.00007994 0.00007676 0.00741984 0.00745722 0.00719596 0.00720610 0.00718998 0.00719570 0.00719515 0.00747831 0.00671950 0.00719682 0.00782907 0.00008945 0.00728119 0.00721341 0.00007669 0.00718965 0.00759246 0.00732148 0.00718251 0.00745892 0.00012218 0.00006187 0.00719160 0.00007588 0.00005083 0.00727660 0.00732424 0.00007637 0.00742347 0.00719865 0.00718937 0.00007633 0.00751988 0.00719625 0.00005092 0.00720268 0.00740628 0.00721397 0.00721173 0.00728412 0.00743408 0.00005696 0.00748430 0.00009931 0.00707343 0.00727815 0.00007614 0.00104765 0.00721640 0 0.00099939 0.00011639 0.00007761 0.00007085 0.00772961 0.00760657 0.00736605 0.00720424 0.00719132 0.00007736 0.00721996 0.00005745 0.00007539 0.00005454 0.00007645 0.00743829 0.00732557 0.00721312 0.00726410 0.00007564 0.00727759 0.00007645 0.00007692 0.00720488 0.00006209 0.00735549 0.00004984
